"Feature",Pvalues,FDR,Y,O,LDAscore
Streptococcus,0.00059059,0.0081104,0,1521.8,-2.88
Clostridium_sensu_stricto_1,0.00060077,0.0081104,0,11891,-3.77
Flavonifractor,0.00060077,0.0081104,0,15324,-3.88
Anaerosporobacter,0.00060077,0.0081104,0,50857,-4.41
Alistipes,0.0017096,0.010507,658090,353.91,5.52
Bacteroides,0.001836,0.010507,610.49,200240,-5
Butyricicoccus,0.0018576,0.010507,4220.4,38293,-4.23
Ruminiclostridium_6,0.0019235,0.010507,1804.9,69472,-4.53
Turicibacter,0.0019458,0.010507,15395,574320,-5.45
Akkermansia,0.0019458,0.010507,170700,6122.6,4.92
Caproiciproducens,0.0035751,0.016231,1804.9,0,2.96
GCA_900066225,0.003997,0.016231,557.41,3468.3,-3.16
Tyzzerella_3,0.004421,0.016231,4273.5,41655,-4.27
Ruminococcaceae_UCG_005,0.0044647,0.016231,5600.6,17766,-3.78
Anaerotruncus,0.0045087,0.016231,4884,33268,-4.15
Erysipelatoclostridium,0.0064086,0.021629,30445,3008.2,4.14
Tyzzerella,0.0077862,0.024733,1592.6,6724.3,-3.41
Ruminococcaceae_UCG_013,0.023714,0.071143,10989,1238.7,3.69
Intestinimonas,0.028186,0.072478,40744,73472,-4.21
Anaeroplasma,0.028186,0.072478,33099,149630,-4.77
Ruminiclostridium_5,0.028186,0.072478,81939,43035,4.29
Lachnospiraceae_UCG_001,0.038867,0.095401,88522,244410,-4.89
DNF00809,0.042564,0.099933,4592,990.95,3.26
Desulfovibrio,0.05232,0.11772,34373,0,4.24
Lactobacillus,0.09329,0.20151,688850,1181100,-5.39
Candidatus_Stoquefichus,0.097637,0.20279,3424.1,389.3,3.18
Not_Assigned,0.12134,0.234,4886200,4393000,5.39
ASF356,0.12134,0.234,35356,56201,-4.02
Adlercreutzia,0.14593,0.27174,9343.2,1132.5,3.61
Ruminococcaceae_UCG_009,0.19473,0.32841,7007.4,11254,-3.33
Roseburia,0.19671,0.32841,98183,154690,-4.45
Lachnospiraceae_FCS020_group,0.19671,0.32841,18049,25977,-3.6
Harryflintia,0.20069,0.32841,875.93,389.3,2.39
Ruminococcaceae_UCG_014,0.24528,0.38956,104820,74640,4.18
Family_XIII_UCG_001,0.3001,0.45255,5016.7,3574.5,2.86
Acetatifactor,0.3017,0.45255,28773,46716,-3.95
Lachnospiraceae_UCG_004,0.36563,0.53362,8892,11856,-3.17
Ruminococcaceae_UCG_010,0.39878,0.56512,3211.7,2548.1,2.52
Defluviitaleaceae_UCG_011,0.40814,0.56512,8016.1,813.99,3.56
Marvinbryantia,0.42771,0.57741,2256.2,7573.7,-3.42
Ruminococcaceae_NK4A214_group,0.47177,0.61353,1433.3,1911.1,-2.38
Lachnospiraceae_UCG_006,0.47719,0.61353,80479,46327,4.23
Ruminiclostridium_9,0.51861,0.65127,82656,81576,2.73
Angelakisella,0.60518,0.69577,12104,10086,3
Oscillibacter,0.60558,0.69577,95794,91840,3.3
Lachnospiraceae_NK4A136_group,0.60558,0.69577,1572900,1457500,4.76
Lachnoclostridium,0.60558,0.69577,360400,435100,-4.57
Ruminiclostridium,0.69854,0.78585,224690,162830,4.49
Ruminococcus_1,0.79603,0.84309,89530,22332,4.53
GCA_900066575,0.79625,0.84309,24340,18899,3.43
Candidatus_Soleaferrea,0.79625,0.84309,13165,10370,3.15
Lachnospiraceae_UCG_010,0.84612,0.87866,2999.4,2618.9,2.28
A2,0.89717,0.91409,324250,88619,5.07
Enterorhabdus,1,1,12794,11007,2.95
