"","1913-12","1913-16","1913-4","1913-8","1913-B","1914-12","1914-16","1914-4","1914-8","1914-B","1915-12","1915-16","1915-4","1915-8","1915-B","1916-12","1916-16","1916-4","1916-8","1916-B","1917-12","1917-16","1917-4","1917-8","1917-B","1918-12","1918-16","1918-4","1918-8","1918-B","1919-12","1919-16","1919-4","1919-8","1919-B","1920-12","1920-16","1920-4","1920-8","1920-B","1945-12","1945-16","1945-4","1945-8","1945-B","1947-12","1947-16","1947-4","1947-8","1947-B","1948-12","1948-16","1948-4","1948-8","1948-B","1949-12","1949-16","1949-4","1949-8","1949-B","1951-12","1951-16","1951-4","1951-8","1951-B","1952-12","1952-16","1952-4","1952-8","1952-B"
"Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus",6590,18478,1542,416,1606,7623,10999,10456,969,7477,413,12869,26252,4201,2668,6872,17974,8250,783,16165,7643,10710,10681,11945,4962,13426,7707,6333,2642,6918,8736,3775,7728,5506,6606,5230,7604,6720,6052,7162,47136,11151,21206,6889,8403,11940,12005,13057,3401,5291,4523,3398,5462,9660,1925,41722,25810,14707,14293,21648,16987,12723,5321,10653,6141,21256,15141,9263,5372,6251
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA",9802,15616,7698,5597,17307,13685,12941,3089,5279,11324,14891,9542,4588,10618,19596,18960,6286,4970,5193,11957,13971,10965,4731,3736,3417,7124,3748,9038,3569,7309,9221,15678,10000,2041,2409,2429,20160,2311,4571,8494,2556,2766,10681,2551,1736,652,5676,12893,10799,2298,141,754,4742,12927,3575,434,2913,2424,1134,1769,536,1979,5927,953,3687,930,2005,6533,587,2338
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA",22399,7749,16632,9615,11236,10111,6539,11544,13383,4193,11673,3526,11832,11737,9616,13818,4942,14847,18022,4060,10591,11191,7859,8269,4658,11046,6094,5142,3418,5016,7301,9263,14069,8368,6679,4550,13209,13486,6693,7550,6519,5685,8780,1280,5799,1920,2080,11317,816,1932,1983,8439,6877,1795,9269,0,0,0,0,17,0,0,32,0,18,0,0,21,0,23
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes",5609,8569,4165,4170,5689,3935,6649,4359,4247,4072,5333,4476,4586,5631,2583,4790,7334,3684,6143,2540,4827,9665,8234,2454,7663,9656,4931,4081,2957,4017,4400,8285,2510,4318,3592,4744,5587,9914,4938,9084,1020,6565,0,0,0,142,5244,7,3,0,2080,9291,0,0,6,7,6,9,0,0,0,5,5,0,0,5,4,0,8,2
"Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Turicibacter",702,7842,0,175,0,701,8884,0,194,0,405,5576,0,188,0,1988,3251,0,68,0,24863,1071,0,112,84,11908,2261,0,15,54,8069,111,0,53,0,1646,923,0,63,0,14753,4629,546,2533,0,1073,1074,825,1723,0,1781,5840,1092,4340,0,618,2422,1775,3364,526,2024,6305,8917,7388,2097,2351,2601,6631,5523,104
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA",7411,2684,5418,3204,4098,3723,2305,3882,4589,1631,4114,1151,3888,4050,3304,4679,1690,5643,6064,1439,3292,3560,2611,3048,1669,3667,2087,1757,1414,1709,2677,3019,4613,3025,2241,1620,4316,4718,2362,2646,2061,2028,3040,471,1967,717,750,3675,283,782,733,2803,2431,635,3080,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides",5,0,0,5,0,0,0,0,7,0,0,4,5,0,0,0,0,8,4,0,0,0,0,0,0,4,0,0,0,0,0,0,2,3,0,0,0,0,4,0,3787,4483,7308,564,6561,1496,2200,9781,1403,1470,1133,8411,6364,1591,3291,1685,2249,7497,2144,1395,1325,1254,5241,1793,1239,2409,1467,6907,916,3150
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA",1972,4706,2134,1815,5141,3423,3052,928,743,3173,3708,2489,704,3205,4613,5159,1595,1553,1135,2914,2128,3489,1101,1057,505,582,1024,2087,786,1297,1108,5206,2202,528,95,192,6594,455,1096,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group",4102,0,0,1317,0,0,0,1456,6488,24,0,0,3389,0,16,0,1216,1952,10590,0,0,0,1040,1464,3464,1873,0,429,3403,15,50,0,0,3708,4750,2575,0,2512,2851,3400,17,1852,2610,43,1352,0,92,2673,117,1747,0,0,1721,12,78,0,0,57,1774,1311,54,0,38,2392,0,43,511,75,2501,2463
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA",0,0,0,0,3,0,0,2,0,0,0,0,0,6,0,0,0,0,6,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7219,2680,5645,745,3428,1159,1154,6634,770,823,889,3456,2954,1421,3161,2894,2525,6109,2969,3461,1143,1667,3970,2426,812,3756,2203,5455,2307,1406
