"","1913-12","1913-16","1913-4","1913-8","1913-B","1914-12","1914-16","1914-4","1914-8","1914-B","1915-12","1915-16","1915-4","1915-8","1915-B","1916-12","1916-16","1916-4","1916-8","1916-B","1917-12","1917-16","1917-4","1917-8","1917-B","1918-12","1918-16","1918-4","1918-8","1918-B","1919-12","1919-16","1919-4","1919-8","1919-B","1920-12","1920-16","1920-4","1920-8","1920-B","1945-12","1945-16","1945-4","1945-8","1945-B","1947-12","1947-16","1947-4","1947-8","1947-B","1948-12","1948-16","1948-4","1948-8","1948-B","1949-12","1949-16","1949-4","1949-8","1949-B","1951-12","1951-16","1951-4","1951-8","1951-B","1952-12","1952-16","1952-4","1952-8","1952-B"
"Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus",6590,18478,1542,416,1606,7623,10999,10456,969,7477,413,12869,26252,4201,2668,6872,17974,8250,783,16165,7643,10710,10681,11945,4962,13426,7707,6333,2642,6918,8736,3775,7728,5506,6606,5230,7604,6720,6052,7162,47313,11151,21206,6889,8403,11940,12005,13057,3401,5291,4523,3398,5462,9660,1925,41729,27138,14707,14293,21648,16987,13451,5321,10653,6141,21256,15935,9263,5372,6251
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA",42781,31369,32235,20330,38173,32070,26101,19592,25035,20809,35658,17491,21752,29938,38560,43772,15081,27118,30930,21327,41232,33834,17027,24637,10615,35139,15923,20682,12035,15968,29725,36137,34865,19060,11598,12079,47091,21277,20705,20259,48397,23286,33688,8082,14845,8300,15155,41287,18459,7405,6648,26245,19611,25562,25208,18928,34487,13259,28020,7044,13356,23844,17991,22539,6122,24520,26355,20867,16913,4953
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes",5609,8569,4165,4170,5689,3935,6649,4359,4247,4072,5333,4476,4586,5631,2583,4790,7334,3684,6143,2543,4827,9665,8234,2454,7663,9656,4931,4081,2957,4017,4400,8285,2510,4318,3592,4744,5587,9914,4938,9084,1020,6565,0,0,0,142,5244,7,3,0,2080,9291,0,0,6,7,6,9,0,0,0,5,5,0,0,5,4,0,8,2
"Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Turicibacter",702,7842,0,175,0,701,8884,0,194,0,405,5576,0,188,0,1988,3251,0,68,0,24863,1071,0,112,84,11908,2267,0,15,54,8069,111,0,53,0,1646,923,0,63,0,15649,4827,546,2533,0,1073,1074,876,1723,0,1852,6063,1092,4421,0,620,2522,1775,3433,526,2098,6647,9218,7543,2097,2418,2721,6870,5656,104
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides",5,0,0,7,0,0,0,0,7,0,0,4,5,0,0,0,0,8,4,0,0,0,0,0,0,4,0,0,0,0,0,0,2,3,0,0,0,0,4,0,4046,4836,7813,564,7018,1496,2200,10470,1403,1470,1133,9082,6860,1591,3571,1685,2249,8085,2317,1395,1325,1254,5628,1793,1239,2409,1467,7412,916,3374
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group",6684,14869,4163,10268,7647,11725,12522,5181,11180,10232,11875,12218,6767,15717,2972,9513,7191,7063,15118,3612,6994,16483,6741,4589,11214,11305,16737,13519,8757,11487,11648,19250,3975,12729,9887,15912,33503,4280,6580,10371,17277,9808,13795,5170,8259,14296,12338,15248,8778,9469,11789,7745,6237,6481,7999,6218,4440,7664,9393,7278,13648,3402,11496,15037,11490,6678,12924,7279,18130,16361
"Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia",4057,242,1478,186,713,950,900,1200,1786,1248,1220,831,1186,294,3038,1172,1677,2903,3036,3812,1695,1812,12894,1520,136,1030,755,5394,535,658,144,2181,9026,691,164,73,1287,6799,1209,1922,283,1911,1009,7,684,0,73,842,20,56,9,1166,714,34,1387,95,133,39,47,53,35,23,99,123,88,124,10,144,56,83
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;A2",120,2122,1582,5882,435,9638,1465,2432,167,6111,4446,6155,1174,2209,15199,2607,1832,5679,247,6429,260,616,79,437,7567,289,990,176,5530,7257,281,371,722,459,4887,2724,933,63,223,16105,576,72,455,721,79,248,1186,1668,444,1908,483,390,549,482,861,60,60,207,248,701,201,66,389,755,3737,134,298,123,1155,1542
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA",13216,9409,7156,8206,6595,7359,9832,5103,11779,8544,9748,12048,4857,9848,3411,7166,6497,6026,9181,4500,6126,13535,39359,3510,6582,8326,9610,24049,7021,7585,6997,4353,5406,9437,5128,18530,5899,44329,4995,8695,14273,6085,9657,11435,5149,12236,8205,8472,11510,8454,10195,9378,5441,7463,4173,5506,2547,6163,3928,2305,9347,2757,9017,10925,7465,6302,7768,4185,9604,7977
"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium",3617,2379,779,841,1468,1467,1401,1724,2886,1410,1777,998,960,1929,1267,1372,1106,2050,4726,1441,852,2452,983,302,2435,895,1088,492,859,1069,709,644,270,969,1297,1184,1729,600,699,1843,3517,788,2205,1257,1380,2169,1360,3733,1409,1680,2192,1728,1363,865,1091,541,255,1402,469,526,569,194,2002,1359,1016,483,525,708,1203,1458
