#NAME,Experiment,Tissue type,DOL,Genotype
050B,C,TI,DOL11,Sig Homo 
051B,C,TI,DOL11,Sig HET
052B,C,TI,DOL11,Sig Homo 
058B,C,TI,DOL11,Sig HET
059B,C,TI,DOL11,Sig Homo
060B,C,TI,DOL11,Sig HET
064B,C,TI,DOL11,Sig Homo
065B,C,TI,DOL11,Sig Homo
066B,C,TI,DOL11,Sig HET
067B,C,TI,DOL11,Sig HET
073B,C,TI,DOL11,Sig WT
074B,C,TI,DOL11,Sig Homo
075B,C,TI,DOL11,Sig WT
076B,C,TI,DOL11,Sig Homo
080B,C,TI,DOL11,Sig HET
081B,C,TI,DOL11,Sig WT
082B,C,TI,DOL11,Sig HET
083B,C,TI,DOL11,Sig WT
084B,C,TI,DOL11,Sig HET
085B,C,TI,DOL11,Sig WT
086B,C,TI,DOL11,Sig Homo
087B,C,TI,DOL11,Sig HET
088B,C,TI,DOL11,Sig WT
095B,C,TI,DOL11,Sig Homo
096B,C,TI,DOL11,Sig HET
097B,C,TI,DOL11,Sig WT
102B,C,TI,DOL11,Sig HET
103B,C,TI,DOL11,Sig Homo
104B,C,TI,DOL11,Sig HET
105B,C,TI,DOL11,Sig WT
106B,C,TI,DOL11,Sig WT
107B,C,TI,DOL11,Sig WT
214B,C,TI,DOL11,Sig HET
215B,C,TI,DOL11,Sig WT
216B,C,TI,DOL11,Sig HET
226B,C,TI,DOL11,Sig WT
227B,C,TI,DOL11,Sig WT
228B,C,TI,DOL11,Sig WT
229B,C,TI,DOL11,Sig Homo
230B,C,TI,DOL11,Sig HET
231B,C,TI,DOL11,Sig HET
232B,C,TI,DOL11,Sig HET
233B,C,TI,DOL11,Sig Homo
234B,C,TI,DOL11,Sig Homo
235B,C,TI,DOL11,Sig WT
236B,C,TI,DOL11,Sig HET
237B,C,TI,DOL11,Sig Homo
238B,C,TI,DOL11,Sig Homo
239B,C,TI,DOL11,Sig Homo
240B,C,TI,DOL11,Sig HET
139B,C,TI,DOL14,Sig HET
140B,C,TI,DOL14,Sig WT 
141B,C,TI,DOL14,Sig Homo
142B,C,TI,DOL14,Sig Homo
143B,C,TI,DOL14,Sig HET 
144B,C,TI,DOL14,Sig HET
145B,C,TI,DOL14,Sig Homo
146B,C,TI,DOL14,Sig WT 
147B,C,TI,DOL14,Sig HET
148B,C,TI,DOL14,Sig Homo
149B,C,TI,DOL14,Sig Homo
150B,C,TI,DOL14,Sig HET 
151B,C,TI,DOL14,Sig WT 
152B,C,TI,DOL14,Sig HET 
153B,C,TI,DOL14,Sig HET 
154B,C,TI,DOL14,Sig HET 
155B,C,TI,DOL14,Sig Homo
156B,C,TI,DOL14,Sig WT 
157B,C,TI,DOL14,Sig Homo 
158B,C,TI,DOL14,Sig WT 
159B,C,TI,DOL14,Sig HET 
160B,C,TI,DOL14,Sig HET 
161B,C,TI,DOL14,Sig WT 
162B,C,TI,DOL14,Sig WT 
163B,C,TI,DOL14,Sig Homo
164B,C,TI,DOL14,Sig HET 
165B,C,TI,DOL14,Sig Homo
166B,C,TI,DOL14,Sig Homo 
167B,C,TI,DOL14,Sig WT 
168B,C,TI,DOL14,Sig Homo 
169B,C,TI,DOL14,Sig HET 
249B,C,TI,DOL14,Sig Homo
250B,C,TI,DOL14,Sig Homo
251B,C,TI,DOL14,Sig HET
252B,C,TI,DOL14,Sig Homo
253B,C,TI,DOL14,Sig Homo
254B,C,TI,DOL14,Sig Homo
255B,C,TI,DOL14,Sig HET
256B,C,TI,DOL14,Sig Homo
257B,C,TI,DOL14,Sig HET
258B,C,TI,DOL14,Sig WT
259B,C,TI,DOL14,Sig WT
260B,C,TI,DOL14,Sig WT
261B,C,TI,DOL14,Sig WT
262B,C,TI,DOL14,Sig HET
263B,C,TI,DOL14,Sig HET
108B,C,TI,DOL28,Sig HET
109B,C,TI,DOL28,Sig Homo
110B,C,TI,DOL28,Sig HET 
111B,C,TI,DOL28,Sig WT
112B,C,TI,DOL28,Sig Homo
113B,C,TI,DOL28,Sig Homo
114B,C,TI,DOL28,Sig Homo 
115B,C,TI,DOL28,Sig WT
116B,C,TI,DOL28,Sig HET
117B,C,TI,DOL28,Sig HET
118B,C,TI,DOL28,Sig HET
119B,C,TI,DOL28,Sig WT
120B,C,TI,DOL28,Sig WT
121B,C,TI,DOL28,Sig Homo
122B,C,TI,DOL28,Sig Homo
123B,C,TI,DOL28,Sig HET
124B,C,TI,DOL28,Sig WT 
125B,C,TI,DOL28,Sig HET
126B,C,TI,DOL28,Sig Homo
127B,C,TI,DOL28,Sig HET 
128B,C,TI,DOL28,Sig HET 
129B,C,TI,DOL28,Sig WT
130B,C,TI,DOL28,Sig Homo
131B,C,TI,DOL28,Sig HET 
132B,C,TI,DOL28,Sig HET 
133B,C,TI,DOL28,Sig Homo
134B,C,TI,DOL28,Sig WT
135B,C,TI,DOL28,Sig WT 
136B,C,TI,DOL28,Sig HET
137B,C,TI,DOL28,Sig WT 
138B,C,TI,DOL28,Sig Homo
