function	050B	051B	052B	058B	059B	060B	064B	065B	066B	067B	073B	074B	075B	076B	080B	081B	082B	083B	084B	085B	086B	087B	088B	095B	096B	097B	102B	103B	104B	105B	106B	107B	214B	215B	216B	226B	227B	228B	229B	230B	231B	232B	233B	234B	235B	236B	237B	238B	239B	240B	139B	140B	141B	142B	143B	144B	145B	146B	147B	148B	149B	150B	151B	152B	153B	154B	155B	156B	157B	158B	159B	160B	161B	162B	163B	164B	165B	166B	167B	168B	169B	249B	250B	251B	252B	253B	254B	255B	256B	257B	258B	259B	260B	261B	262B	263B	108B	109B	110B	111B	112B	113B	114B	115B	116B	117B	118B	119B	120B	121B	122B	123B	124B	125B	126B	127B	128B	129B	130B	131B	132B	133B	134B	135B	136B	137B	138B
EC:1.1.1.1	84536.33	48589.37	147320.02000000002	53613.71	128172.51	127005.21	188857.07	202844.83	259788.04	220417.1	70364.81	14865.53	135689.88999999998	147371.8	36494.42	84736.54	43032.38	83753.0	22835.0	98473.2	122635.84	127796.88	96433.44	126295.44	132024.46	153943.6	85485.35	42563.34999999999	254883.23	90747.26	11666.73	75481.23	20221.46	17140.09	35176.740000000005	35354.83	16683.14	29289.75	6831.39	36561.29	22295.2	24250.82	9653.34	35977.06	26427.56	34684.439999999995	38911.23	28740.65	45228.47	25459.57	95523.68	34303.35999999999	51273.2	48957.82000000001	83299.72	89523.23	55755.29	46374.69	113526.34	36855.79	51471.5	53270.06	98555.92	98964.82	24390.5	12419.98	13645.13	27267.41	15575.62	6365.91	45762.63	26670.47	48008.77	32342.27	79914.54	90395.66	75690.09	147294.77000000002	112867.7	87339.25	65499.74	42749.740000000005	51528.25	47478.85	58114.99	35155.42	49827.26999999999	48712.55	64719.17	87184.25	32531.700000000004	54508.74	47714.8	58637.36	60674.67	63174.03	121612.6	120468.45	138410.47999999998	165286.5	199457.74	239451.25	192012.5	218806.44	141262.13	132594.3	209003.12	188138.22	190705.71	131604.05	188390.25	143881.8	93444.95	137028.75	176759.25	198395.75	112279.42	153326.0	221195.92	133593.0	128375.24	168459.66999999998	274338.24	149097.0	165522.5	194961.22	153455.2
EC:1.1.1.100	57568.75	43208.45	105620.18	43021.01	94906.75	95061.56	138904.87	152630.66	196269.41	163957.91999999998	64269.880000000005	17369.159999999996	106715.07	114939.04	35299.93	69958.69	42401.01	72159.08	25627.56	78202.00000000001	93523.49	97798.55	76230.17	98060.76	105318.66	120414.12	69846.29	38442.72	195263.72	69577.26	11958.67	58058.130000000005	35919.520000000004	24412.39	50568.23	44237.6	19496.38	26686.23	8834.7	38338.58	24195.49	30514.22	14386.03	30467.980000000003	35414.33	35466.91	41830.67	35159.23	34738.93	37821.86	73541.34999999999	29262.370000000003	40290.58	40118.62	61735.93	65803.93000000001	43780.19	36853.89	86124.84	30413.410000000003	42724.560000000005	44096.57	75930.67	75956.32	21913.8	12326.28	14001.03	22383.83	13222.05	9327.67	36722.96	21838.84	40121.21	27201.67	61858.84	68469.33	58374.92	111320.47	84707.47	67350.5	51585.25	39954.56	40806.95	38246.9	45790.53	26456.15	40000.07	39112.15000000001	46595.87	67107.62	50626.52	41194.74	41460.21	48152.01	45364.030000000006	49308.17	72887.78	76520.02	67997.14	127807.26	120487.55	152687.44	143851.09	181304.52	121401.09	135580.44	156581.07	137049.09999999998	113158.63	88947.11	97579.75	93492.1	65293.2	68890.09	97980.16	141130.84	108470.26	111558.42	161885.75	106165.66	78175.56	130654.26	202258.49	105364.84	114902.0	135781.44	125760.9
EC:1.1.1.102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.103	9156.91	8647.22	8751.59	4052.92	2893.17	3402.83	66.0	428.5	494.25	244.0	592.42	371.5	550.75	644.5	920.67	923.1	848.95	701.8699999999999	609.5500000000001	532.92	3294.58	391.2	598.0300000000001	5397.41	1979.33	2582.4	249.0	406.57	1003.08	56.4	185.5	119.25	561.3199999999999	474.2	2512.75	1360.94	436.08	414.08	144.32999999999998	473.35	273.75	418.96	278.23	791.1700000000001	450.71	259.05	397.7	544.8299999999999	102.42	560.6700000000001	115.75	315.71	320.75	1927.17	3134.65	1223.25	2148.57	1623.92	31.0	95.16	203.25	204.25	218.5	112.25	42.0	113.82	185.5	329.83	43.25	131.83	923.57	271.78000000000003	699.1400000000001	92.21	343.25	93.25	151.5	145.0	146.0	101.25	206.75	394.25	83.75	58.0	16.0	61.83	60.0	29.33	37.75	10.42	1435.37	157.25	539.41	191.0	2.75	0.0	309.7	526.75	162.25	94.92	137.75	262.75	61.5	1001.82	1216.45	721.0	483.5	93.71	57.5	515.25	104.5	114.5	112.25	29.0	19.0	137.25	1779.5	1439.0	270.5	234.0	148.0	695.4200000000001	72.68	1382.5	658.5	106.5	23.5
EC:1.1.1.105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	3.75	0.0	0.0	0.0	0.0	0.0	2.25	0.0	0.0	0.0	0.0	7.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	0.0	0.0	3.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.108	701.0	2426.42	1028.0	1307.0	741.5	929.25	204.0	807.0	1012.25	536.0	2242.0	1113.33	1311.0	1339.75	1512.0	1461.67	1829.75	1966.75	1184.5	1161.42	682.5	780.0	1062.92	1129.5	973.0	552.0	1189.0	1034.5	439.0	457.0	497.25	438.0	1219.6	403.0	1119.0	672.5	287.0	431.0	260.0	462.0	325.0	592.0	366.0	221.0	796.33	435.0	795.5	644.0	245.0	976.0	955.0	645.0	389.0	937.0	727.0	342.0	761.0	676.25	511.25	556.25	701.0	801.0	594.0	576.0	625.75	422.0	534.0	284.0	330.0	773.75	311.0	331.0	570.25	608.75	614.0	340.0	405.0	538.0	297.0	515.0	640.25	140.0	102.0	62.0	145.0	39.0	80.0	55.0	919.0	281.0	861.0	743.0	586.0	487.0	210.0	1554.0	43.0	92.8	74.0	84.0	65.0	85.0	127.0	43.0	36.0	75.0	30.0	29.0	41.0	90.0	50.0	36.0	63.0	111.0	17.0	27.0	157.0	92.0	65.0	41.0	31.0	61.0	64.25	72.0	66.0	26.0	26.0
EC:1.1.1.11	0.0	32.76	3.0	16.0	4.0	0.0	0.0	5.0	38.0	10.0	21.0	11.0	15.0	0.0	17.0	0.0	0.0	178.72	67.71000000000001	0.0	0.0	13.0	9.0	1315.99	1641.58	2505.44	12.0	315.57	0.0	8.0	0.0	0.0	99.42	53.67	0.0	37.42	22.75	9.0	28.75	49.42	52.08	32.09	51.67	25.33	71.17	26.08	22.33	46.33	6.25	37.67	0.0	17.71	0.0	0.0	1.57	0.0	16.0	19.33	0.0	30.0	52.0	3.33	15.0	0.0	38.0	14.0	0.0	0.0	0.0	0.0	0.57	223.28	602.14	14.71	249.0	0.0	0.0	12.0	9.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.67	11.33	11.33	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	7.0	2.57	0.0	0.0	0.0	28.71	0.0	0.0	0.0	0.0	2.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.43	0.0	0.0	0.0	0.0
EC:1.1.1.122	220.0	514.0	270.0	525.0	336.0	421.0	60.0	418.0	474.0	244.0	579.33	336.0	542.0	655.0	932.67	944.0	836.33	553.0	982.67	522.0	349.0	403.0	569.0	663.67	350.75	74.0	204.0	125.5	14.0	44.0	168.25	110.0	86.0	23.67	0.0	175.25	6.0	51.5	5.0	41.0	34.0	74.0	19.5	8.67	17.67	37.0	68.25	47.5	28.0	47.0	118.0	53.0	142.0	73.0	67.0	38.0	133.0	84.0	8.0	134.66	191.0	96.0	74.0	81.0	0.0	107.0	89.0	23.0	8.0	123.0	37.5	72.0	113.0	66.0	116.0	60.0	90.0	161.5	104.0	83.0	193.0	20.0	18.0	0.0	0.0	5.0	0.0	6.0	10.0	0.0	142.17000000000002	0.0	0.0	7.0	3.0	0.0	0.0	17.8	27.0	1.67	15.0	20.0	42.0	16.0	4.0	19.0	12.0	12.0	0.0	17.0	0.0	4.0	26.0	25.0	0.0	14.0	12.0	9.0	11.0	0.0	10.0	4.0	11.0	8.0	8.0	0.0	7.0
EC:1.1.1.125	9156.91	8676.25	8749.59	4055.92	2922.17	3412.08	66.0	428.5	511.5	257.0	630.75	378.5	581.75	679.58	949.0	980.5	882.03	882.1700000000001	1111.42	549.8399999999999	3295.41	403.0	620.25	6714.570000000001	3652.16	5093.549999999999	240.0	710.89	941.08	62.4	239.75	132.25	666.09	403.67	2467.25	1638.78	484.58	558.25	135.07999999999998	351.84000000000003	271.41	584.4300000000001	265.32000000000005	825.16	439.84	309.25	351.2	571.91	99.67	437.51	130.25	361.42	428.25	1914.17	3138.22	1224.25	2104.17	1644.16	21.25	65.41	138.25	144.57999999999998	240.5	102.25	25.75	111.0	186.0	341.83	36.25	138.25	918.64	451.06	1278.5300000000002	70.67	595.25	63.25	132.0	133.0	105.0	120.25	238.0	433.75	88.75	93.0	25.0	81.5	133.0	99.0	70.75	8.75	1169.4899999999998	151.41	457.99	221.0	33.75	0.0	29.0	247.75	56.75	22.25	59.25	49.75	62.0	310.89	379.75	353.0	129.0	72.92	1.0	151.25	2.0	4.0	31.75	17.0	0.0	49.25	537.0	467.0	40.0	66.0	19.0	151.25	23.36	317.0	118.0	17.5	7.0
