pathway	050B	051B	052B	058B	059B	060B	064B	065B	066B	067B	073B	074B	075B	076B	080B	081B	082B	083B	084B	085B	086B	087B	088B	095B	096B	097B	102B	103B	104B	105B	106B	107B	214B	215B	216B	226B	227B	228B	229B	230B	231B	232B	233B	234B	235B	236B	237B	238B	239B	240B	139B	140B	141B	142B	143B	144B	145B	146B	147B	148B	149B	150B	151B	152B	153B	154B	155B	156B	157B	158B	159B	160B	161B	162B	163B	164B	165B	166B	167B	168B	169B	249B	250B	251B	252B	253B	254B	255B	256B	257B	258B	259B	260B	261B	262B	263B	108B	109B	110B	111B	112B	113B	114B	115B	116B	117B	118B	119B	120B	121B	122B	123B	124B	125B	126B	127B	128B	129B	130B	131B	132B	133B	134B	135B	136B	137B	138B
1CMET2-PWY	18587.84872206833	14534.766946030284	24002.664854203544	11632.032195709502	12712.56721509752	13419.628706025434	3917.2673236846776	8826.065044717068	12198.808014364358	6822.448797911776	11221.424680244842	4029.213570349946	11804.564317054346	9200.705589172769	9260.263761077127	12969.772304276994	10527.1115141755	15565.682757532257	5805.477681790856	11741.665128796169	13451.305066692294	6704.396869875481	8419.688523287705	18803.81350186759	10724.7425895775	11141.843173831345	9492.629051966363	7386.953556890327	19045.41498228216	4908.239948242672	3292.2120923560515	3939.072799784019	11507.497347103605	7971.505364134396	18436.90177823328	14498.3289058972	6537.671466234829	7599.563342374695	2989.748366978422	10880.613231048495	7327.44100751893	9585.270569069957	4630.528875673985	7513.395785012219	10972.97796757275	10365.325210907882	11824.799125218036	11486.25354895804	6423.604089167248	11698.929080760458	5734.869393711833	4822.455420607329	4360.835915356188	8521.218533647025	10508.80868893102	5922.143495417734	8217.82041281255	6974.162160145975	2957.463224953048	3093.30856245231	3789.191778378468	4406.45333883458	4353.938034518405	3074.178453384789	2944.8527680049306	2901.94821055785	2921.7992482671625	2972.9894715641485	2241.0465862595443	1889.0370968560271	7454.0366511565235	2498.1599945314024	5156.611397089996	3114.397673457346	4491.138577486401	2897.3831438854613	3912.474442634716	3609.99559210576	2359.6739792986778	2935.265601147568	3946.649971412927	10635.217078376974	6814.588252623652	6319.969415692162	7599.917564362084	5588.130006444061	6140.122886587498	6061.170269551514	5358.693038736183	9717.05659310584	17598.47416241417	5202.673564317656	8498.107248357781	7598.06885158009	2715.4199618863368	4773.721091639988	22169.98650211606	24719.82678632466	17090.718005843584	4586.063823806251	7225.455262868056	26264.81179343968	2315.235194220505	24887.02828330927	26872.408280052263	19144.604679418186	17860.94626797982	5288.582764438346	18542.77831365973	24098.595120770977	14854.434599394694	7792.689094463365	10661.795248393506	2472.9848862471417	15813.174736994742	10479.880153353604	36741.47759228735	33368.53638396915	17137.009975389723	27856.882417338515	10994.45024888873	26746.554515150903	14186.962466238463	30195.544593225928	32903.14218996328	13329.009486330437	21441.34481996338
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	1034.7617509492322	3059.645147649277	1465.140617196873	1351.0705041701583	581.2660581516735	904.6228382769827	214.82794947561047	613.9461688036318	858.797991637352	459.3474331433976	2404.584073435309	1133.3318613334682	1090.453360785744	1117.367398392708	953.8655120936442	801.2192429990063	1433.356297819642	1822.5100709486887	1027.4785657474852	664.1868508007902	635.1670939790494	504.4712494171055	765.193397566197	2607.3205772184765	2792.7022090023534	3572.76151676129	1380.174722656801	1643.3985561591385	206.8348546857898	552.8122395695074	468.5554258456722	478.6764290358244	1702.7000167429642	603.2965474014894	0.0	811.2259033565193	375.9292778310541	581.2973955746927	381.3692329912973	678.6555539116722	447.9821892695987	799.8025031531711	483.5797797453416	293.190686698544	1186.0495510469173	557.4821620621647	1155.832004896636	845.7753750157756	327.23146626052164	1540.1934550407043	288.9640482935856	826.2514399871735	412.3956879683375	1249.2917144313662	898.4426412229674	443.2817814123024	921.8558398933804	883.8295582744748	590.3146571517318	653.0195303709228	720.8197429915748	801.9662031823151	725.8255090320138	670.2395544523114	731.8714971045908	397.2640907393829	498.4090629990444	334.5271008185639	320.50594765916225	797.6909763630404	332.8918846245213	536.507872613142	1330.5531964228392	581.1733559717226	671.3075711091519	358.040038286758	471.3362707294854	578.7226257273834	302.22156725703144	605.8576835184737	659.1873595385422	0.0	0.0	0.0	6.066147957561565	0.0	0.0	7.778996977982445	0.0	24.40507469303357	237.45327403087765	19.52154957756009	46.551995859199664	0.0	0.0	0.0	43.4126930733889	49.19387605479837	80.63544029135448	111.3561757445466	76.27584881781024	102.097319089804	119.21693805303568	30.60619542702729	52.968907997333474	89.0169372011632	28.845011616249543	69.73516692819689	61.4506055353108	102.57169062432553	68.09620295204564	24.88639396540382	64.74914521870743	162.48440966893963	25.944769128858688	21.47440128231716	65.26084021015093	47.80936914652728	44.09396766253892	59.91434472637248	35.589530910102404	57.176728793470566	69.37557886521552	104.26575256036092	80.03201862965945	39.51664530243743	30.13538520896692
AEROBACTINSYN-PWY	186.07470233397984	178.7974539762216	179.83585268745847	71.39685820076797	43.67	56.50065842924848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.31578947368421	0.0	0.0	0.0	49.33	0.0	0.0	88.43032644469257	0.0	0.0	0.0	0.0	16.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3294910956140855	0.0	0.0	0.9983965108075172	0.0	2.989803779399103	0.0	0.0	0.0	53.48326516536362	60.72425035249883	18.0	35.67	23.33	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	6.33	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.272005644734524	0.0	11.70809685962921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALL-CHORISMATE-PWY	12063.559461026724	12005.593167507464	12533.282332223856	5862.941398280908	4869.515654707509	4925.414063394605	96.58589624674094	178.27897970061713	615.0184500599765	0.0	585.1759039650814	307.1008208306569	422.564744815318	374.5010126910648	349.41057081863414	442.02807854833287	791.3453416391029	2636.8614287219607	1283.727316682692	407.1332894191648	4841.523225368703	405.8615054118312	572.7942629542146	8280.83731570469	3864.934807833049	5125.04405102992	695.6200100298068	2088.734431328681	3450.936295248691	217.33210187734664	209.52218519733	200.37435738192536	3408.363698203157	2182.782054932694	5962.921064206308	5428.591227453312	2134.3592199929767	2216.3917006705574	972.486688646798	2301.9676088476967	1543.4224836167691	2376.540012878198	1221.1951842079943	2465.7012755895053	2505.077472694861	1792.5427605644345	1994.091245882307	2686.4620720936146	805.5114882761196	2630.762662753327	185.27262014709092	1453.6378848568852	1133.490271402176	4048.0665708049737	5079.626717667278	2355.287268176116	3581.3182966275976	2983.5944013583908	216.1504634001411	149.4391586648017	295.10192517996666	537.5558607165563	788.0968774814764	71.28826717894384	143.4276591767885	75.47778328430692	652.0926330480164	1012.3076212915612	336.4451482974411	173.95796828316776	2318.498454385103	821.7750579898704	1825.551084774513	338.7504638531677	1331.5577891464811	67.94039445064209	264.29049965299674	0.0	129.2890193802147	28.03438004708649	204.740848766252	1643.4591174145671	314.64144293520707	73.20650234456609	250.2316655188459	221.8197885946568	569.3165166124143	0.0	461.90891804556105	191.5259059283341	5252.580647424557	1045.2945826092343	1812.956802583847	867.941328286242	74.71749953000018	0.0	0.0	35.6022204751446	114.04837950937772	101.7972596797263	51.483889397177286	260.7764305518898	135.08191937451426	250.8970420200626	155.6603875011773	173.48792195961005	0.0	268.9466375484633	44.72678973441447	59.02150519295322	0.0	0.0	35.5081908104346	143.29723134660316	0.0	77.53076633774108	157.00213388811406	0.0	259.45427430988065	0.0	77.62290473910119	176.2841093343831	260.7754473342681	0.0	107.5358209658684	84.82267821410345	0.0
ANAEROFRUCAT-PWY	31950.58530451529	16409.4568284508	50409.50797578561	19185.38076349177	31332.649564693987	31685.68711843116	10999.833001194676	16075.121222001346	24388.7748069162	14436.417723571372	16103.85671547448	4639.935577119335	21146.772230283063	10619.31124966363	11352.864468211656	18917.397760186053	13872.397723380183	25972.23975769099	7656.053190784142	21284.99043062629	33786.464187763864	10059.566260124397	11721.969882647789	38337.155581112784	23066.23714108424	28997.22465016245	18156.280232771373	12103.584876456913	42854.0923601293	11068.06335153682	4281.191989483001	8694.943654902214	10952.074312708146	9251.229864705689	24443.698036266804	18124.21460269574	8148.263878154753	10831.58882566511	3654.605619961711	15124.451234760556	9621.088989092665	11951.08614855686	5227.878312655106	11821.557838997476	13405.095184289285	13813.526012570392	15873.779003180129	13999.563244101582	9922.053247456137	13391.880224141296	14946.321901706324	9231.541213766868	9351.71694029702	16366.075347401606	25416.56213298485	17761.89385977632	17235.12386555258	14229.9366010513	5932.351395645976	6314.143791694765	6811.81125960526	8470.68618404141	9673.886283252175	5874.424812349475	4675.224096654934	4604.512907585883	5215.608987550757	7186.720527276259	4355.208715391623	2106.0585077318137	13706.326133228737	5308.504531396492	10165.257926243386	5664.382481746359	10966.855638534138	5576.11397647849	5746.017725416863	6157.218332948386	4037.208944043458	4880.874009144608	5750.498614346394	15247.661916415049	7573.108894790434	7338.716771521364	6989.829898473887	5467.199358071156	8716.582893541692	8291.838752028767	10912.223197959836	11453.439894140378	21109.943709729097	10840.02384370732	14841.853416917977	12020.162057712298	3869.854830622112	8845.314695511894	37005.42551834417	34500.18859192543	25442.64223514225	7929.884270900416	9779.854467097044	33687.87320913395	4789.152987384328	38215.81900299185	37422.2989127732	28387.82859554411	28173.560467878808	9532.324898765615	50813.99561703936	40793.04527651678	37788.26023259369	13361.991427037075	19874.12290999258	7041.791614584879	37709.2947837966	19197.044318104363	48232.04556885802	45242.44551807257	27496.81171431566	63239.140322626525	22471.510064327747	42707.20160772037	35996.67198962503	40906.60168815762	41372.78435663687	19825.28613953592	24196.984768703955
ANAGLYCOLYSIS-PWY	30975.79015690976	16940.53230416152	53982.67117065809	19604.432727107072	46682.45497976188	45986.826109303394	67857.56297663793	72974.577648725	93725.18024754716	79186.02063007197	25832.986565729872	5556.052783298051	49310.84260864368	52873.30310951816	14751.315778909477	32052.20777458425	16876.180472295808	32478.56245708832	9924.953884866036	37504.37661992252	53553.78188879911	46147.43185946473	35027.6563526414	46742.661417114585	48345.10696071847	56596.68266231832	31507.380017989883	16225.97529061928	97520.6501567284	33046.186160270576	4811.355010655275	27368.247858982748	13218.521059430284	9937.961886341644	24973.79842734466	18710.264783125047	8618.678563226655	12607.31696175113	3768.219024326282	17745.155908262757	10848.036085577382	13019.356827851729	5641.756938904564	14764.360586593844	14241.888404860165	16161.256062848115	18530.5674293451	15110.49289977524	17392.669396919435	14402.242516268709	35421.59378276089	13027.896144827222	19160.293186679555	18326.875730884003	31220.15818020744	33436.01912437389	20625.55132777317	17257.6016672717	40840.86811281026	13678.84422487726	18895.039187563216	19797.62274435477	36249.02299281348	35641.43319334227	9966.62698189542	6350.42223505846	8364.530109486888	12777.1175000051	5964.521629098239	2531.6255102573896	18673.44155447723	10182.905443773365	18424.058621988923	12287.74124042136	30766.69067936777	32671.066816377526	27644.623618524573	53117.66223563175	40602.86746712092	31533.846490759268	23692.92186166484	20351.60075046224	20652.0473398196	21317.6776708263	22961.18141928601	14172.114217648166	20581.17470247868	19444.62004354389	26819.97692492619	35659.59832781265	22805.339981192526	21304.260172209084	21028.84657147866	25466.977494725204	23322.847337175743	23801.681037000348	50127.377180143376	51754.82221222181	56653.09343727859	72988.5435093275	68914.32606109788	90785.15405490504	92091.154035582	98411.13960785672	63327.97451435346	79491.81027817761	94888.03943455916	83858.19276258083	81621.43362727639	60866.190566999045	76882.99182512601	68680.0442171184	49101.63228882853	61488.76679633996	69450.04271367607	76332.0986192982	65024.05845747497	81300.37611804862	83327.3391421547	70401.2331253387	68762.8841796001	68561.65805075076	105584.18933879306	84457.79046432122	96665.66399370412	86735.2859017778	101962.09184487532
ARG+POLYAMINE-SYN	13446.463520335084	12013.170898502682	14669.515685992012	6731.73818673255	5333.933944325065	5894.972534842438	106.76702114201905	253.64331538156424	396.2051559692305	202.4078735957007	984.6701793695578	363.4855877859934	430.8542098189758	492.8037584132851	718.4667384721561	471.6569495360495	917.946249599789	1126.7690933582544	996.2992108013716	500.21319218907513	5881.445659797021	429.5299684336465	549.8732083074425	8989.16028725207	3790.8978329867055	4899.692465163077	495.3076461775266	1392.6134522483687	4385.249918607588	358.85708806626985	612.4308933320117	339.01082659544727	4076.7716272462535	2910.5778976448423	8534.916941200669	6050.563079164464	2708.649087900422	2428.5114432753194	799.7690074220856	2993.2112235577883	2066.861332038371	2847.4007825604936	1478.2904054137505	2955.4211623529686	3673.868849846925	2769.458445568282	3261.763918331172	3662.531261217907	1278.1749340427673	3904.93682290932	576.0922682842066	1035.3008743777573	1173.363950734123	4107.776416087169	5695.946760464177	2524.790330407088	4190.152537172584	3374.7156668896814	259.60876637774726	337.5797634290083	715.2959556080948	974.4276597129848	698.0313681061908	395.4201298350382	365.7237067022226	328.8074126299369	508.5004615222264	891.7876486849152	182.9826338298542	591.1519707250615	2392.382621832863	743.3486455586792	1666.2576898483712	478.82871531984784	875.709400890896	342.6187312112552	690.4648309538002	551.4735538628347	390.9346768374249	373.7823066427529	301.3624792628569	3061.66990400314	1244.974959251277	1211.057081516544	1319.5458449911334	1162.5177150058826	1322.975339640299	1159.8318967662929	860.9288117800161	830.5994216305174	6987.778531759646	1237.964144824276	2526.5682528650923	1864.392157312317	426.5434869134751	258.189760747995	5709.329061014891	4112.84101855412	1859.4832617383288	629.1832418677934	908.236866282612	2623.9669469634696	778.0781567002199	4670.490047703029	5213.096653306794	4694.424997479877	3535.565879931796	633.4597959238113	3091.998328058753	3097.774503870964	1558.6922619208906	972.15253776691	2363.6134936114413	419.1234831271771	2020.0636156245105	2133.4914946748017	6073.841470236306	4289.442189981631	860.1422627546666	5191.565836837589	306.3833555029003	1472.4386387226773	3010.597792442345	5562.789571024096	6028.807735773135	1103.366225604885	4194.1134658736455
ARGDEG-PWY	11568.5168100303	11303.028806703758	11635.542581739885	5351.043070358492	3893.2053241566286	4530.531122694015	16.780873216909253	15.266545735646242	34.092930510586	0.0	29.59553803479741	24.29842053296961	62.05990094844813	54.49415622738204	48.75010974781594	46.97473756336552	134.19787808254986	438.57870252041135	189.92448790974984	37.04020927741969	4679.5258905652045	9.978763523655603	60.51129696761306	6940.97826294814	2518.739809297482	3387.6847850601366	46.50532219260924	613.9166476687766	1695.3320163906362	37.53954539026853	15.02363090053052	9.783973305918318	352.57583443975034	279.62605517238364	3885.754653552633	1885.857205123843	565.8926758730773	697.5942634110227	128.82842251175586	374.9906941314245	166.6430057782048	224.21247459741028	173.05992322448378	1261.046060879258	353.7101707437704	168.7234026828546	166.1569840518905	286.7253195957555	38.99550704484041	315.1541681383055	28.001775246790388	551.9801746785412	443.4733264820602	2876.0255564875	4446.78016882388	1850.197160461434	3009.524239569592	2347.5927529893106	15.613089228085302	28.355428676574057	28.08512694563281	97.5680853105578	357.6260149732771	9.023319767295854	16.59847766758639	24.199067121488994	234.07168685338547	559.0631486366304	65.49414946273752	36.6399632139198	1482.5287155072103	379.7500932929366	990.8856446937737	42.75704578350089	473.2998693444793	8.981973066585422	38.00523404017796	0.0	31.24517288115215	3.485124253320431	42.15873370709425	555.9327956897347	57.686943110983925	11.58101257618611	0.0	30.61843643039284	111.48344679194378	59.53087637291396	62.8811809091069	13.178066152768723	1309.1502796510622	251.36543469073143	786.1606218597389	319.0077675858839	8.161460336337651	0.0	0.0	0.0	7.637189813923671	8.044436393444814	3.480243966359493	12.473037539949306	19.005113663251173	32.4911469133682	13.082974827421792	0.0	0.0	77.63179306891594	2.792435700847681	3.491877215885042	0.0	0.0	2.637715266198678	13.602130460228617	0.0	6.194015292405109	11.0800954412108	0.0	34.60661683813628	0.0	5.544776847632468	11.74581515618324	27.7522084416701	0.0	0.0	6.89948642890784	0.0
ARGORNPROST-PWY	1980.689039752202	5097.14502447481	3743.734008609928	4065.668582526854	2670.4696206508165	2435.022996451772	412.93054972630046	1118.0142859374714	1468.0104579048543	822.9993865079438	6302.390414348927	1632.4077374149151	2887.42829976764	2409.1571085744818	1773.9551307920458	1908.35916687343	2600.3248790289845	3181.134618154443	1655.272092034234	1496.2639153212915	2760.33032982561	1948.56181310936	3611.186237236516	2162.3778550381658	1785.6756175696617	1338.7184693290203	2415.798791782812	2323.0789373385383	3015.545302410193	1221.4672239567678	1086.93603142015	1027.245812940065	3426.618455565091	1786.250000609304	6751.771197886512	3664.512992125488	1602.412523013971	1525.3204091538244	736.412318292233	2226.6917566567395	1521.1793147765693	1940.3619429427413	1094.8551376714684	1236.102016077985	2451.568612347295	2010.622139548493	2804.1449662873024	2784.072373717086	1079.7358027820558	2840.458910541239	1246.1791428534725	1293.7641009890272	1307.400137443606	2000.1698641594785	1631.1237620363174	851.1400008282748	1681.498078945879	1464.1698921340087	854.2663727705373	1043.250193770957	1263.599447497824	1286.605275650675	973.7107059470814	1119.629045242044	933.1910669828792	847.5400067662301	863.642184594005	639.6616351541614	548.3165044962691	1104.1992246264188	870.2065609716403	595.9233750684789	1175.7525986263245	1036.4345971414025	967.2952445599092	760.0104349988255	999.21639780239	1085.760296736362	621.7053421806328	874.505669337064	960.673425722992	1908.7151916934768	592.7282167105542	581.2980573324363	697.3723921922139	330.7017808661151	445.5831591043937	520.1361702551525	2010.3911929755848	925.2415675708864	4327.904726487661	1248.745179700894	1890.346212642484	1501.4627724023017	503.39835296688375	2187.999352981035	6560.496274549424	3113.629669551829	1343.9618199557754	882.3094569870918	1116.0205078002396	1920.742625672803	902.6165947211408	3009.053459412537	2930.420223601679	2805.7782939431468	2556.051882989942	474.5659112533108	5807.409964208384	4400.102361711878	2491.8285462142217	786.8845671804378	1553.5302877346546	566.5593820577462	2538.85709329306	2662.998406039499	5303.89181887674	6078.787460466501	1306.6028516783642	6764.049107644484	968.0917464495668	2386.090367144257	3243.5435431975006	6771.769705325707	4948.958361658031	998.9786032822376	2716.6272101602976
ARGSYN-PWY	15831.466293735944	13598.080877221326	21110.34160689423	10811.778991781728	10577.532735291392	10128.809459402044	2807.1413956062984	5185.35577965156	7438.058196576067	4287.032568907591	12820.25332806682	3694.152609017623	9330.607588286968	6516.5899603839935	6060.966110604063	7849.214064279332	8171.910831496172	13299.225079662148	4560.079607759808	7938.318749189705	10253.254938943772	5043.433379742574	7327.637766004172	13636.942642114222	8316.766603173164	9509.900117928031	8779.636252225926	7321.5956459309455	18044.010942889385	4897.926686030779	2878.127312842301	3636.4239391717774	10608.706897722706	7072.546956503958	16194.979401417066	12878.902168190803	5744.585379557248	6016.881137275932	2686.8985074922048	8687.056216719433	6046.920309326414	8252.040024365413	3945.198887234845	5654.403841603928	9616.282608270732	8606.367743593282	9759.742718809488	10007.894447152414	4495.683785117042	10312.56797010544	5498.140237150456	4716.653472862156	3862.9181824230177	7855.627799117258	8671.784261796007	4761.866113091684	6924.020388204089	5980.362590643549	3231.5778014654948	3236.021636680442	4026.152120882508	4488.962029492533	3891.2575420554017	3502.2388888942914	2999.2802435254407	2361.5015468298225	2218.374303761544	2538.3580250927776	2184.8279885835545	1940.5237530394008	5157.714234413199	2221.331395350826	4338.592486326881	3156.8911373187507	4125.120454401971	2508.080318347664	3068.716970583256	3338.399000643817	1929.4717657549536	2954.9959263755463	3098.4798389820508	8019.32151078269	4081.959832547805	3569.8950950900985	3971.620704269192	3483.027635992857	4146.364698399059	4204.894007078556	4483.320192590235	4362.55799710223	15770.697758786418	4469.48188595831	6947.6899526252	5377.470830703495	1701.0115277708744	2412.671498808598	17647.556486336314	19607.25740570026	14804.944600929512	4796.564116276395	7314.211223531281	21784.457603907777	2828.391451331711	12842.888564991415	13720.430114083523	10856.075685218184	13332.591082538464	5430.542939676813	14626.156574007644	17817.22079143112	13798.83785753804	7491.563041917261	8566.97753588438	3052.405136298406	14469.37956613094	6370.056642075945	23292.108481186828	24071.883878043194	9769.908255358305	21177.02126178104	10368.078462109948	14963.959391202385	9873.35791161376	21811.754601181587	24635.185426242457	11556.653812103305	16753.167331547796
