#NAME,Experiment,Tissue type,DOL,Genotype
051B,C,TI,DOL11,Sig HET
058B,C,TI,DOL11,Sig HET
060B,C,TI,DOL11,Sig HET
066B,C,TI,DOL11,Sig HET
067B,C,TI,DOL11,Sig HET
080B,C,TI,DOL11,Sig HET
082B,C,TI,DOL11,Sig HET
084B,C,TI,DOL11,Sig HET
087B,C,TI,DOL11,Sig HET
096B,C,TI,DOL11,Sig HET
102B,C,TI,DOL11,Sig HET
104B,C,TI,DOL11,Sig HET
214B,C,TI,DOL11,Sig HET
216B,C,TI,DOL11,Sig HET
230B,C,TI,DOL11,Sig HET
231B,C,TI,DOL11,Sig HET
232B,C,TI,DOL11,Sig HET
236B,C,TI,DOL11,Sig HET
240B,C,TI,DOL11,Sig HET
139B,C,TI,DOL14,Sig HET
143B,C,TI,DOL14,Sig HET 
144B,C,TI,DOL14,Sig HET
147B,C,TI,DOL14,Sig HET
150B,C,TI,DOL14,Sig HET 
152B,C,TI,DOL14,Sig HET 
153B,C,TI,DOL14,Sig HET 
154B,C,TI,DOL14,Sig HET 
159B,C,TI,DOL14,Sig HET 
160B,C,TI,DOL14,Sig HET 
164B,C,TI,DOL14,Sig HET 
169B,C,TI,DOL14,Sig HET 
251B,C,TI,DOL14,Sig HET
255B,C,TI,DOL14,Sig HET
257B,C,TI,DOL14,Sig HET
262B,C,TI,DOL14,Sig HET
263B,C,TI,DOL14,Sig HET
108B,C,TI,DOL28,Sig HET
110B,C,TI,DOL28,Sig HET 
116B,C,TI,DOL28,Sig HET
117B,C,TI,DOL28,Sig HET
118B,C,TI,DOL28,Sig HET
123B,C,TI,DOL28,Sig HET
125B,C,TI,DOL28,Sig HET
127B,C,TI,DOL28,Sig HET 
128B,C,TI,DOL28,Sig HET 
131B,C,TI,DOL28,Sig HET 
132B,C,TI,DOL28,Sig HET 
136B,C,TI,DOL28,Sig HET
