pathway	050A	052A	059A	064A	065A	073A	074A	075A	081A	083A	085A	086A	088A	095A	097A	103A	105A	106A	107A	215A	226A	227A	228A	229A	233A	234A	235A	237A	238A	239A
1CMET2-PWY	5256.192083636038	7714.404332701761	11996.456958218156	5524.033973843474	7313.645904957094	19904.24966588248	9356.738724612913	11652.19254505556	3739.541191646593	4526.430397404629	4750.897635858084	9417.896019184444	10825.098176908265	14485.819771112934	10352.64818132032	2086.872416574041	5192.939698372102	4307.993517720033	1467.0551523190318	19759.11223747878	12609.87306155088	10846.843008779724	8425.42144797945	9109.841797559548	14026.637078887314	14410.591168705952	10407.401053530157	16880.26212496509	18872.70520202745	12385.42028993308
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	31.438696605500223	64.57090261753659	125.9629414509496	1129.6978135692157	113.55516494871672	20.86140130311104	43.36397147266302	35.87582530184338	588.7743556562594	947.0309673190768	880.223024021702	98.76344235329664	102.3588688372854	471.2045685213235	1427.7674468650982	98.66107874185369	39.3712541932504	63.38072523918796	27.58439982072015	0.0	185.5435287334627	248.64026067634808	157.2537278868923	133.5446185962335	41.97479639440012	75.46466709135993	54.80120561091149	18.041364135363352	0.0	14.31315568497871
AEROBACTINSYN-PWY	27.0	36.33	74.67	0.0	37.67	0.0	0.0	0.0	0.0	0.0	0.0	63.33	24.0	64.33	0.0	0.0	6.67	0.0	0.0	0.0	151.60572337042925	198.33	134.67	109.0	32.33	55.330000000000005	44.0	13.0	0.0	10.33
ALL-CHORISMATE-PWY	2525.911421541864	2967.470149661623	5774.743299951823	1631.9653813586904	2977.3791150601764	237.57305349377972	0.0	263.6812201547876	1172.5134443164443	1736.6808003928816	2232.681496849429	4750.927180630217	3124.1444858088075	5821.292963923516	2520.6342377168	390.04810637361726	1520.4208368966254	242.1460110461136	168.82065476856187	29.813386594434192	5329.631246431768	5112.907081198342	4708.130388343229	4701.517674757646	2315.060036346737	4345.971941535466	3114.431703347304	1734.5541417548395	2080.9438189850785	992.5647418266756
ANAEROFRUCAT-PWY	13157.138709780123	22010.37145944032	29700.7868131012	13628.357066040704	23575.79701247385	29744.206616672145	14546.68781055676	16607.827693364015	10502.48624802409	12654.147609041933	14290.067105467637	22492.12397872932	23514.95890307285	29182.574278086464	18504.939063101	6865.895506981447	14557.09377963716	9094.728702799524	6346.659020193041	23129.81976364032	23679.9002134991	19117.21197996898	17431.62219665345	17335.08763043619	19068.76886199075	20596.28595558261	18924.251426087343	18637.65397361215	24966.825175937	17827.791539691363
ANAGLYCOLYSIS-PWY	15484.996526449362	33989.551183267184	34605.847510843705	37536.569953754864	38974.03626727124	50603.16554335859	42529.55555297382	45761.56280377519	34650.15682605125	32414.640494740383	28412.493447034525	25395.871147505823	37384.78501334744	34621.52519363173	35268.25294615148	38700.38004924747	37342.59500021624	36775.5974809403	41975.83864501663	26292.51357046021	26691.240591239257	20028.83930393723	17880.541278823555	18098.678643766023	21991.328311798505	22638.58594954492	26076.403187538504	22592.679290073385	30548.045669534284	25141.88783290261
ARG+POLYAMINE-SYN	3089.145806493705	3801.024158983542	7166.153138503109	2003.3094840482115	3605.852917347546	4111.567240970382	977.0065814085776	550.9958654087432	1148.4801148667104	1685.08461841641	1421.8061837075195	5768.143572656212	4336.000454477528	7479.510651021185	3178.4917070507217	185.9883111697173	1329.3901901567976	221.12811396638395	100.59366522439088	1695.9674331762994	6505.1429100073165	6165.338405450156	5401.3439847274485	5420.24850158036	2523.949662658311	4576.56132336903	3650.170284496987	4285.205773465334	5633.267480374996	1716.0894097333514
ARGDEG-PWY	2360.6688280855114	2732.721579805435	5455.149431656258	1146.2423365759064	2695.087284084305	50.30643363628717	0.0	47.543072678531445	590.7756306541545	940.0379471755148	828.1927824889696	4704.870737465421	2289.463908458108	4794.2142586237	1659.777149875853	88.40823628015504	850.6048180341145	46.94726365682812	29.34644087068272	6.3625654688863085	4247.859033696112	4306.767336683419	4342.68683178431	4024.759574143409	1010.3244208353128	2387.394820110504	2091.710033744864	812.1775376631955	793.1242451949842	330.49460045436183
ARGORNPROST-PWY	94.95531967462028	74.21609662403664	94.6545471964259	211.94907892419124	56.925474963026645	2813.129055686232	429.71618695349935	641.45441789212	1030.1577443544672	1242.8775177707512	1093.1653556927556	287.8852616493587	1513.7953322550318	422.72876816752097	665.8744724533378	615.550034497883	643.9875937117139	841.2938379551014	1181.0264585101802	702.4046497444532	425.39455979049694	125.10228983135904	377.0582852815963	811.8602029780972	524.6216589642823	392.3973638077287	90.12278560086187	587.0980498241472	4200.058297451871	1331.215933322881
ARGSYN-PWY	4451.738393682927	6692.845812050653	9454.066012221392	3913.0028456955	4981.095310440599	18393.562358724223	8970.863824548293	9704.25488257654	4386.112017588697	5262.669749868803	5471.257298448173	7890.58560300572	10641.238320694472	11305.731969041584	8087.700332863788	2793.6002814728995	5048.908661853541	4371.936901989341	2094.7869795176707	13468.731754077098	8735.101741054206	7835.484992437901	6425.756705846255	6581.265133011802	7751.274701843197	9396.713851805229	5155.351493701003	12936.569261420544	14056.627756453208	8518.14608154887
