pathway	050B	052B	059B	064B	065B	073B	074B	075B	076B	081B	083B	085B	086B	088B	095B	097B	103B	105B	106B	107B	215B	226B	227B	228B	229B	233B	234B	235B	237B	238B	239B
1CMET2-PWY	18587.84872206833	24002.664854203544	12712.56721509752	3917.2673236846776	8826.065044717068	11221.424680244842	4029.213570349946	11804.564317054346	9200.705589172769	12969.772304276994	15565.682757532257	11741.665128796169	13451.305066692294	8419.688523287705	18803.81350186759	11141.843173831345	7386.953556890327	4908.239948242672	3292.2120923560515	3939.072799784019	7971.505364134396	14498.3289058972	6537.671466234829	7599.563342374695	2989.748366978422	4630.528875673985	7513.395785012219	10972.97796757275	11824.799125218036	11486.25354895804	6423.604089167248
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	1034.7617509492322	1465.140617196873	581.2660581516735	214.82794947561047	613.9461688036318	2404.584073435309	1133.3318613334682	1090.453360785744	1117.367398392708	801.2192429990063	1822.5100709486887	664.1868508007902	635.1670939790494	765.193397566197	2607.3205772184765	3572.76151676129	1643.3985561591385	552.8122395695074	468.5554258456722	478.6764290358244	603.2965474014894	811.2259033565193	375.9292778310541	581.2973955746927	381.3692329912973	483.5797797453416	293.190686698544	1186.0495510469173	1155.832004896636	845.7753750157756	327.23146626052164
AEROBACTINSYN-PWY	186.07470233397984	179.83585268745847	43.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.33	0.0	88.43032644469257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3294910956140855	0.0	0.9983965108075172	0.0
ALL-CHORISMATE-PWY	12063.559461026724	12533.282332223856	4869.515654707509	96.58589624674094	178.27897970061713	585.1759039650814	307.1008208306569	422.564744815318	374.5010126910648	442.02807854833287	2636.8614287219607	407.1332894191648	4841.523225368703	572.7942629542146	8280.83731570469	5125.04405102992	2088.734431328681	217.33210187734664	209.52218519733	200.37435738192536	2182.782054932694	5428.591227453312	2134.3592199929767	2216.3917006705574	972.486688646798	1221.1951842079943	2465.7012755895053	2505.077472694861	1994.091245882307	2686.4620720936146	805.5114882761196
ANAEROFRUCAT-PWY	31950.58530451529	50409.50797578561	31332.649564693987	10999.833001194676	16075.121222001346	16103.85671547448	4639.935577119335	21146.772230283063	10619.31124966363	18917.397760186053	25972.23975769099	21284.99043062629	33786.464187763864	11721.969882647789	38337.155581112784	28997.22465016245	12103.584876456913	11068.06335153682	4281.191989483001	8694.943654902214	9251.229864705689	18124.21460269574	8148.263878154753	10831.58882566511	3654.605619961711	5227.878312655106	11821.557838997476	13405.095184289285	15873.779003180129	13999.563244101582	9922.053247456137
ANAGLYCOLYSIS-PWY	30975.79015690976	53982.67117065809	46682.45497976188	67857.56297663793	72974.577648725	25832.986565729872	5556.052783298051	49310.84260864368	52873.30310951816	32052.20777458425	32478.56245708832	37504.37661992252	53553.78188879911	35027.6563526414	46742.661417114585	56596.68266231832	16225.97529061928	33046.186160270576	4811.355010655275	27368.247858982748	9937.961886341644	18710.264783125047	8618.678563226655	12607.31696175113	3768.219024326282	5641.756938904564	14764.360586593844	14241.888404860165	18530.5674293451	15110.49289977524	17392.669396919435
ARG+POLYAMINE-SYN	13446.463520335084	14669.515685992012	5333.933944325065	106.76702114201905	253.64331538156424	984.6701793695578	363.4855877859934	430.8542098189758	492.8037584132851	471.6569495360495	1126.7690933582544	500.21319218907513	5881.445659797021	549.8732083074425	8989.16028725207	4899.692465163077	1392.6134522483687	358.85708806626985	612.4308933320117	339.01082659544727	2910.5778976448423	6050.563079164464	2708.649087900422	2428.5114432753194	799.7690074220856	1478.2904054137505	2955.4211623529686	3673.868849846925	3261.763918331172	3662.531261217907	1278.1749340427673
ARGDEG-PWY	11568.5168100303	11635.542581739885	3893.2053241566286	16.780873216909253	15.266545735646242	29.59553803479741	24.29842053296961	62.05990094844813	54.49415622738204	46.97473756336552	438.57870252041135	37.04020927741969	4679.5258905652045	60.51129696761306	6940.97826294814	3387.6847850601366	613.9166476687766	37.53954539026853	15.02363090053052	9.783973305918318	279.62605517238364	1885.857205123843	565.8926758730773	697.5942634110227	128.82842251175586	173.05992322448378	1261.046060879258	353.7101707437704	166.1569840518905	286.7253195957555	38.99550704484041
ARGORNPROST-PWY	1980.689039752202	3743.734008609928	2670.4696206508165	412.93054972630046	1118.0142859374714	6302.390414348927	1632.4077374149151	2887.42829976764	2409.1571085744818	1908.35916687343	3181.134618154443	1496.2639153212915	2760.33032982561	3611.186237236516	2162.3778550381658	1338.7184693290203	2323.0789373385383	1221.4672239567678	1086.93603142015	1027.245812940065	1786.250000609304	3664.512992125488	1602.412523013971	1525.3204091538244	736.412318292233	1094.8551376714684	1236.102016077985	2451.568612347295	2804.1449662873024	2784.072373717086	1079.7358027820558
ARGSYN-PWY	15831.466293735944	21110.34160689423	10577.532735291392	2807.1413956062984	5185.35577965156	12820.25332806682	3694.152609017623	9330.607588286968	6516.5899603839935	7849.214064279332	13299.225079662148	7938.318749189705	10253.254938943772	7327.637766004172	13636.942642114222	9509.900117928031	7321.5956459309455	4897.926686030779	2878.127312842301	3636.4239391717774	7072.546956503958	12878.902168190803	5744.585379557248	6016.881137275932	2686.8985074922048	3945.198887234845	5654.403841603928	9616.282608270732	9759.742718809488	10007.894447152414	4495.683785117042
ARGSYNBSUB-PWY	15509.13878380386	19743.91740933094	9436.266103491183	2578.426630046451	4793.8794603129045	11469.678644223384	3645.521768747041	8426.20516930632	5747.641847497112	7386.670784170404	12882.903268741917	7567.035982144981	9312.605867479057	6315.541209037834	12813.811454672525	8444.503972880062	6877.627177003047	4353.344514248451	2791.830136551362	3214.9408500612167	7260.60262516534	13022.730080277675	5748.554052809461	5902.328130676075	2767.7889949304367	4094.392477422204	5422.855350243007	9900.562332662908	9835.228021070345	10041.4163205418	4323.359437830201
ARO-PWY	12440.387738308378	13483.452482410576	5552.2108581589	1370.5275870067348	2493.861816034014	5829.26168282328	2412.9522560770843	4153.1175602880885	2554.60196569934	4253.988095153061	7824.601041882271	4303.707398622393	5650.811315720207	3132.887727890881	9329.216140926625	6036.72176477986	4537.247130535453	2307.469926146673	2129.487580438834	1794.8276923244498	7716.626762417439	13669.446830865185	5918.584007617756	5242.353179556992	2793.671762805239	4399.668314411807	4632.043322027794	9852.136013189833	9077.786908115995	10553.112026086732	3265.919999422325
ASPASN-PWY	14261.914982686192	15957.36874574832	6646.097592646403	1919.8179262115264	2987.8502958089884	4805.420798942075	1860.0048405144748	4564.355561585379	1984.8813741024985	5488.237636474938	8761.810030267685	5275.844520469502	6508.746068756168	2724.1358723657945	10769.53770511414	6602.375862944438	4223.114348388987	2433.277289019164	1870.830560533729	1715.9135532312202	7042.682233657159	13867.176648869823	6187.873714799523	6507.900746666427	2718.580873394924	3894.645307877335	6403.7533590438525	10189.98792957095	11609.054764589528	11184.323878658628	4781.784453016705
AST-PWY	9786.317706218537	9745.541235992208	3065.1388762043093	176.87067512242112	463.82934266997967	1947.205814097644	923.151252037339	898.1309464221334	864.0233232571892	642.7660369362507	1491.3012000972674	505.3468352279972	3456.17493708794	601.2790271834498	5403.863465442091	2829.862285230652	1454.654121037904	506.0215397800314	382.90229305408167	398.93049850601847	604.6568635894477	1681.1970556816148	618.9272545604043	851.878042175866	338.36281272561	499.9903453326416	1026.6681867887164	1081.4146571301676	1090.8515840626003	942.3536491336348	295.28064024169
BIOTIN-BIOSYNTHESIS-PWY	15949.195706514976	17586.138518930762	7021.531971294776	1839.3185527169887	2897.45858538648	5586.914565366711	2347.105269903804	4763.252406422151	2256.9236174098705	4646.787524105383	9340.645967315106	4940.523204097546	6919.1095857255805	2305.65113564424	11241.964118781818	6542.913841772044	4626.06014194994	2481.282599122797	1898.2557738694595	1819.6173557185348	4877.583227189531	9145.697570405651	3981.4407536345566	4303.32133873109	2302.504203836403	3143.880867471876	3864.265474861783	6898.230367170181	6674.143700552947	6833.874558529416	2658.0087462191937
BRANCHED-CHAIN-AA-SYN-PWY	16106.784054743392	18314.629918178096	8457.294621988809	2532.4736290826027	5087.40618595488	9276.526701921986	3685.9894907469024	7734.487447615178	5143.849615753254	8254.649949914008	12932.697585948268	8071.499764648799	8505.594451121466	5525.045017017591	13989.065702961028	8841.450983183704	6777.494318864352	3910.8555270827705	3085.02741755518	2903.1165892681124	8771.441402768254	15541.35547889194	7036.093199933311	7050.830379230181	3229.7162363009184	4916.232714371131	6558.610812826701	11591.260393189115	11368.590204329235	12441.808300508395	5061.879095699066
