pathway	055A	056A	068A	071A	077A	078A	091A	092A	098A	099A	100A	101A	217A	218A	219A	220A	223A	224A	225A	241A	242A	243A	244A	245A	246A	248A
1CMET2-PWY	10877.257845081023	13418.312461241483	3207.9071733336305	2171.6131210153912	23275.16612618896	5039.032723817368	16042.318378983851	11553.50586466537	10513.736239529975	12134.89184849478	14192.798618086194	13082.11204814673	13056.0666465373	27432.28855829901	9983.305985083627	27302.303515503383	18368.61378508692	23037.146806259712	17763.059138873028	19399.5738551338	28923.434326997085	22797.22424198204	26045.325962090734	15307.792666781868	13096.602520548404	29581.270892164743
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	166.38493771898533	148.03277656134696	180.0169664532839	240.94399875867933	73.48345975615096	294.4076693876469	240.49793402414608	150.7916486075623	643.2216668261982	386.9071879446877	492.1962007388107	492.3394637177786	163.9668567228432	244.57237487204813	247.5957325278044	126.69310918716644	89.69921352206664	134.6330347087096	181.8572847736273	16.146699580457	100.03310231183892	45.50384032118093	18.493835045987648	56.113013246888784	83.07025947296306	68.19923068854204
AEROBACTINSYN-PWY	104.0	92.67	0.0	0.0	0.0	0.0	78.33	67.33	88.67	101.67	96.0	100.67	14.955562212901938	76.6228187919463	160.82818824809576	89.32112462333191	65.67	103.33	109.67	11.67	76.39268500246669	32.67	13.670000000000002	40.33	66.36	58.391837449933256
ALL-CHORISMATE-PWY	8848.348101661279	9423.52784918198	148.9038482296795	262.16364476192354	107.71212960885464	164.35218849148652	8277.752093569805	8767.911591430297	10490.08021900762	10981.882548258263	12501.981477622654	11342.010752491216	2068.3249831673884	5009.888401923902	6838.231440204613	5925.924148048931	4920.148151697768	6503.381414876676	5733.235291162717	3706.123520067722	6974.693456185874	3582.1569888451177	1970.39350033364	2957.2441992010986	4427.755633391434	4481.540273423133
ANAEROFRUCAT-PWY	20092.411024224828	24479.99647521388	33202.0461524683	35201.304286720275	30912.89279915136	18197.08482946545	27996.782808230502	30290.65845003453	21833.98623097185	29637.710743120104	29556.61096884381	28660.165149750934	12208.65729071881	20454.588491937862	12563.563623241273	23402.302574489968	26214.32606755612	23581.50617333136	21898.28969230864	23044.97715812161	28410.781431155305	21638.95913110628	26480.35194320845	19329.678284351085	17399.534404978156	34634.77495705916
ANAGLYCOLYSIS-PWY	19402.068396768387	23755.011886085096	43096.11675459857	44985.51192925567	42827.57651667191	27057.92455686401	27491.99637803248	30612.28630389457	21090.997330859267	28660.43269688841	28632.73903520022	27664.46359262763	16859.88076939687	35409.459315171574	13212.392154851414	35175.4870636719	26829.040293017235	34197.93680633539	23549.536768139093	26016.595419702782	44112.27115025551	29487.762495524403	36552.28849429101	20397.35419857108	18174.976356198466	45708.33750383935
ARG+POLYAMINE-SYN	8702.401197516818	8887.341759370089	353.3502878314228	266.3645896869474	61.84451333334631	143.13598272416354	8712.371795427514	7526.571774920372	8815.612875937555	9519.375970605164	10654.104417475031	10324.23734890494	3302.209070775068	7017.96900656263	7283.073300975198	7776.262437279507	7136.507668766244	6913.154492467258	8332.687823264232	5330.62743249768	7073.45910846306	5925.486019785652	2924.1600341117496	4065.401770038116	3679.0679150110072	3809.6109872248926
ARGDEG-PWY	6848.364386388433	6665.010640152742	23.422319194733195	46.69470883709829	21.423396522610016	26.361992142722368	5740.257110673652	5465.660008253457	6954.8266681007535	7192.836629749458	7816.725323364689	7995.5444139615265	578.0652478630645	2612.1931106181214	5460.157757865445	3224.2965895791453	2799.330579142924	3246.069312703782	3711.211922842968	2112.079871490409	3283.874177725819	2283.4239376984224	769.4409923662218	1554.5170096587624	2194.621520976664	1932.103000718819
ARGORNPROST-PWY	3847.966803345737	1976.463414265202	12351.670546244895	13853.34277773047	4648.305357618549	4040.170683065972	7300.0428201639825	9804.479979137112	2008.2518709244416	1804.170970839642	4163.814694607705	2029.1705285878536	2557.448720399861	2559.7302877998004	4002.261452645392	5304.472069915351	5614.459107322963	4566.8854653956405	8144.220516742792	5257.657133637437	4311.288247811809	4697.609682971674	5865.505635455993	4054.88970615074	2668.8462739839288	5018.119030978996
ARGSYN-PWY	11628.282602380874	15065.027611573913	3919.957058356106	4713.264631892475	15993.303629152815	6865.579780692875	15877.842241370208	16214.45660589328	14241.192353954117	16698.144451954668	19076.727920899822	16404.299219616714	12979.356469874008	27731.90672350376	9195.255802960452	27773.71616511544	16561.427356781154	14523.453017166205	16695.193075436502	18820.15938293744	17167.80450122198	22483.0841263916	20176.512461672686	15444.483967952889	10869.559619627882	17960.682625942056
ARGSYNBSUB-PWY	11583.704498604337	15183.900237053656	13191.956161074804	11868.379888379632	15142.872994715484	6392.869007751282	15902.500972449832	16579.515127757848	15368.138393082936	18105.931356269484	20877.57561968632	16675.66467083087	13114.174843493089	28857.33404436989	9477.796621193029	28697.194396525083	15907.302167782796	10879.32766754896	17275.515390632467	19299.814036038137	13163.522430320929	23231.68969726121	15810.86198123126	15181.6298636887	10322.707069535994	14530.644639743015
ARO-PWY	10870.283878427566	13580.547234107553	13170.556578041122	13809.844197194798	11706.232353690111	4958.444527327175	16270.57506936976	14904.34865896231	14359.77620078571	14881.182566579268	19571.280695429043	14393.027707667445	15341.504767166753	32141.182722532056	11945.243573385884	32516.81090809459	17199.132312726426	18755.178538325086	21403.40720816756	21279.92321812078	23367.359744174468	25497.900328744727	21085.200819528887	16069.066655505618	12111.843425304987	23628.745705170582
ASPASN-PWY	7724.344511598191	10455.184830129456	280.0746237379065	392.4302284263843	3116.3350885369755	2342.9850231720657	12091.378653986336	7742.736438107498	7295.631905489346	8439.99866543082	9852.96237078625	9376.444646104232	13810.783183705367	26754.203833428823	8751.645715861256	27680.59235594692	14528.216830376929	22592.29373649146	13830.068440586756	16942.411176223206	29002.098378219107	21757.301762887462	28229.21139713549	16666.299978705032	13157.33833384138	30139.85264546293
AST-PWY	5222.09221926075	4983.182883006914	152.29468599033817	213.89025611987103	63.34383540844215	239.03669215889155	4049.676629117641	3776.32184715077	5118.851061063127	5199.839592258998	5586.070868844852	5925.183877014147	422.094759817518	1749.7833850786465	4224.286095857807	2061.7042536901467	1579.873805337813	2033.832729180778	2325.1062107416064	1310.3558826150488	2031.1746758354327	1441.8054568387513	410.3660150600033	864.6117445916097	1485.4126308687937	1159.2471817767462
BIOTIN-BIOSYNTHESIS-PWY	9004.023144457731	9188.994147264571	372.570121247858	510.7751474588878	184.1318274429948	2428.8312617486463	7879.666219173706	7482.178566113159	9253.16855434566	9812.470921530368	10521.932949584365	10801.53997835608	4862.02397466376	6357.60904356987	7392.719877358302	6927.543237176517	5373.562316646123	9321.946943568855	5369.106194347069	3288.6575721107806	10426.167841368944	3490.2012247713283	2857.696217682408	3676.263668399949	5680.138020376129	6711.035914336088
BRANCHED-CHAIN-AA-SYN-PWY	13323.83814184738	16824.126183178727	13522.400599537728	11378.328653687317	8881.16680791143	5798.692428299234	16995.08663118404	17065.673936264837	17787.211852935798	20353.168129531976	23822.303397520274	19104.94430378734	15627.853064544854	32346.14395180304	10956.105399922424	33373.079549631184	17107.78449764464	25524.196762566367	20099.66743722175	21626.739026042906	32822.358267695075	26298.14300392218	29280.02507771842	17008.387196674637	14453.775889239703	32458.19792614333
CALVIN-PWY	18032.42913171083	22233.95887472181	27224.366248704893	29665.082043344155	27999.90312658622	13271.412551623662	27852.476252846427	27151.505173938127	20481.243148289337	24873.8745376884	27830.24023989601	24713.066333656054	18423.833026404216	46188.209500043245	16592.11826429335	45535.81835964637	26866.625016552425	26521.687199227203	30861.90291446304	32713.07531467336	33677.46243113346	38148.02454529193	31894.056279847387	22353.163532164428	19091.31995198349	37304.88804439127
CATECHOL-ORTHO-CLEAVAGE-PWY	0.0	0.0	125.91326285439692	165.160530191458	53.69649805447472	206.836924293686	66.48888888888888	15.0	355.2011568309977	151.0	232.85	224.86	215.4302799571917	253.970217831282	88.19922634113112	8.506329113924052	0.0	0.0	86.86354531925168	0.0	14.481012658227847	0.0	5.0	0.0	18.79	2.0
CENTBENZCOA-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CENTFERM-PWY	0.0	191.5387391922083	0.0	13.832475222734034	439.8310214430738	66.3503860163242	3596.010312769811	979.9250989984002	92.21883556259176	224.68486348680656	1357.1107329321949	113.34051362273082	4530.486224689619	10966.787098396022	2205.4398142890627	11004.507747684607	3420.41211019242	2276.3292418744177	3002.7629918170296	5569.0867740429	2939.592715154988	7985.047117313376	2575.911933077617	4508.677086641029	2406.79742728276	2837.032482573615
CHLOROPHYLL-SYN	5.996462196412974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.202663810607596	0.0	0.0	0.0	0.0	0.0
COA-PWY	15837.244217516623	19181.42477634904	39422.66298105696	41098.35330504242	36450.841083613625	25225.64963221272	22639.09333471264	26138.4717195028	16833.78683406548	23780.653464417992	22835.952981181086	22728.21481460048	13672.78335558794	27257.71746789074	10144.561266557776	27488.92984030516	22145.154283168755	25549.69614293285	18855.387679084983	20934.09851531116	32653.7322217764	23159.517834929626	28739.78931362855	16177.99903258841	14900.961924903726	34084.77451964547
COBALSYN-PWY	5314.285286321462	7319.374399359563	169.41313093719077	235.69989588862703	8860.26589908133	471.91532002878887	8355.360292782583	4699.447500166301	5273.529351781913	5436.0885269308765	7171.669128232777	6288.198085938522	9527.205566477933	12209.767081164791	7704.3125682148675	11564.146595179329	9071.999589496723	18606.791620157568	9493.09858432635	6864.6266527259695	25524.565061313784	11911.715654336987	14579.477229734148	7755.480155153066	4931.961180879582	25214.10140348464
CODH-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.94432823001997	60.925281784658935	24.945956696181515	0.0	3.999599630859653	11.99608930506408	7.998031821751938	0.0	13.9960051509095	0.0	14.995335383829495	0.0	0.0	484.5952308146872
COLANSYN-PWY	8682.806261354994	9988.237740319812	339.6238751488903	435.21317629103794	3119.767442496144	945.3361840902172	9416.623226310316	7742.630424590602	8673.527566719064	9428.20099554732	10688.9433354152	10477.299628843582	7568.271512880864	13232.116462664875	8235.06506978333	12473.38269830496	8656.932764844703	17954.414819743884	9568.4151830517	6376.2067466317485	21704.20017838439	8917.666589581437	15093.89097208598	8074.181601007422	9364.099601572225	20705.310471659675
COMPLETE-ARO-PWY	11310.735267916603	14270.414534836447	14072.041793973956	14696.092950747476	12437.310623101488	5454.349451094918	16841.584649456898	15433.132217156171	15125.973230248614	15693.661279736703	20578.830273127423	15144.72959741062	16005.085639735606	33724.28535881407	12307.791258628113	34119.34281525933	17801.100627736883	19933.922448162844	22043.71160517316	22159.955027297303	24922.207756920343	26662.163819346133	22388.435946337577	16772.97441299711	12609.822195378383	25162.999766524543
CRNFORCAT-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.52883740794395	21.994187602523112	24.721164666834444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DAPLYSINESYN-PWY	12082.187892814589	14587.887207370415	4032.6165833821183	2736.0874261298145	19606.30537176603	6927.865586558342	17507.440531921846	17233.30427707412	11598.03941051899	13703.70754558421	15699.400880513906	14649.800779893589	13599.279305855493	26636.23219236032	10441.454766513927	28266.60714854208	17702.352820410422	11345.168975238174	18311.343624832905	20221.091410476187	13862.225384433508	22877.691027364184	15803.54690980634	16009.420846776477	10936.007839055135	16123.781117578552
DENITRIFICATION-PWY	0.0	0.0	121.74437199322792	163.7397881996974	46.0	196.00000000000003	56.76521739130435	15.0	45.0	6.0	13.0	17.0	53.93983397248368	99.7347495260602	29.7790538010236	6.353697749196141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DENOVOPURINE2-PWY	17732.860451456356	21182.371042301114	43528.07883096189	45480.03904453857	38588.24879430636	27689.00402965669	22963.05940466999	28844.6647471626	18834.24433969952	26505.534821595786	25402.722248097747	25429.25984625093	9133.187076752683	16216.152232843366	10662.39119942939	16063.733372927674	22599.65437935424	24680.94274272597	17282.772726375606	17915.595311578523	31531.84859785049	15596.908248671069	25202.131582116523	14620.33866034923	14014.727826715987	31819.78676252931
DHGLUCONATE-PYR-CAT-PWY	0.0	0.0	125.99350504632427	169.87166179256388	51.58015579000746	210.3815429989021	63.54595928787673	18.731156182916013	71.79287150068629	9.86548987243617	21.254441565623004	27.610797100239616	0.0	28.70787250988584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.611310450255642	0.0	3.569668948826796	0.0
DTDPRHAMSYN-PWY	2736.005662867853	4797.76614846754	9385.608936581752	11281.18907274852	12886.773146396736	3972.5875558859	9902.240402406282	6565.672474699055	1771.381103454901	1499.7909930083488	5043.828731156989	1985.8798655691185	10918.628809157348	25085.5730179357	7466.378645247243	23197.664849578832	13237.218922920842	28235.705622078884	16118.184880065262	16727.10167482136	37569.8467928652	19831.01120664419	33247.67818759568	11346.395201693584	10445.467049081157	38537.48722014088
ECASYN-PWY	6486.22376679272	6632.827214791397	35.15678862098439	38.21922773373574	41.62415708286881	1525.4784587110432	5491.892250485997	5233.072736429035	6250.809649223378	6653.381480987258	7185.544849834634	7486.595277781282	572.8361279734597	2714.1488432111246	5053.234913338832	3166.7609567808304	2362.609846912512	3327.5689554788864	3431.921334870431	2135.742389204156	3431.564671091668	2288.6885990438063	816.4173316151996	1358.5113841620612	2320.021156380921	2139.842792771426
ENTBACSYN-PWY	11377.970317324523	11581.053746873671	47.94281222653427	105.0714306341298	43.90095821613947	53.19162387379501	10781.163677017712	11876.03712680538	12090.207736032758	14203.392367228886	14449.948556174004	14847.428621166691	1273.1704490115287	4601.080366261484	7178.046048016069	5592.516006557037	5395.899825336686	4216.989455322704	5720.105254412652	4262.7086663770415	4414.563528469561	4099.819005204069	1705.3471769801272	2981.052174144269	4125.405043683875	3482.9500026441046
FAO-PWY	12048.775076670236	13570.217604746496	2952.060336127356	3219.819256249115	673.7640823693213	1485.3820642452624	10247.6184961342	11766.721996474747	15676.37375896161	16235.017840437436	18830.640318041296	16314.7214846917	3475.352301853379	7113.85902766666	9038.686862833458	8070.656451173337	5650.983825251244	5627.489326009691	7354.190986463885	4997.9666303644535	6226.942378267476	5068.777255553382	1415.440683897765	3503.919430828937	5183.08057576425	4063.0505557900137
FASYN-ELONG-PWY	19860.29768103219	22939.19311236001	48316.11014896085	50877.199098262514	40605.15302534463	30525.245278159324	24283.440804985108	31818.654273375945	21895.74393213293	29947.71422871308	28827.981932936545	28762.3828181764	10086.689206714598	13680.99671049128	11762.890524673536	17701.52870658576	24011.80778303949	28537.00900009316	17236.714540510155	16621.89345878882	35861.41241348709	13763.402950013202	29851.99386657865	15998.390251419818	16119.229672022737	35277.0573022585
FASYN-INITIAL-PWY	8903.540809627899	9117.256165609013	967.575712791152	1280.5347880311033	439.6921893634892	3655.2182628689097	8103.040447839828	7845.873029590733	9343.10416911163	9884.647358529484	10652.317717202966	10799.191024217736	3719.3554911582114	6932.5848947306695	7245.849818266602	4906.631092513992	3769.385862241656	4608.995479844549	5632.321914491547	3320.7682554864773	4873.679788867034	3363.868848287447	1120.069375913996	2075.5428327640298	3300.181910115496	2837.2044087831864
FERMENTATION-PWY	14630.453179605704	16438.021826681845	11447.95904301327	9898.420894815925	1815.619855288298	4427.713024423412	13192.871271113623	18649.05262037524	18606.18288217544	21308.613014224524	23235.615142788964	20533.77006450197	10286.77367861071	13303.012078819109	9491.315199745275	18713.90469653776	13409.695379282448	18753.351892199084	10274.03355006303	8522.470392974836	20920.46239454068	7559.803065986345	20204.26916112557	11716.187730024736	12350.19287316028	19592.74786166089
FOLSYN-PWY	14842.342346832216	17706.005509698123	14770.918057158426	12815.696181886637	2640.420571866841	5681.854637614917	17101.835283419932	20564.15110924857	17289.59127605341	21073.114791531585	22511.738734322247	20385.48503496552	10291.380260692154	20254.49138388681	9815.342227258285	20880.68503352096	14114.056460398057	23570.3573290871	15129.125139570604	14445.613748351658	29807.430187687045	13953.230042640564	25264.030777172346	9833.511616218151	11959.918350031585	30450.82690940889
FUC-RHAMCAT-PWY	6043.299108887777	6000.5243616167645	121.64659113940014	136.03468398808457	101.35986432895326	1839.9473114814764	6272.888541903853	5398.793583022675	5809.885884882186	5949.054523175774	7032.907373575638	6729.858797227494	1421.8716254682931	2999.199504984615	5870.401805076198	3567.787533165282	3721.44944109994	5265.656463267932	5695.386861479116	3514.7640022987243	5906.914279223036	3589.340770417129	3087.3817214063884	2038.0886654399508	2934.160236733636	3988.771321662768
FUCCAT-PWY	5446.178400526623	5531.441514589398	54.54981554225058	60.93567152210498	45.804669332401815	1289.803021394477	4934.182443390818	4311.46093856871	5216.4614436434495	5348.820720419383	6073.425356920059	6107.108013118909	1418.66827968366	2660.726402543856	5028.14461265247	3462.236518379761	2835.840007675367	2926.5358582745075	4296.201406895339	2864.323213711087	3134.7949076532664	2747.727192704423	1645.805655991273	1604.6807847154707	2231.3572225551	1991.9440133692976
GALACT-GLUCUROCAT-PWY	6871.016969575963	8816.976603963349	52.64169827268911	79.30621463908028	2537.251607688192	104.4061234747225	7876.486077967326	6842.690528847585	6816.388472225385	7310.60494353297	9111.20362254892	8186.166798161038	5759.363935569213	8589.333869449641	7745.705416277191	9805.495722950336	9346.21072405125	7778.457543582231	7697.794611811932	6248.376645905955	7685.834068890717	7954.59060243024	8045.375746669139	6057.23002182363	6698.174838278337	4536.989075348523
GALACTARDEG-PWY	5898.285714285716	5633.459079359755	23.91490582665546	36.09994897205462	73.79954400299675	19.343910639056944	4609.59676360112	4365.42305985426	5730.774214290871	5868.740325942402	6301.223020476982	6680.837046387695	1275.098492274592	2643.5987738395097	5049.877766005659	2660.216040519484	2047.45577473129	2369.84028350573	2746.546415389565	1615.172033044057	2386.4727961491685	2466.893745188268	513.3233614356084	1438.965262864873	1746.9341755924672	1371.2645680770167
GALACTUROCAT-PWY	6901.67220939291	9153.295995683193	94.441997798193	93.81744064466962	9685.364114770451	726.0125855557606	8896.965530822234	7318.183012766294	7183.327559224565	7736.919784580997	9787.675889053333	8481.657925052898	8211.082786902187	10671.825663783206	8455.120241473165	11915.607004626036	11949.37599050747	8994.855875226873	8475.904927319463	7435.836993391607	9601.087664695138	10168.299513782493	9696.88317854608	8588.348120692013	7863.219867543556	6934.590532964919
GALLATE-DEGRADATION-I-PWY	0.0	0.0	6.0	11.0	0.0	30.625732364659008	2.0	0.0	0.0	0.0	0.0	0.0	61.57809373897474	61.610636044909775	5.75	0.0	0.0	0.0	5.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GALLATE-DEGRADATION-II-PWY	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	36.138690169277474	35.6541674133559	5.75	0.0	0.0	0.0	5.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GLCMANNANAUT-PWY	16884.100878524536	21840.776853273663	37740.93767529166	38201.109590291584	38421.7548259506	25152.76984398844	21234.023882646907	26332.30183146422	19196.231549755743	26947.30916981288	25575.674518130032	25736.37951416264	8007.99990255481	27388.679735424183	9209.16525690063	27848.885779665783	20896.948827066582	23993.783085724608	16519.97538354105	22370.61554198232	31752.976318078505	22931.00537494746	25113.67422163837	14980.544810991149	15083.04354125066	33503.4505331261
