#NAME,Experiment,Tissue type,DOL,Genotype
050B,C,TI,DOL11,Sig Homo 
052B,C,TI,DOL11,Sig Homo 
059B,C,TI,DOL11,Sig Homo
064B,C,TI,DOL11,Sig Homo
065B,C,TI,DOL11,Sig Homo
073B,C,TI,DOL11,Sig WT
074B,C,TI,DOL11,Sig Homo
075B,C,TI,DOL11,Sig WT
076B,C,TI,DOL11,Sig Homo
081B,C,TI,DOL11,Sig WT
083B,C,TI,DOL11,Sig WT
085B,C,TI,DOL11,Sig WT
086B,C,TI,DOL11,Sig Homo
088B,C,TI,DOL11,Sig WT
095B,C,TI,DOL11,Sig Homo
097B,C,TI,DOL11,Sig WT
103B,C,TI,DOL11,Sig Homo
105B,C,TI,DOL11,Sig WT
106B,C,TI,DOL11,Sig WT
107B,C,TI,DOL11,Sig WT
215B,C,TI,DOL11,Sig WT
226B,C,TI,DOL11,Sig WT
227B,C,TI,DOL11,Sig WT
228B,C,TI,DOL11,Sig WT
229B,C,TI,DOL11,Sig Homo
233B,C,TI,DOL11,Sig Homo
234B,C,TI,DOL11,Sig Homo
235B,C,TI,DOL11,Sig WT
237B,C,TI,DOL11,Sig Homo
238B,C,TI,DOL11,Sig Homo
239B,C,TI,DOL11,Sig Homo
