"","051B","058B","060B","066B","067B","080B","082B","084B","087B","096B","102B","104B","108B","110B","116B","117B","118B","123B","125B","127B","128B","131B","132B","136B","139B","143B","144B","147B","150B","152B","153B","154B","159B","160B","164B","169B","214B","216B","230B","231B","232B","236B","240B","251B","255B","257B","262B","263B"
"Actinobacteria","  8","  1","  4","  6","  0","  3"," 11","  8"," 11","  0","  3","  0","229","144","115"," 65"," 80"," 30","  1"," 35","203","410","159","157","  2","  7","  4","  0","  0"," 10","  0","  0","  0"," 23","  5","  0","300","  0","121"," 19","287"," 64","209","  4"," 27","  5","  7","  5"
"Bacteroidetes","  13","   7","   8","  10","   1","  13","  39","  57","  13","   7","   2","   2","2579","1937","2469","1099","1130"," 879","  96"," 449","2843","1617","1111","1519"," 100","  11","  42","  31","  79","   5"," 100","  68","1268","  18","  11","  36"," 980","2399"," 723"," 620"," 872"," 516","1277"," 162"," 176","   9","  38","  24"
"Epsilonbacteraeota","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5"," 12","  0","  6","  0","  0","  0","  0","116","  0"," 66"," 79"," 99"," 68","187","  0","  0","  0","  8","  0"
"Euglenozoa","23","21"," 1"," 5"," 3","67","66","74","18"," 1","36"," 0"," 0"," 1"," 0"," 0"," 1"," 0"," 1"," 0"," 0"," 1"," 0"," 0","22","10","22","13","65","40","53","81","10","67"," 5","55"," 2"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 3"," 0"," 0"," 0"
"Firmicutes"," 717","3542","6306","7558","7872","4720","4340","5541","7972","6260","5922","7571","5652","6376","5869","7307","7256","7560","8356","7987","5398","6403","7167","6736","7177","5372","6980","8201","7756","8212","7420","4867","5443","6195","8018","8099","1851","3405","5510","4726","4490","4883","4403","8054","7965","7561","8317","8379"
"Fusobacteria"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 6"," 0"," 0","19"," 0","34","75","77"," 8","23","19","11"," 0"," 2"," 0"
"Patescibacteria"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 1"," 0"," 0"," 0"," 2","11"," 7","17"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","15"," 0"," 7"," 0","15","20","12"," 0"," 8"," 0"," 0"," 0"
"Proteobacteria","7715","4905","2157"," 897"," 600","3673","4020","2796"," 462","2205","2513"," 903","  16","  18","  22","   5","   8","   7","  22","   5","  30","  34","  32","  47","1173","3076","1428"," 231"," 571"," 197"," 903","3454","1755","2167"," 437"," 286","5063","2672","1954","2926","2524","2891","2218"," 229"," 272"," 897"," 104","  62"
"Spirochaetes","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","130","  0"," 61"," 31","108"," 26","147","  8"," 14","  4","  0","  6"
"DOL","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P28","P28","P28","P28","P28","P28","P28","P28","P28","P28","P28","P28","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P11","P11","P11","P11","P11","P11","P11","P14","P14","P14","P14","P14"
"sample","051B","058B","060B","066B","067B","080B","082B","084B","087B","096B","102B","104B","108B","110B","116B","117B","118B","123B","125B","127B","128B","131B","132B","136B","139B","143B","144B","147B","150B","152B","153B","154B","159B","160B","164B","169B","214B","216B","230B","231B","232B","236B","240B","251B","255B","257B","262B","263B"
