"","MeanDecreaseAccuracy"
"Alistipes",0.075105
"Butyricicoccus",0.061086
"Prevotellaceae_UCG_001",0.039659
"Streptococcus",0.037033
"Enterococcus",0.026293
"Marvinbryantia",0.022525
"Lachnospiraceae_FCS020_group",0.021592
"Intestinimonas",0.02036
"Ruminiclostridium",0.018158
"Not_Assigned",0.017664
"Lactobacillus",0.017638
"Angelakisella",0.017077
"Candidatus_Saccharimonas",0.013165
"Muribacter",0.013125
"Oscillibacter",0.011436
"Anaeroplasma",0.011431
"Lachnoclostridium",0.010173
"A2",0.0088007
"Staphylococcus",0.008609
"Acetatifactor",0.0080743
"Bacteroides",0.007491
"Parabacteroides",0.0069289
"Tyzzerella",0.0064961
"Rikenellaceae_RC9_gut_group",0.0062179
"Lachnospiraceae_NK4A136_group",0.0058977
"Ruminiclostridium_5",0.0056765
"Ruminiclostridium_9",0.0055256
"Roseburia",0.0051206
"Escherichia_Shigella",0.0049329
"Enterorhabdus",0.0038324
"ASF356",0.0030715
"Odoribacter",0.0026243
"Bifidobacterium",0.0025015
"Parasutterella",0.0018284
"Anaerotruncus",0.0014936
"Pseudomonas",0.0011061
"GCA_900066575",0.00098722
"Clostridium_sensu_stricto_1",0.00075647
"Turicibacter",0.00046353
"Muribaculum",0.00043601
"Lachnospiraceae_UCG_006",-4.5635e-05
"Romboutsia",-0.00018375
"Faecalibaculum",-0.00050723
