function	46	25	22	11	2	40	235A	228A	227A	226A	073A	107A	106A	105A	097A	075A	081A	083A	085A	215A	088A	260A	259A	261A	167A	140A	146A	151A	156A	258A	161A	158A	162A	124A	119A	134A	135A	137A	115A	111A	120A	129A
EC:1.1.1.1	153808.19999999998	217513.17	154382.77000000002	176567.06	223632.96	165601.62999999998	68255.0	48266.01	51080.62	68366.98000000001	117507.34	116200.65	97947.79	101008.23	88864.20999999999	117151.76	93361.68	86558.0	75588.26999999999	27304.71	96595.19	56083.0	43021.7	30002.0	73416.19	68011.5	59233.09	79056.61	70246.6	29172.33	71820.54	48916.46	65583.09	70111.42	61783.12	61115.34	48349.8	66991.95	83695.12	73327.62999999999	49842.05	46300.72
EC:1.1.1.100	106593.9	153251.15000000002	107471.95	124915.42	171826.06	114093.94	50119.17	30678.17	36545.96	50228.22	101886.84	85162.02	72893.54	74382.62999999999	72402.97	92445.39	70956.23	66342.0	57963.62999999999	46072.82	74587.49	67528.18	61267.36	49628.490000000005	81669.33	68633.28	59310.83	67513.19	64015.100000000006	51397.8	82493.04000000001	51733.32000000001	70839.36	62483.05	69113.61	72008.44	53469.73	92767.25	85705.65999999999	67163.82999999999	50874.69	85968.14
EC:1.1.1.102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.103	7763.29	6860.5	7692.92	6990.93	451.01	8678.5	1641.75	3434.67	3376.08	3234.33	242.25	12.75	21.0	543.17	1384.86	47.25	418.0	669.0	591.74	283.25	1467.25	546.0	1061.0	410.0	190.75	2434.2	2577.15	2446.07	2889.75	3235.0	1902.96	2105.93	1530.01	200.35	163.65	197.42	294.5	393.5	131.6	221.9	116.2	423.1
EC:1.1.1.105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.108	64.0	73.0	97.0	206.0	3544.0	77.0	23.0	0.0	0.0	0.0	64.0	17.0	55.0	18.0	73.0	51.0	325.0	398.0	610.0	99.0	285.0	861.0	807.0	448.0	75.0	227.0	153.0	508.0	441.0	1628.0	117.0	184.0	152.0	29.0	35.0	118.0	39.0	286.0	55.0	50.0	34.0	328.0
EC:1.1.1.11	6.29	12.5	0.0	14.5	7.5	0.0	0.0	0.0	5.0	3.25	0.0	0.0	0.0	0.0	1068.86	0.0	418.0	669.0	586.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1036.14	0.0	989.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.122	84.0	103.5	70.0	149.5	173.5	98.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	3.0	0.0	0.0	0.0	3.0
EC:1.1.1.125	7717.58	6878.33	7659.25	6946.53	334.11	8661.39	1624.75	3436.67	3369.08	3242.0	19.75	12.75	19.0	543.17	2146.8900000000003	19.25	836.0	1338.0	1178.73	100.75	1388.75	19.0	130.0	16.0	5.25	2371.0	2454.25	2357.17	2873.25	0.0	2650.7	2079.83	2445.94	41.25	31.75	53.25	0.0	50.5	45.0	19.0	18.0	145.0
EC:1.1.1.130	7678.5	6784.17	7700.75	6813.43	219.52	8559.5	2355.42	3485.5	3538.58	3507.61	254.59000000000003	323.41	275.94	895.5	42.0	189.75	154.82999999999998	140.5	787.0799999999999	65.75	1505.34	41.5	53.370000000000005	53.33	36.59	2279.5	2445.92	2347.67	2850.25	1295.0	590.34	2039.33	467.33	72.25	24.75	28.42	30.5	67.5	41.0	30.6	11.0	58.5
EC:1.1.1.132	43.0	30.0	45.0	52.0	99.0	49.0	0.0	0.0	0.0	0.0	12.0	17.0	37.0	18.0	9.0	22.0	7.0	0.0	35.0	0.0	40.0	0.0	0.0	0.0	20.0	0.0	9.0	0.0	8.0	0.0	0.0	3.0	0.0	7.0	0.0	8.0	0.0	0.0	6.0	0.0	0.0	8.0
EC:1.1.1.133	2818.78	1918.5	1757.93	2041.18	6556.87	2714.46	2024.0	637.0	2310.2	2526.63	12635.0	3423.37	3315.4	2883.82	5358.41	6081.13	2904.8	3064.4999999999995	1602.11	16203.44	5630.3	17372.68	19194.29	16837.16	14000.39	15703.0	9803.09	6053.05	7560.8	28853.4	16504.969999999998	9308.740000000002	11277.1	14049.88	14267.94	16757.27	13147.33	23818.95	10522.89	11294.9	15104.69	23585.97
EC:1.1.1.136	11.0	20.33	12.67	29.67	52.0	8.22	0.0	0.0	0.0	19.0	38.5	0.0	0.0	0.0	65.17	10.0	0.0	0.0	0.0	0.0	75.0	327.33	321.5	96.0	170.17	24.0	13.5	45.5	7.5	0.0	38.0	43.5	74.5	138.5	141.5	190.67	100.17	374.33	101.0	189.17	97.0	333.33
EC:1.1.1.137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.8	8.0	25.0	37.0	30.0	0.0	6.0	24.0	0.0	0.0	10.0	0.0	25.0	40.0	0.0	17.0	21.0	0.0	0.0	0.0	18.0	0.0	37.0	33.0	46.0	148.0	0.0	2565.0	1928.0	264.0	19.0	0.0	58.0	25.0
EC:1.1.1.14	220.29	184.67	288.34000000000003	400.67	3897.0	325.66	72.0	88.0	524.0	517.03	6664.5	17.0	677.6	407.5	3463.03	2933.5	1267.0	1519.0000000000002	1256.99	6639.5	2287.0	7297.33	10378.7	4863.0	7801.67	5934.62	5611.4	5971.9	5697.0	4952.0	6600.789999999999	5082.85	6831.26	4041.77	6082.9	8905.51	4005.17	18501.0	6117.43	5259.17	4482.37	21472.76
EC:1.1.1.140	17046.58	14666.0	15867.5	14397.86	4933.36	18847.34	3249.5	6996.34	6748.96	6488.1	5066.5	3247.37	2388.8	3137.4100000000003	3208.59	3121.63	2305.8	2672.0000000000005	1752.35	61.440000000000005	5938.55	47.0	0.0	0.0	527.3	4616.5	5068.0	5907.9400000000005	5980.5	2119.0	3776.5	4161.16	3475.3700000000003	67.5	46.5	164.5	35.0	260.0	192.0	89.0	14.0	342.0
EC:1.1.1.144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
