"","073B","075B","081B","083B","085B","088B","097B","105B","106B","107B","111B","115B","119B","120B","124B","129B","134B","135B","137B","140B","146B","151B","156B","158B","161B","162B","167B","215B","226B","227B","228B","235B","258B","259B","260B","261B"
"Lactobacillus",1408,1840,1593,1144,1669,1959,1600,1974,789,2051,1671,1549,1998,1706,1506,1694,2140,1562,1766,1440,1402,2219,1740,922,1599,1929,2334,594,582,532,1091,769,373,1905,1614,1937
"Escherichia_Shigella",2,3,2,1,2,1,0,2,7,0,0,2,1,0,0,0,2,0,0,176,714,50,208,40,0,6,1,30,398,177,188,12,241,41,172,61
"Muribacter",443,424,654,1055,640,181,159,320,1173,220,0,0,0,0,0,0,1,0,0,557,90,8,325,0,210,184,7,279,345,802,566,364,7,131,38,10
"Staphylococcus",4,2,5,22,10,7,8,1,0,0,0,0,0,0,0,0,1,0,0,3,0,2,13,86,10,24,0,32,25,9,8,36,82,78,52,52
"Candidatus_Arthromitus",0,0,0,0,0,0,0,0,0,0,590,289,239,0,348,0,0,74,340,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0
"Streptococcus",315,41,14,19,4,160,20,45,129,46,2,1,1,2,3,3,2,1,2,57,28,11,33,263,42,72,17,62,70,175,112,16,53,65,49,75
"Klebsiella",0,0,0,58,0,0,590,1,0,0,0,0,4,0,0,0,0,0,0,13,0,0,0,0,427,5,0,25,7,15,3,22,14,4,2,0
"Enterococcus",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,7,0,0,18,175,23,102,29
"Pseudomonas",151,42,42,49,23,30,6,25,108,30,1,1,0,2,0,1,0,5,1,86,76,34,41,561,46,78,12,83,57,65,63,121,10,2,2,0
"Lachnospiraceae_NK4A136_group",0,0,0,0,0,0,0,0,0,0,3,5,2,4,2,22,1,9,4,1,0,0,0,0,0,1,0,13,10,4,0,20,42,2,26,8
"Muribaculaceae",0,0,0,0,0,0,0,0,0,1,95,456,131,430,436,504,114,531,229,2,8,19,0,49,7,0,0,3,3,2,2,6,66,17,51,25
"Lachnospiraceae",0,0,0,0,2,0,0,0,2,0,2,20,0,2,9,64,0,26,3,8,7,1,0,19,0,0,0,40,36,4,13,11,143,15,71,32
"Bacteroides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,78,81,39,34,104,146,15,26,21
"Rodentibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,45,16,22,23,11,38,29
"Turicibacter",0,0,0,0,1,2,0,0,0,5,1,0,3,170,36,0,37,10,4,4,0,9,0,14,0,0,0,4,11,0,5,19,17,2,0,0
"Parabacteroides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,6,0,0,5,0,3,2,3,59,10,28,15
"Phyllobacterium",43,28,62,23,34,27,3,3,52,10,0,0,0,0,3,0,1,0,0,5,13,3,2,127,12,12,4,0,0,0,0,0,0,0,0,0
"Rikenellaceae_RC9_gut_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,3,0,21,17,3,10,20,26,3,2,3
"Lachnoclostridium",0,0,0,0,0,0,0,0,0,0,8,31,1,6,7,28,1,29,4,0,0,0,0,6,0,0,0,6,2,0,1,0,27,0,18,2
"Alistipes",0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,7,2,7,0,3,0,2,0,0,0,6,0,31,23,6,1,26,47,0,1,2
"Alloprevotella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,17,13,3,13,17,4,0,1
"Clostridium_sensu_stricto_1",1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,12,40,18,0,0,0,0,0,1,0,1,20,9,10,10,23,27,2,3,7
"Romboutsia",0,0,0,0,0,0,0,0,9,0,0,0,0,39,9,5,27,4,2,0,0,0,0,0,0,0,0,32,30,20,17,26,32,0,5,3
"Bifidobacterium",0,0,0,0,0,0,0,0,2,0,7,1,0,3,1,0,33,15,4,0,0,0,0,0,0,0,0,17,4,0,10,13,10,0,6,0
