"","073B","075B","081B","083B","085B","088B","097B","105B","106B","107B","111B","115B","119B","120B","124B","129B","134B","135B","137B","140B","146B","151B","156B","158B","161B","162B","167B","215B","226B","227B","228B","235B","258B","259B","260B","261B"
"Lactobacillus",5896147.40368509,7705192.62981575,6670854.27135678,4790619.76549414,6989112.22780569,8203517.5879397,6700167.50418761,8266331.65829146,3304020.10050251,8588777.21943049,6997487.43718593,6486599.66499162,8366834.17085427,7144053.60134003,6306532.66331658,7093802.34505863,8961474.03685092,6541038.52596315,7395309.88274707,6030150.75376884,5871021.77554439,9292294.80737018,7286432.16080402,3860971.52428811,6695979.89949749,8077889.44723618,9773869.34673367,2487437.18592965,2437185.92964824,2227805.69514238,4568676.71691792,3220268.00670017,1561976.54941374,7977386.93467337,6758793.96984925,8111390.28475712
"Escherichia_Shigella",8375.20938023451,12562.8140703518,8375.20938023451,4187.60469011725,8375.20938023451,4187.60469011725,0,8375.20938023451,29313.2328308208,0,0,8375.20938023451,4187.60469011725,0,0,0,8375.20938023451,0,0,737018.425460637,2989949.74874372,209380.234505863,871021.775544389,167504.18760469,0,25125.6281407035,4187.60469011725,125628.140703518,1666666.66666667,741206.030150754,787269.681742044,50251.256281407,1009212.73031826,171691.792294807,720268.006700168,255443.886097152
"Muribacter",1855108.87772194,1775544.38860972,2738693.46733668,4417922.9480737,2680067.00167504,757956.448911223,665829.145728643,1340033.50083752,4912060.30150754,921273.031825796,0,0,0,0,0,0,4187.60469011725,0,0,2332495.81239531,376884.422110553,33500.837520938,1360971.52428811,0,879396.984924623,770519.262981575,29313.2328308208,1168341.70854271,1444723.61809045,3358458.96147404,2370184.25460637,1524288.10720268,29313.2328308208,548576.21440536,159128.978224456,41876.0469011725
"Staphylococcus",16750.418760469,8375.20938023451,20938.0234505863,92127.3031825796,41876.0469011725,29313.2328308208,33500.837520938,4187.60469011725,0,0,0,0,0,0,0,0,4187.60469011725,0,0,12562.8140703518,0,8375.20938023451,54438.8609715243,360134.003350084,41876.0469011725,100502.512562814,0,134003.350083752,104690.117252931,37688.4422110553,33500.837520938,150753.768844221,343383.584589615,326633.165829146,217755.443886097,217755.443886097
"Candidatus_Arthromitus",0,0,0,0,0,0,0,0,0,0,2470686.76716918,1210217.75544389,1000837.52093802,0,1457286.4321608,0,0,309882.747068677,1423785.59463987,0,0,4187.60469011725,0,0,0,8375.20938023451,0,0,0,0,0,0,4187.60469011725,0,0,0
"Streptococcus",1319095.47738693,171691.792294807,58626.4656616415,79564.4891122278,16750.418760469,670016.75041876,83752.0938023451,188442.211055276,540201.005025126,192629.815745394,8375.20938023451,4187.60469011725,4187.60469011725,8375.20938023451,12562.8140703518,12562.8140703518,8375.20938023451,4187.60469011725,8375.20938023451,238693.467336683,117252.931323283,46063.6515912898,138190.954773869,1101340.03350084,175879.396984925,301507.537688442,71189.2797319933,259631.49078727,293132.328308208,732830.820770519,469011.725293132,67001.675041876,221943.048576214,272194.304857621,205192.629815745,314070.351758794
"Klebsiella",0,0,0,242881.072026801,0,0,2470686.76716918,4187.60469011725,0,0,0,0,16750.418760469,0,0,0,0,0,0,54438.8609715243,0,0,0,0,1788107.20268007,20938.0234505863,0,104690.117252931,29313.2328308208,62814.0703517588,12562.8140703518,92127.3031825796,58626.4656616415,16750.418760469,8375.20938023451,0
"Enterococcus",0,4187.60469011725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4187.60469011725,0,0,0,0,0,0,0,29313.2328308208,29313.2328308208,0,0,75376.8844221106,732830.820770519,96314.9078726968,427135.67839196,121440.5360134
"Pseudomonas",632328.308207705,175879.396984925,175879.396984925,205192.629815745,96314.9078726968,125628.140703518,25125.6281407035,104690.117252931,452261.306532663,125628.140703518,4187.60469011725,4187.60469011725,0,8375.20938023451,0,4187.60469011725,0,20938.0234505863,4187.60469011725,360134.003350084,318257.956448911,142378.559463987,171691.792294807,2349246.23115578,192629.815745394,326633.165829146,50251.256281407,347571.189279732,238693.467336683,272194.304857621,263819.095477387,506700.167504188,41876.0469011725,8375.20938023451,8375.20938023451,0
"Lachnospiraceae_NK4A136_group",0,0,0,0,0,0,0,0,0,0,12562.8140703518,20938.0234505863,8375.20938023451,16750.418760469,8375.20938023451,92127.3031825796,4187.60469011725,37688.4422110553,16750.418760469,4187.60469011725,0,0,0,0,0,4187.60469011725,0,54438.8609715243,41876.0469011725,16750.418760469,0,83752.0938023451,175879.396984925,8375.20938023451,108877.721943049,33500.837520938
