"",DOL,Genotype,samples,variable,value,se
"1",P11,Sig_Homo_HET,214A,Observed,7,
"2",P11,Sig_WT,215A,Observed,3,
"3",P11,Sig_Homo_HET,216A,Observed,12,
"4",P11,Sig_WT,226A,Observed,10,
"5",P11,Sig_WT,227A,Observed,6,
"6",P11,Sig_WT,228A,Observed,5,
"7",P11,Sig_Homo_HET,229A,Observed,3,
"8",P11,Sig_Homo_HET,230A,Observed,5,
"9",P11,Sig_Homo_HET,231A,Observed,5,
"10",P11,Sig_Homo_HET,232A,Observed,4,
"11",P11,Sig_Homo_HET,233A,Observed,5,
"12",P11,Sig_Homo_HET,234A,Observed,4,
"13",P11,Sig_WT,235A,Observed,5,
"14",P11,Sig_Homo_HET,236A,Observed,5,
"15",P11,Sig_Homo_HET,237A,Observed,5,
"16",P11,Sig_Homo_HET,238A,Observed,4,
"17",P11,Sig_Homo_HET,239A,Observed,4,
"18",P11,Sig_Homo_HET,240A,Observed,6,
"19",P14,Sig_Homo_HET,249A,Observed,6,
"20",P14,Sig_Homo_HET,250A,Observed,4,
"21",P14,Sig_Homo_HET,251A,Observed,7,
"22",P14,Sig_Homo_HET,252A,Observed,5,
"23",P14,Sig_Homo_HET,253A,Observed,3,
"24",P14,Sig_Homo_HET,254A,Observed,3,
"25",P14,Sig_Homo_HET,255A,Observed,3,
"26",P14,Sig_Homo_HET,256A,Observed,4,
"27",P14,Sig_Homo_HET,257A,Observed,5,
"28",P14,Sig_WT,258A,Observed,4,
"29",P14,Sig_WT,259A,Observed,7,
"30",P14,Sig_WT,260A,Observed,6,
"31",P14,Sig_WT,261A,Observed,7,
"32",P14,Sig_Homo_HET,262A,Observed,6,
"33",P14,Sig_Homo_HET,263A,Observed,6,
"34",P11,Sig_Homo_HET,050A,Observed,2,
"35",P11,Sig_Homo_HET,051A,Observed,3,
"36",P11,Sig_Homo_HET,052A,Observed,3,
"37",P11,Sig_Homo_HET,058A,Observed,2,
"38",P11,Sig_Homo_HET,059A,Observed,2,
"39",P11,Sig_Homo_HET,060A,Observed,2,
"40",P11,Sig_Homo_HET,064A,Observed,3,
"41",P11,Sig_Homo_HET,065A,Observed,2,
"42",P11,Sig_Homo_HET,066A,Observed,2,
"43",P11,Sig_Homo_HET,067A,Observed,3,
"44",P11,Sig_WT,073A,Observed,4,
"45",P11,Sig_Homo_HET,074A,Observed,4,
"46",P11,Sig_WT,075A,Observed,4,
"47",P11,Sig_Homo_HET,080A,Observed,4,
"48",P11,Sig_WT,081A,Observed,4,
"49",P11,Sig_Homo_HET,082A,Observed,3,
"50",P11,Sig_WT,083A,Observed,4,
"51",P11,Sig_Homo_HET,084A,Observed,2,
"52",P11,Sig_WT,085A,Observed,3,
"53",P11,Sig_Homo_HET,086A,Observed,4,
"54",P11,Sig_Homo_HET,087A,Observed,4,
"55",P11,Sig_WT,088A,Observed,4,
"56",P11,Sig_Homo_HET,095A,Observed,3,
"57",P11,Sig_Homo_HET,096A,Observed,4,
"58",P11,Sig_WT,097A,Observed,3,
"59",P11,Sig_Homo_HET,102A,Observed,3,
"60",P11,Sig_Homo_HET,103A,Observed,2,
"61",P11,Sig_Homo_HET,104A,Observed,8,
"62",P11,Sig_WT,105A,Observed,4,
"63",P11,Sig_WT,106A,Observed,4,
"64",P11,Sig_WT,107A,Observed,4,
"65",P28,Sig_Homo_HET,108A,Observed,8,
"66",P28,Sig_Homo_HET,109A,Observed,8,
"67",P28,Sig_Homo_HET,110A,Observed,7,
