"",DOL,Genotype,samples,variable,value,se
"1",P11,Sig_Homo_HET,214B,Observed,18,
"2",P11,Sig_WT,215B,Observed,18,
"3",P11,Sig_Homo_HET,216B,Observed,3,
"4",P11,Sig_WT,226B,Observed,18,
"5",P11,Sig_WT,227B,Observed,16,
"6",P11,Sig_WT,228B,Observed,12,
"7",P11,Sig_Homo_HET,229B,Observed,9,
"8",P11,Sig_Homo_HET,230B,Observed,13,
"9",P11,Sig_Homo_HET,231B,Observed,12,
"10",P11,Sig_Homo_HET,232B,Observed,18,
"11",P11,Sig_Homo_HET,233B,Observed,14,
"12",P11,Sig_Homo_HET,234B,Observed,10,
"13",P11,Sig_WT,235B,Observed,18,
"14",P11,Sig_Homo_HET,236B,Observed,15,
"15",P11,Sig_Homo_HET,237B,Observed,16,
"16",P11,Sig_Homo_HET,238B,Observed,17,
"17",P11,Sig_Homo_HET,239B,Observed,11,
"18",P11,Sig_Homo_HET,240B,Observed,18,
"19",P14,Sig_Homo_HET,249B,Observed,11,
"20",P14,Sig_Homo_HET,250B,Observed,10,
"21",P14,Sig_Homo_HET,251B,Observed,8,
"22",P14,Sig_Homo_HET,252B,Observed,7,
"23",P14,Sig_Homo_HET,253B,Observed,9,
"24",P14,Sig_Homo_HET,254B,Observed,12,
"25",P14,Sig_Homo_HET,255B,Observed,12,
"26",P14,Sig_Homo_HET,256B,Observed,8,
"27",P14,Sig_Homo_HET,257B,Observed,7,
"28",P14,Sig_WT,258B,Observed,20,
"29",P14,Sig_WT,259B,Observed,10,
"30",P14,Sig_WT,260B,Observed,12,
"31",P14,Sig_WT,261B,Observed,11,
"32",P14,Sig_Homo_HET,262B,Observed,8,
"33",P14,Sig_Homo_HET,263B,Observed,5,
"34",P11,Sig_Homo_HET,050B,Observed,5,
"35",P11,Sig_Homo_HET,051B,Observed,7,
"36",P11,Sig_Homo_HET,052B,Observed,6,
"37",P11,Sig_Homo_HET,058B,Observed,10,
"38",P11,Sig_Homo_HET,059B,Observed,6,
"39",P11,Sig_Homo_HET,060B,Observed,6,
"40",P11,Sig_Homo_HET,064B,Observed,5,
"41",P11,Sig_Homo_HET,065B,Observed,5,
"42",P11,Sig_Homo_HET,066B,Observed,8,
"43",P11,Sig_Homo_HET,067B,Observed,7,
"44",P11,Sig_WT,073B,Observed,8,
"45",P11,Sig_Homo_HET,074B,Observed,11,
"46",P11,Sig_WT,075B,Observed,7,
"47",P11,Sig_Homo_HET,076B,Observed,6,
"48",P11,Sig_Homo_HET,080B,Observed,7,
"49",P11,Sig_WT,081B,Observed,6,
"50",P11,Sig_Homo_HET,082B,Observed,10,
"51",P11,Sig_WT,083B,Observed,13,
"52",P11,Sig_Homo_HET,084B,Observed,10,
"53",P11,Sig_WT,085B,Observed,9,
"54",P11,Sig_Homo_HET,086B,Observed,10,
"55",P11,Sig_Homo_HET,087B,Observed,12,
"56",P11,Sig_WT,088B,Observed,8,
"57",P11,Sig_Homo_HET,095B,Observed,9,
"58",P11,Sig_Homo_HET,096B,Observed,8,
"59",P11,Sig_WT,097B,Observed,7,
"60",P11,Sig_Homo_HET,102B,Observed,6,
"61",P11,Sig_Homo_HET,103B,Observed,6,
"62",P11,Sig_Homo_HET,104B,Observed,5,
"63",P11,Sig_WT,105B,Observed,7,
"64",P11,Sig_WT,106B,Observed,8,
"65",P11,Sig_WT,107B,Observed,8,
"66",P28,Sig_Homo_HET,108B,Observed,6,
"67",P28,Sig_Homo_HET,109B,Observed,7,
"68",P28,Sig_Homo_HET,110B,Observed,5,
"69",P28,Sig_WT,111B,Observed,4,
"70",P28,Sig_Homo_HET,112B,Observed,5,
"71",P28,Sig_Homo_HET,113B,Observed,6,
"72",P28,Sig_Homo_HET,114B,Observed,6,
"73",P28,Sig_WT,115B,Observed,5,
"74",P28,Sig_Homo_HET,116B,Observed,7,
"75",P28,Sig_Homo_HET,117B,Observed,5,
"76",P28,Sig_Homo_HET,118B,Observed,7,
"77",P28,Sig_WT,119B,Observed,5,
"78",P28,Sig_WT,120B,Observed,4,
"79",P28,Sig_Homo_HET,121B,Observed,5,
"80",P28,Sig_Homo_HET,122B,Observed,5,
"81",P28,Sig_Homo_HET,123B,Observed,5,
"82",P28,Sig_WT,124B,Observed,5,
"83",P28,Sig_Homo_HET,125B,Observed,8,
"84",P28,Sig_Homo_HET,126B,Observed,4,
"85",P28,Sig_Homo_HET,127B,Observed,4,
"86",P28,Sig_Homo_HET,128B,Observed,6,
"87",P28,Sig_WT,129B,Observed,6,
"88",P28,Sig_Homo_HET,130B,Observed,6,
"89",P28,Sig_Homo_HET,131B,Observed,7,
"90",P28,Sig_Homo_HET,132B,Observed,5,
"91",P28,Sig_Homo_HET,133B,Observed,6,
"92",P28,Sig_WT,134B,Observed,6,
"93",P28,Sig_WT,135B,Observed,7,
"94",P28,Sig_Homo_HET,136B,Observed,8,
"95",P28,Sig_WT,137B,Observed,6,
"96",P28,Sig_Homo_HET,138B,Observed,7,
"97",P14,Sig_Homo_HET,139B,Observed,7,
"98",P14,Sig_WT,140B,Observed,9,
"99",P14,Sig_Homo_HET,141B,Observed,8,
"100",P14,Sig_Homo_HET,142B,Observed,8,
"101",P14,Sig_Homo_HET,143B,Observed,6,
"102",P14,Sig_Homo_HET,144B,Observed,6,
"103",P14,Sig_Homo_HET,145B,Observed,9,
"104",P14,Sig_WT,146B,Observed,9,
"105",P14,Sig_Homo_HET,147B,Observed,6,
"106",P14,Sig_Homo_HET,148B,Observed,6,
"107",P14,Sig_Homo_HET,149B,Observed,11,
"108",P14,Sig_Homo_HET,150B,Observed,9,
"109",P14,Sig_WT,151B,Observed,7,
"110",P14,Sig_Homo_HET,152B,Observed,8,
"111",P14,Sig_Homo_HET,153B,Observed,7,
"112",P14,Sig_Homo_HET,154B,Observed,6,
"113",P14,Sig_Homo_HET,155B,Observed,6,
"114",P14,Sig_WT,156B,Observed,8,
"115",P14,Sig_Homo_HET,157B,Observed,9,
"116",P14,Sig_WT,158B,Observed,7,
"117",P14,Sig_Homo_HET,159B,Observed,6,
"118",P14,Sig_Homo_HET,160B,Observed,7,
"119",P14,Sig_WT,161B,Observed,7,
"120",P14,Sig_WT,162B,Observed,6,
"121",P14,Sig_Homo_HET,163B,Observed,10,
"122",P14,Sig_Homo_HET,164B,Observed,6,
"123",P14,Sig_Homo_HET,165B,Observed,10,
"124",P14,Sig_Homo_HET,166B,Observed,8,
"125",P14,Sig_WT,167B,Observed,6,
"126",P14,Sig_Homo_HET,168B,Observed,9,
"127",P14,Sig_Homo_HET,169B,Observed,8,
