"features","214A","215A","216A","226A","227A","228A","229A","230A","231A","232A","233A","234A","235A","236A","237A","238A","239A","240A","249A","250A","251A","252A","253A","254A","255A","256A","257A","258A","259A","260A","261A","262A","263A","050A","051A","052A","058A","059A","060A","064A","065A","066A","067A","073A","074A","075A","080A","081A","082A","083A","084A","085A","086A","087A","088A","095A","096A","097A","102A","103A","104A","105A","106A","107A","108A","109A","110A","111A","112A","113A","114A","115A","116A","117A","118A","119A","120A","121A","122A","123A","124A","125A","126A","127A","128A","129A","130A","131A","132A","133A","134A","135A","136A","137A","138A","139A","140A","141A","142A","143A","144A","145A","146A","147A","148A","149A","150A","151A","152A","153A","154A","155A","156A","157A","158A","159A","160A","161A","162A","163A","164A","165A","166A","167A","168A","169A","1","2","3","7","8","11","13","14","15","22","23","24","25","30","40","41","42","43","46","47","48","49"
"Actinobacteria"," 12","  0"," 68","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 41","  0"," 30"," 11","  0","  0","  0","  0"," 18"," 20","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 10","  3"," 11","  3","  6","  0","  0","  0","  0","  3","  8"," 43","  0"," 12","  0","  0","  0","  0","  0","  2","  0","422","240","280","205"," 35","292"," 97","  5"," 43"," 29"," 36"," 53"," 58","113"," 77"," 54","152"," 43"," 65"," 32"," 10"," 42"," 50","182","112","  4"," 96"," 74"," 79"," 27"," 63"," 34"," 26"," 29"," 17"," 15"," 29"," 27"," 31"," 65","  3"," 40","  7","  5","  0"," 23","  0"," 41","  8"," 16"," 26"," 18"," 35"," 31"," 28"," 16","109"," 17"," 17"," 53"," 38"," 48","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  2","  1","  0","  0","  0","  0"
"Bacteroidetes","4903","5874"," 615","  25","   6","   0","   8","   2","   0","1605","3565","3138","  12","2843","6466","2133","1198","2252","5601","5837","6163","5870","5710","5473","6149","  17","4903","6336","4682","5262","6358","5850","6044","   0","   8","   3","   0","   0","   0","   0","   0","   0","   7"," 925"," 269","  76","  17","  11","  11"," 189","   0","   4","   8"," 324"," 601"," 802","  39"," 677","   1","   0","  34"," 262","  71","   1","4432","4873","4351","4296","5310","3898","4222","2594","3808","2938","6051","4951","5523","4845","4968","4791","4922","5425","4046","3521","2872","2818","3634","3781","2842","3322","2330","3932","2631","3474","4076","3874","3540","2215"," 408","4114","3025","2579","2093","3821","  15","1806","  17"," 902","1680","1248","2568","1083","1843","3821","2933","3069","1621","3431","2907","1914","3698","5884","3197","3258","1717","2816","  53","  95","  64","  71","  80","  96","  51","  58","  34","  51","  28","  42","  43","  10","  50"," 234","  30","  40","  54","  43","  90","  71"
"Deferribacteres"," 16","  0","  0","  0","  0","  0","  0","  0","  0","  0","  9","  0","  0","  0","  0","  0","  0","  6"," 13","  0"," 43","  1","  0","  0","  0","  0","  0","  0"," 34","  0"," 23"," 24"," 17","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 20"," 36","  2","  1"," 12","  4"," 14","137","422","406","  3","  5","  0","  5","  2","  2","  0","  4","  1","190","345","129","175"," 17"," 56"," 65"," 43","  8"," 16","126"," 11","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"Firmicutes"," 5986"," 5037"," 1668"," 6418"," 5458"," 5080"," 5316"," 7849"," 8720"," 6748"," 6135"," 5118"," 8276"," 7753"," 3666"," 8234"," 9104"," 8228"," 4617"," 4656"," 4534"," 4956"," 5176"," 4396"," 4620"," 6843"," 5987"," 3861"," 6160"," 5638"," 4493"," 5043"," 4828"," 7025"," 7172"," 8448"," 6406"," 6705"," 5906","10643"," 8783","10217","10625"," 9788","10305","10576","10573","10593","10594","10402","10184"," 9235"," 6311"," 9524"," 8554"," 6747","10241","10173","10134","10170"," 6976"," 9488","10368","10484"," 5884"," 5582"," 6093"," 6318"," 5453"," 6684"," 6511"," 8036"," 6520"," 7506"," 4761"," 5839"," 5285"," 5903"," 5822"," 5975"," 5683"," 5391"," 6759"," 6967"," 7617"," 7876"," 7009"," 6812"," 7657"," 7306"," 8270"," 6756"," 8039"," 7024"," 6633"," 6235"," 5177"," 6431"," 6920"," 4598"," 5572"," 5683"," 5721"," 6272"," 8223"," 8021"," 9071"," 7533"," 8148"," 7975"," 4421"," 5776"," 6119"," 5108"," 5480"," 4965"," 7807"," 6808"," 7430"," 7032"," 6679"," 5006"," 7578"," 7557"," 8985"," 7916","10663","10677","10658","10540","10502"," 6992"," 5936"," 6096"," 6411"," 6189"," 7500"," 7560"," 7611"," 7746"," 6145"," 8403"," 7558"," 5944"," 6161"," 5981"," 9835"," 8781"
"Patescibacteria","  0","  0"," 34","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  4","  5","  4","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  7","  0","  2","  2","  3","  5","  6","  4","  3","  0"," 11"," 15","  5","  1","  5","  7","  2","  0"," 15","  0"," 19"," 21"," 21"," 46"," 63"," 34"," 24"," 45","143"," 38","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"Proteobacteria","   4","  10","8532","4478","5457","5841","5597","3070","2201","2531","1212","2665","2633"," 212"," 520"," 554"," 619"," 419"," 643"," 428"," 150","  83","  35","1052"," 152","4061","  11"," 704","  42","   0","  34","   0","  19","3896","3741","2470","4515","4216","5015"," 278","2138"," 704"," 289"," 198"," 344"," 258"," 328"," 311"," 316"," 330"," 737","1682","4599","1065","1723","3372"," 629","  71"," 786"," 751","3911","1171"," 480"," 436","  40","  40"," 131","  16","  16","  13","  50","  56","  15","   1","  11","  30","  39","  48","  51","  62"," 152","  41","  44","  21","   7","  12","  25","  35","  86","   8","  40","  65","  80","  15","  56"," 778","2170","2240","3575","2160","2282","2631","3070"," 733","2680","1054","1826","2481","1093","1675","3931","4021","2931","1929","2462","2784","1458"," 651"," 556","1959"," 429","  10","  99","  51"," 168"," 138"," 205"," 148"," 199"," 310"," 338","3833","4934","4767","4475","4681","3393","3319","3267","3165","4726","2277","3331","4936","4705","4897"," 996","2069"
"Tenericutes","  0","  0","  4","  0","  0","  0","  0","  0","  0"," 37","  0","  0","  0","113","269","  0","  0"," 16","  0","  0","  1","  0","  0","  0","  0","  0","  2","  0","  1"," 17","  8","  0"," 12","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","121","143"," 64"," 83"," 93"," 27"," 22"," 87","109"," 38"," 59"," 32","  1","  2","  0"," 32","  5"," 15","  6","175"," 70"," 25","  7"," 73","122","153","108"," 62"," 31","112"," 44","  0","  8","  6","  1"," 34"," 13","  1","  6"," 30","  0","  0","  0","  0","  0","  0","  1","  0"," 20"," 47"," 20"," 85","  0","  0","  0","  0","  6","  4"," 28","  2"," 13","  3","  0","  1","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  6","  0","  0","  1","  0","  0","  0"
"DOL","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P28","P28","P28","P28","P28","P28","P28","P28","P28","P28","P28","P28","P28","P28","P28","P28","P28","P28","P28","P28","P28","P28","P28","P28","P28","P28","P28","P28","P28","P28","P28","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P8","P8","P8","P8","P8","P8","P8","P8","P8","P8","P8","P8","P8","P8","P8","P8","P8","P8","P8","P8","P8","P8"
"sample","214A","215A","216A","226A","227A","228A","229A","230A","231A","232A","233A","234A","235A","236A","237A","238A","239A","240A","249A","250A","251A","252A","253A","254A","255A","256A","257A","258A","259A","260A","261A","262A","263A","050A","051A","052A","058A","059A","060A","064A","065A","066A","067A","073A","074A","075A","080A","081A","082A","083A","084A","085A","086A","087A","088A","095A","096A","097A","102A","103A","104A","105A","106A","107A","108A","109A","110A","111A","112A","113A","114A","115A","116A","117A","118A","119A","120A","121A","122A","123A","124A","125A","126A","127A","128A","129A","130A","131A","132A","133A","134A","135A","136A","137A","138A","139A","140A","141A","142A","143A","144A","145A","146A","147A","148A","149A","150A","151A","152A","153A","154A","155A","156A","157A","158A","159A","160A","161A","162A","163A","164A","165A","166A","167A","168A","169A","1","2","3","7","8","11","13","14","15","22","23","24","25","30","40","41","42","43","46","47","48","49"
