"","214B","215B","216B","226B","227B","228B","229B","230B","231B","232B","233B","234B","235B","236B","237B","238B","239B","240B","249B","250B","251B","252B","253B","254B","255B","256B","257B","258B","259B","260B","261B","262B","263B","050B","051B","052B","058B","059B","060B","064B","065B","066B","067B","073B","074B","075B","076B","080B","081B","082B","083B","084B","085B","086B","087B","088B","095B","096B","097B","102B","103B","104B","105B","106B","107B","108B","109B","110B","111B","112B","113B","114B","115B","116B","117B","118B","119B","120B","121B","122B","123B","124B","125B","126B","127B","128B","129B","130B","131B","132B","133B","134B","135B","136B","137B","138B","139B","140B","141B","142B","143B","144B","145B","146B","147B","148B","149B","150B","151B","152B","153B","154B","155B","156B","157B","158B","159B","160B","161B","162B","163B","164B","165B","166B","167B","168B","169B"
"Actinobacteria"," 67"," 46","  0"," 79"," 21"," 18"," 79"," 35","  4"," 68"," 57","  6"," 46","  8"," 17"," 28","  5"," 56","  3","  4","  0","  1","  0","  6","  5","  0","  0"," 22","  0","  3","  0","  3","  4","  0","  4","  0","  0","  0","  0","  0","  1","  0","  0","  2","  5","  1","  0","  2","  4","  2","  0","  0","  1","  0","  3","  0","  0","  0","  1","  0","  2","  1","  0","  3","  0"," 84"," 36"," 42","  9"," 25"," 77","  0"," 22"," 35"," 23"," 24","  1"," 13"," 28"," 10","  8"," 32","  0"," 25"," 11"," 73"," 45"," 29","115"," 41"," 16"," 36"," 47"," 51"," 13"," 46","  3","  0","  4","  3","  1","  1","  0","  7","  0","  5","  0","  0","  2","  3","  0","  0","  0","  0","  0"," 12","  0","  3","  0","  2","  2","  2","  0","  1","  0","  0","  0"
"Bacteroidetes","299","368","678","215","147","119","167","200","173","267","470"," 83","280","162","150","236"," 67","394","160"," 38"," 66"," 22"," 41"," 46"," 64"," 16","  5","439"," 49","138"," 78"," 11","  4","  0","  6","  0","  5","  1","  2","  0","  3","  0","  0","  7","  8","  0","  6","  5","  0"," 11","  3"," 13","  3","  1","  6","  5","  0","  2","  0","  3","  1","  2","  4"," 18"," 11","700","847","513"," 92","123","405"," 45","464","724","320","318","154","397","730","401","254","399"," 25","430","121","777","442","382","435","307","663","102","471","412","266","157"," 34","  7","  4"," 11","  3"," 15"," 12"," 10"," 11","  3","  3"," 30"," 40","  0"," 20"," 17"," 16","  0"," 15","131","352","  3"," 15"," 27","  8","  6"," 44","  9","  3","  8","  6"
"Epsilonbacteraeota","34","37"," 0","30","27","10","15","24","25","30","46"," 3","33","17","11","24"," 3","49"," 0"," 1"," 0"," 0"," 4"," 6"," 0"," 0"," 0","30"," 2"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 2"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 2"," 0"
"Euglenozoa"," 1"," 0"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 4"," 1"," 0"," 0"," 0"," 2"," 2"," 0"," 0"," 2"," 0"," 5"," 1"," 0"," 0"," 1"," 7"," 0"," 5"," 0"," 1"," 1"," 1"," 2"," 0"," 2","23"," 1"," 5","14"," 7","14"," 4","14"," 2"," 1"," 3"," 4"," 3"," 0"," 0","15","18"," 0"," 4","46"," 6"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 6","14","12"," 2"," 2","17","19"," 7","27","26","13"," 4"," 6","14","23","17"," 7","17","68"," 3","20","20","16"," 5"," 0","13"," 4"," 4"," 8","14"
"Firmicutes"," 475","1127"," 993","1008"," 903","1316"," 643","1509","1301","1257","1041","1548","1191","1372","1418","1167","1934","1186","1859","2170","2198","2251","2210","2130","2179","2158","2079","1288","2122","1941","2150","2301","2307"," 672"," 182","1216"," 997","1721","1790","2193","2163","2110","2209","1711","1184","1926","2269","1340","1681","1191","1149","1533","1652","1843","2224","2118","1320","1769","1595","1684","1265","2097","1975"," 973","2089","1572","1477","1808","2262","2211","1880","2315","1874","1603","2017","2019","2203","1954","1607","1954","2101","1922","2333","1906","2230","1505","1872","1951","1806","2002","1676","2223","1828","1884","2077","2156","1971","1520","1963","1254","1556","1952","1483","1501","2300","1991","2230","2157","2216","2306","2062","1360","1692","1793","1389","1376","1510","1738","1608","2007","1999","2241","2252","2303","2322","2294","2259"
"Fusobacteria"," 6","24"," 0"," 6"," 4"," 3"," 7"," 3","27","20","23"," 0"," 9"," 2"," 6","14"," 2"," 7"," 2"," 1"," 5"," 0"," 0"," 6"," 4"," 5"," 0"," 7"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 5"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"Patescibacteria","5","7","0","0","0","0","0","1","0","2","3","0","0","1","0","0","0","6","0","0","0","0","0","0","2","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","1","3","0","1","4","6","0","6","5","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Proteobacteria","1452"," 725"," 695","1008","1244"," 892","1447"," 579"," 830"," 684"," 704"," 717"," 797"," 799"," 751"," 882"," 348"," 624"," 330"," 148","  93","  92"," 108"," 153"," 101"," 187"," 282"," 521"," 193"," 272"," 134","  51","  51","1693","2167","1150","1359"," 644"," 573"," 172"," 198"," 254"," 157"," 644","1141"," 438","  86","1005"," 672","1148","1208"," 806"," 707"," 519"," 130"," 239","1043"," 595"," 770"," 664","1080"," 266"," 383","1326"," 260","  10","   6","   3","   3","   7","   4","   6","   4","   4","   6","   4","   8","   2","   1","   1","   3","  12","   8","   5","   4","  10","   4","   4","   9","  12","   5","   5","  14","  14","   6","   5"," 355"," 833"," 376","1085"," 804"," 396"," 854"," 829","  48"," 338"," 106"," 166"," 101","  48"," 270"," 963"," 641"," 566"," 945"," 779"," 501"," 600"," 719"," 310"," 352"," 117","  57","  49","  37","  54","  87"
"Spirochaetes","27","32"," 0","20","20"," 5"," 8","15"," 6","38","22"," 9"," 9"," 5","13","15"," 7","44"," 8"," 3"," 4"," 0"," 3","17"," 9"," 0"," 0","50"," 0"," 4"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
