,Experiment,Tissue type,DOL,Genotype
071B,NEC,TI,DOL 11,Sig WT
077B,NEC,TI,DOL 11,Sig WT
091B,NEC,TI,DOL 11,Sig WT
093B,NEC,TI,DOL 11,Sig WT
100B,NEC,TI,DOL 11,Sig WT
101B,NEC,TI,DOL 11,Sig WT
218B,NEC,TI,DOL 11,Sig WT
219B,NEC,TI,DOL 11,Sig WT
220B,NEC,TI,DOL 11,Sig WT
224B,NEC,TI,DOL 11,Sig WT
242B,NEC,TI,DOL 11,Sig WT
245B,NEC,TI,DOL 11,Sig WT
246B,NEC,TI,DOL 11,Sig WT
248B,NEC,TI,DOL 11,Sig WT
073B,C,TI,DOL 11,Sig WT
075B,C,TI,DOL 11,Sig WT
081B,C,TI,DOL 11,Sig WT
083B,C,TI,DOL 11,Sig WT
085B,C,TI,DOL 11,Sig WT
088B,C,TI,DOL 11,Sig WT
097B,C,TI,DOL 11,Sig WT
105B,C,TI,DOL 11,Sig WT
106B,C,TI,DOL 11,Sig WT
107B,C,TI,DOL 11,Sig WT
215B,C,TI,DOL 11,Sig WT
226B,C,TI,DOL 11,Sig WT
227B,C,TI,DOL 11,Sig WT
228B,C,TI,DOL 11,Sig WT
235B,C,TI,DOL 11,Sig WT
