,071B,073B,075B,077B,081B,083B,085B,088B,091B,093B,097B,100B,101B,105B,106B,107B,215B,218B,219B,220B,224B,226B,227B,228B,235B,242B,245B,246B,248B
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus,9513,16877,44293,1188,27328,24494,32789,29612,2380,469,48567,1991,608,29925,2685,24935,2070,341,33,256,231,4811,2680,7132,4219,478,275,173,585
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia/Shigella,22,23,52,33,51,48,41,50,8342,41,0,21,367,52,14,13,98,199,10552,320,263,3343,847,1213,90,83,4354,598,308
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Muribacter,221,5903,9506,110,10297,23564,12806,2559,267,429,4683,503,0,4796,3886,2790,1141,715,2351,2300,2254,2816,3893,3659,2358,0,60,550,560
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus,6819,58,30,1122,48,388,242,49,5352,17011,275,19402,2586,12,0,0,108,6960,5726,1956,4504,233,56,50,182,1667,2976,824,3380
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Candidatus_Arthromitus,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus,460,3912,979,233,245,409,125,2439,681,1094,485,360,407,780,440,393,248,180,284,179,188,573,870,675,73,190,203,0,322
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Klebsiella,0,0,0,0,0,1202,0,0,0,0,18201,0,119,7,0,0,105,54,23,133,45,52,64,36,114,105,73,84,105
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus,2815,0,11,168,0,0,0,0,1313,1181,0,0,82,0,0,0,31,305,1621,128,419,55,0,0,73,413,852,127,598
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,945,1699,778,1395,535,1107,467,503,729,1030,212,440,576,397,324,328,324,338,153,290,642,524,344,414,709,787,720,677,732
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,32,0,0,172,58,51,13,0,109,18,54,65,115
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,10,5,30,0,81,61,50,7,13,32,64,0,34,38
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA,12,0,0,19,0,0,28,0,0,22,0,0,0,8,9,0,115,85,126,306,326,301,26,76,96,88,71,277,191
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides,0,0,0,0,0,0,0,0,0,9,10,0,0,0,0,0,319,364,74,989,547,577,243,254,621,607,175,607,679
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Rodentibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,110,1347,164,254,230,265,163,168,181,1781,116,812
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Turicibacter,0,0,0,0,0,0,72,18,0,0,0,16,0,0,0,97,9,43,0,163,75,87,0,15,80,66,30,93,82
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,25,37,42,15,18,20,26,0,68,38
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Phyllobacterium,1055,557,526,1138,899,508,531,555,1434,1396,75,90,65,28,158,110,0,0,0,0,0,0,0,0,0,12,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinifilaceae;Odoribacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,11,4,0,0,0,0,5,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenellaceae_RC9_gut_group,0,0,0,0,0,0,6,3,14,14,0,0,13,0,7,0,70,82,0,250,97,183,38,85,100,238,46,245,94
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae_UCG-001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,42,0,44,0,6,0,0,0,28,22
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,15,15,0,51,0,17,0,12,0,33,13,62,18
