"class","073B","075B","081B","083B","085B","088B","097B","105B","106B","107B","111B","115B","119B","120B","124B","129B","134B","135B","137B","140B","146B","151B","156B","158B","161B","162B","167B","215B","226B","227B","228B","235B","258B","259B","260B","261B"
"Actinobacteria"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 9","13"," 5","17","13","13","34","28","10"," 0"," 7"," 0"," 0","20"," 0"," 4"," 0","47","70","25","20","34","29"," 0"," 5"," 0"
"Bacteroidetes"," 10","  1","  5","  3","  0"," 12","  1","  2"," 20"," 14"," 96","458","131","431","436","511","116","538","229"," 10"," 12"," 37","  0","127"," 17"," 26","  1","310","242","152"," 97","286","458"," 67","130"," 80"
"Epsilonbacteraeota"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 4"," 0","38","26","26"," 5","27","30"," 5"," 3"," 0"
"Euglenozoa"," 5"," 4"," 4"," 6"," 3"," 5"," 0"," 2","49"," 5"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 8","17"," 5"," 6","79","14","27"," 4"," 0"," 0"," 0"," 1"," 2"," 3"," 0"," 1"," 0"
"Firmicutes","1732","1884","1616","1189","1686","2133","1628","2027"," 970","2109","2281","1911","2247","1937","1932","1856","2228","1801","2145","1527","1453","2248","1802","1361","1654","2040","2357","1212","1037"," 912","1341","1233","1290","2110","1974","2167"
"Fusobacteria"," 0"," 0"," 0"," 1"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 1"," 0"," 1","24"," 7","12"," 7","13"," 9"," 2"," 1","11"
"Patescibacteria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","5","0","0","0","0","0","0","0","0","0","3","0","0","0","0","6","0","0","0"
"Proteobacteria"," 641"," 499"," 762","1186"," 699"," 238"," 758"," 355","1339"," 260","   2","   6","   5","   3","   7","   7","  10","  16","   4"," 843"," 898","  97"," 580"," 785"," 702"," 287","  25"," 711"," 975","1216"," 905"," 763"," 510"," 203"," 266"," 125"
"Spirochaetes"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","17","18","27"," 8","21","38"," 1"," 5"," 5"
"Tenericutes","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","6","4","5","4","0","0","0"
"Verrucomicrobia"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0","16"," 0"," 0"," 0","17"," 4","12"," 0"," 4","11"," 0"," 3"," 0"
"DOL","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P28","P28","P28","P28","P28","P28","P28","P28","P28","P14","P14","P14","P14","P14","P14","P14","P14","P11","P11","P11","P11","P11","P14","P14","P14","P14"
"sample","073B","075B","081B","083B","085B","088B","097B","105B","106B","107B","111B","115B","119B","120B","124B","129B","134B","135B","137B","140B","146B","151B","156B","158B","161B","162B","167B","215B","226B","227B","228B","235B","258B","259B","260B","261B"
