"","2","11","22","25","40","46","073A","075A","081A","083A","085A","088A","097A","105A","106A","107A","111A","115A","119A","120A","124A","129A","134A","135A","137A","140A","146A","151A","156A","158A","161A","162A","167A","215A","226A","227A","228A","235A","258A","259A","260A","261A"
"A2","  0","  0","  0","  0","  0","  0","192","  9","  0","  0","  0","  0","  0","  0","  0","  0"," 57"," 50"," 23"," 27","  6"," 96"," 42"," 43","711","  0","  0","  0","  0","  0"," 41"," 17","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"Acetatifactor","  0","  0","  0","  0","  0","  0"," 11","  0","  0","  0","  0","  0","  6","  0","  0","  0"," 73","119"," 45"," 71"," 24","165"," 38","  8"," 84","  8","  0","  0"," 20"," 54","  4"," 12","  0","  0","  0","  0","  0","  0","  0"," 13","  0","  8"
"Alistipes","  32","  24","   8","   2","   9","  11","   0","   0","   0","   0","   0","   0","   9","   0","   7","   0"," 425"," 538","1406"," 790"," 586","1431"," 595"," 962","1206"," 540"," 118","  39","  48"," 542"," 106"," 392"," 101","   0","   5","   7","   0","   0","   0"," 691","1261","1035"
"Anaeroplasma","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","206","198"," 89"," 11","  3"," 89","274","150","285"," 37","  9","  0"," 26"," 55","  0","  0","  9","  0","  0","  0","  0","  0","  0","  0"," 34"," 34"
"Anaerotruncus","  3","  2","  1","  1","  2","  0","696","570","  4"," 14","  8","  0","  0","  0","149","  0","  0"," 47"," 10","  9","  5"," 51"," 41"," 18","130"," 22","  0","  0"," 32"," 31","  5","  0"," 16","177","157","  0","  0","  0"," 18","130","116"," 75"
"Angelakisella","  0","  0","  0","  0","  0","  0"," 29","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 15","  7","  0"," 67","  9","  0"," 60"," 31","  0","  0","121","252","163","302","124","  0","  0","  0","  0","  0"," 37","284","136"," 73"
"ASF356","  0","  0","  0","  0","  0","  0","  6"," 64","  0","  0","  0","  0"," 13","  0","  0","  0"," 48"," 65","  6","  7"," 16","224"," 99"," 28","136","  0","  0","  0","  0","  0","  0"," 16","  0","  0","  0","  0","  0","  0","  0","  0","  9","  0"
"Bacteroides","  26","  24","  22","   9","   8","  32","   0","   0","   0","   0","   0","   0"," 384","   0","   0","   0","1499","  53"," 270"," 261"," 265","  20","   0"," 343"," 205"," 641","  83"," 567","   4"," 306","1262","   4","   0","4856","  42","  22","   0","  37","6573","4340","1258","4563"
"Bifidobacterium","  0","  0","  0","  0","  0","  3","  0","  0","  6","  0","  0","  5","  0","  0","  2","  0","389","  0"," 10"," 30","172","  3","161","156","  7","  0","  4","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 55","  4","  0","  0"
"Butyricicoccus","  0","  3","  4","  3","  4","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3"," 20"," 10","  7","  2","148"," 38"," 11"," 66","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"Candidatus_Saccharimonas","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 10"," 17"," 22"," 30","  5"," 33","100"," 73","360","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  5","  9"
"Clostridium_sensu_stricto_1","   0","   0","   0","   0","   0","   0","  14","  17","   0","   0","  10","  17","   8","   0","  28","  21","   0","   0","   0","  33","  68","  14","1837","1403"," 149","   0","   0","   0","   8","  23","  24","  39","  10","   0","   3","   0","   0","   0","   0","   0","  25","  13"
"Enterococcus","   5","   7","   0","   0","   8","   4","1092"," 172","  30"," 246"," 128","  58","  59"," 133"," 328"," 668","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 818","   0","   0"," 119"," 227"," 665"," 181"," 124","  39"," 108","   0","2001","   0","  21","   0"
"Enterorhabdus","  0","  0","  0","  0","  0","  0"," 36"," 23","  6","  0","  0","102","  0","  0","  0","  0","144"," 14","111","106","230"," 88"," 49"," 66"," 70"," 55"," 52"," 15"," 24"," 57"," 63"," 57","135","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"Escherichia_Shigella","   22"," 9148","11034"," 7829","11488","11100","   46","   54","    0","    0","   19"," 3660","   20"," 1479","   52","   31","    0","  100","   31","    0","   41","   15","   12","    0","   14"," 5376"," 7357"," 6187"," 7363"," 5826"," 1592"," 1384","   16","    7","10290","13252","14365"," 6107","    0","    0","    0","    0"
"Faecalibaculum","  0","  0","  0","  0","  0","  2","  0","  0"," 26","  9","107"," 29","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 15","  0","  0","  0","  4"," 22","  0","  0","  3","  0","  3","  0","  0","  0","  0","  0","154","  0","  0","  0"
"GCA_900066575","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 16","  1"," 19","  0","  0"," 15","  3","  0","  9","  8","  9","  0","  0","  0","  0","  0"," 17","  0","  0","  0","  0","  0","  0","164"," 22"," 31"
"Intestinimonas","  0","  0","  0","  0","  9","  0","  0","  0","  4","  0","  0","  8","  0","  0","  3","  0"," 19"," 19"," 16"," 10"," 14","105"," 43","  9"," 80"," 42"," 44","311"," 98"," 61","  0","  6"," 31","  0","  0","  0","  0","  0","  0","379","224","136"
"Lachnoclostridium","  4","  0","  5","  0","  0","  2"," 12"," 54","  0","  0","  0","136","120","  0"," 24","  0","267","174","203","178","126","558","203","147","320"," 38"," 79"," 67","  7","  2"," 52","127","129","142"," 32","  0","  0","  0","  0","406","175","124"
"Lachnospiraceae_FCS020_group","  0","  0","  0","  0","  0","  0"," 14","  0","  0","  0","  0","  0","  0","  0","  0","  0","  7"," 45"," 60"," 51"," 35","162"," 18"," 27"," 91","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"Lachnospiraceae_NK4A136_group","  26","  27","  15","  15","  16","  24","  14","  41","  69","  47","   0"," 195"," 317"," 291"," 301","  14"," 863","1154","1193"," 745"," 438","4371","2739"," 815","3790","  60"," 116","1801","  56","  12"," 109"," 794","  15","3724","  13"," 155","   0","   0","   6"," 118","  82","1327"
"Lachnospiraceae_UCG_006","  0","  0","  0","  0","  0","  0","210"," 33","  0","  0","  0","  1"," 10","  0","  2","  0","  4"," 15","  0"," 15"," 58"," 75"," 19"," 26"," 73","  0"," 10","  0","  0","  0"," 15","  7","  0","  0","  0","  0","  0","  0","  0"," 14","  9"," 50"
"Lactobacillus","23078","16702","14708","18266","14199","14468","17137","21953","23716","23167","20760","17526","22337","21281","22465","22967","12886","15638","10695"," 8463","11190"," 6260","10578","11356"," 8298"," 9106"," 9729","14080","10667"," 9080","12796","13250","13203"," 5111","14363","11360","11742","18344"," 4664"," 9191"," 9459"," 7009"
"Marvinbryantia","  0","  0","  0","  0","  0","  0"," 23","  0","  0","  8","  0","  0","  0","  0","  7","  0"," 68"," 36","151","108","134"," 41"," 32"," 50"," 11"," 13"," 83","298"," 33","  7"," 22"," 34"," 64","  9","  0","  0","  0","  0","  0"," 75"," 20"," 96"
"Muribacter"," 362"," 124"," 362","  62"," 108"," 217","  77"," 569"," 832"," 686","4293"," 504"," 162","1433","1085","1135","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","  25","   0","   0","  16","  50"," 114","  21"," 171"," 137","   0"," 339","1760","   0","   0","   0"
"Muribaculum","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 350","   0"," 876","  87"," 410","  19","   5"," 100","   0","   0","   0","   0","   0"," 192","  51","  16"," 246"," 392","   0"," 109","  32","  32","1132"," 720","  17","   0","   0","   0","   0","   0","   0","  91","   0"
"Not_Assigned","  191","  170","   78","   54","   92","   73"," 3722"," 1174","  352","  526","  274","  955"," 1414","  179","  533","   25"," 9068"," 6956","10436","11904","11148"," 9365"," 6015"," 8293"," 7732"," 7408"," 5252"," 1354"," 6660"," 8427"," 2671"," 5080"," 7730","10887","  189","  352","   76","   27","    1"," 5974"," 8904"," 7314"
"Odoribacter","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","292","360","341","368","582","340","337","349","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","806","841","690"
"Oscillibacter","  2","  6","  1","  0","  3","  4"," 43","  0","  0","  0","  0","  9","  0","  0","  0","  0"," 65"," 91","100"," 48"," 14","485"," 57"," 70","376"," 80"," 61","  3"," 70"," 70","184","185"," 23","182","  0","  0","  3","  0","  0","376","142"," 57"
