#NAME	Experiment	Tissue type	DOL	Genotype
140A	C	colon	DOL14	Sig WT 
146A	C	colon	DOL14	Sig WT 
151A	C	colon	DOL14	Sig WT 
156A	C	colon	DOL14	Sig WT 
158A	C	colon	DOL14	Sig WT 
161A	C	colon	DOL14	Sig WT 
162A	C	colon	DOL14	Sig WT 
167A	C	colon	DOL14	Sig WT 
258A	C	colon	DOL14	Sig WT
259A	C	colon	DOL14	Sig WT
260A	C	colon	DOL14	Sig WT
261A	C	colon	DOL14	Sig WT
140B	C	TI	DOL14	Sig WT 
146B	C	TI	DOL14	Sig WT 
151B	C	TI	DOL14	Sig WT 
156B	C	TI	DOL14	Sig WT 
158B	C	TI	DOL14	Sig WT 
161B	C	TI	DOL14	Sig WT 
162B	C	TI	DOL14	Sig WT 
167B	C	TI	DOL14	Sig WT 
258B	C	TI	DOL14	Sig WT
259B	C	TI	DOL14	Sig WT
260B	C	TI	DOL14	Sig WT
261B	C	TI	DOL14	Sig WT
