#NAME,Experiment,Tissue type,DOL,Genotype
111A,C,colon,DOL28,Sig WT
115A,C,colon,DOL28,Sig WT
119A,C,colon,DOL28,Sig WT
120A,C,colon,DOL28,Sig WT
124A,C,colon,DOL28,Sig WT 
129A,C,colon,DOL28,Sig WT
134A,C,colon,DOL28,Sig WT
135A,C,colon,DOL28,Sig WT 
137A,C,colon,DOL28,Sig WT 
111B,C,TI,DOL28,Sig WT
115B,C,TI,DOL28,Sig WT
119B,C,TI,DOL28,Sig WT
120B,C,TI,DOL28,Sig WT
124B,C,TI,DOL28,Sig WT 
129B,C,TI,DOL28,Sig WT
134B,C,TI,DOL28,Sig WT
135B,C,TI,DOL28,Sig WT 
137B,C,TI,DOL28,Sig WT 
