"","S1","S2","S3","S4","S10","S11","S12","S13","S40","S41","S42","S43","S44","S45","S46","S47","S48","S49","S50","S51","S52","S53","S54","S55","S56","S57","S58","S59","S60","S61","S62","S63","S64","S65","S66","S67","S68","S33","S29","S30","S31","S32","S34","S35","S36","S37","S38","S39","S19","S28","S20","S21","S22","S23","S24","S25","S26","S27","S9","S5","S6","S7","S8","S14","S15","S16","S17","S18"
"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia/Shigella",102,0,92,96,28,67,83,84,37,53,40,88,69,99,120,74,0,147,50,152,202,185,168,143,68,64,0,77,71,73,77,59,27,38,31,0,40,39954,28743,25876,35544,51188,29776,46230,22114,75298,77429,47466,70817,93531,99930,81350,70541,95973,79403,100575,123,58628,74,118,110,95,0,89,71,46,93,59
"Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus",20860,22703,13675,29486,12151,6700,17153,13693,13591,10674,13815,40248,27166,8633,21952,17645,23444,25428,28587,28676,17267,22333,22815,28193,1782,14383,12232,18712,9703,15360,12808,13391,16513,35418,33344,39892,49476,0,0,6,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,16,6120,2925,4922,3010,15573,6212,2782,7147,6149,4415
"Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus",71,44,70,89,36,76,48,76,0,92,0,68,84,73,93,67,0,135,89,111,175,134,193,137,44,0,38,0,68,57,64,0,0,0,26,40,58,46414,23587,67361,53475,32565,30086,46773,50996,45115,29984,35187,42341,32835,35831,47021,48286,21397,36327,14659,57,34252,423,2105,2219,1421,514,1423,1117,393,4899,721
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA",301,58,71,127,170,111,22,0,32826,28994,32435,34147,38966,4097,4986,5444,17885,3677,11993,8957,15481,15832,15175,39561,32414,29696,28814,38961,4612,3740,12373,6344,1178,6150,7741,3111,8997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,80,185,300,208,315,56,518,76,311
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides",7364,7089,6884,7960,5671,2808,7985,2274,23031,7870,6058,15043,18679,3666,5724,10770,8308,5944,7663,6445,7920,2873,5990,9066,21853,9340,32139,7807,6894,3963,8553,4603,4624,5381,17814,7627,11896,0,0,0,0,0,8,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,4534,4872,1094,785,3934,4785,1633,5725,2714,5572
"Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Turicibacter",647,1685,661,1335,1609,61,1356,5940,0,24,0,0,0,4481,4512,2724,82,3097,19600,19216,19615,17488,21041,11542,497,12372,842,16945,23617,36227,12775,33061,25332,16494,1748,8594,1113,12,0,13,11,0,0,0,0,0,0,0,215,0,0,0,14,0,0,7,0,0,0,0,0,0,0,0,0,10,0,0
"Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia",7106,10068,2994,12689,3063,1945,3200,1974,107,5,0,19,0,7231,9027,8046,10730,9649,17923,29,21635,17422,9821,17139,10950,2460,28410,5345,4278,1035,556,955,0,906,1772,2584,3166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
"Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10143,4281,11988,9801,7105,6234,8958,9644,8736,7514,7078,8042,6435,6860,8228,8834,5074,7154,3026,0,6444,85,491,501,368,161,368,258,94,1206,161
"Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus",0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,25,0,0,0,0,65,0,51,31,0,0,0,0,0,0,0,0,0,0,0,0,0,6240,7890,13024,5146,6654,19833,14271,34993,5326,18697,19435,0,37,34,0,26,26,0,0,17,0,0,0,0,25,0,0,0,0,0,17
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA",1424,3245,3657,2228,2726,2326,2560,3369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,11444,8944,6702,8574,9007,8597,8959,10933,12244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4971,5805,4265,4102,5264,4033,2744,4600,3671,3732
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA",0,0,0,0,0,0,0,0,0,0,0,0,0,9707,11618,10063,11391,12356,10518,9077,19096,11512,11227,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group",11709,6584,15048,8173,4012,14112,7453,12248,0,0,0,0,0,272,5659,7940,0,3173,73,22,12,51,0,0,0,0,0,0,0,0,46,0,0,3233,5449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,18314,15585,17565,10080,37,5623,11505,16334,7071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA",7328,6400,6007,6942,3334,5500,7440,3466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4029,4328,3553,2365,5986,5114,3049,5714,5634,4196
