#NAME	Experiment	Tissue type	DOL	Genotype
053A	NEC	colon	DOL11	Sig Homo_HET
054A	NEC	colon	DOL11	Sig Homo_HET
055A	NEC	colon	DOL11	Sig Homo_HET
056A	NEC	colon	DOL11	Sig Homo_HET
057A	NEC	colon	DOL11	Sig Homo_HET
061A	NEC	colon	DOL11	Sig Homo_HET
062A	NEC	colon	DOL11	Sig Homo_HET
063A	NEC	colon	DOL11	Sig Homo_HET
068A	NEC	colon	DOL11	Sig Homo_HET
069A	NEC	colon	DOL11	Sig Homo_HET
070A	NEC	colon	DOL11	Sig Homo_HET
071A	NEC	colon	DOL11	Sig WT
072A	NEC	colon	DOL11	Sig Homo_HET
077A	NEC	colon	DOL11	Sig WT
078A	NEC	colon	DOL11	Sig Homo_HET
079A	NEC	colon	DOL11	Sig Homo_HET
089A	NEC	colon	DOL11	Sig Homo_HET
090A	NEC	colon	DOL11	Sig Homo_HET
091A	NEC	colon	DOL11	Sig WT
092A	NEC	colon	DOL11	Sig Homo_HET
093A	NEC	colon	DOL11	Sig WT
094A	NEC	colon	DOL11	Sig Homo_HET
098A	NEC	colon	DOL11	Sig Homo_HET
099A	NEC	colon	DOL11	Sig Homo_HET
100A	NEC	colon	DOL11	Sig WT
101A	NEC	colon	DOL11	Sig WT
217A	NEC	colon	DOL11	Sig Homo_HET
218A	NEC	colon	DOL11	Sig WT
219A	NEC	colon	DOL11	Sig WT
220A	NEC	colon	DOL11	Sig WT
221A	NEC	colon	DOL11	Sig Homo_HET
222A	NEC	colon	DOL11	Sig Homo_HET
223A	NEC	colon	DOL11	Sig Homo_HET
224A	NEC	colon	DOL11	Sig WT
225A	NEC	colon	DOL11	Sig Homo_HET
241A	NEC	colon	DOL11	Sig Homo_HET
242A	NEC	colon	DOL11	Sig WT
243A	NEC	colon	DOL11	Sig Homo_HET
244A	NEC	colon	DOL11	Sig Homo_HET
245A	NEC	colon	DOL11	Sig WT
246A	NEC	colon	DOL11	Sig WT
247A	NEC	colon	DOL11	Sig Homo_HET
248A	NEC	colon	DOL11	Sig WT
