#NAME	050B	051B	052B	058B	059B	060B	064B	065B	066B	067B	073B	074B	075B	076B	080B	081B	082B	083B	084B	085B	086B	087B	088B	095B	096B	097B	102B	103B	104B	105B	106B	107B	214B	215B	216B	226B	227B	228B	229B	230B	231B	232B	233B	234B	235B	236B	237B	238B	239B	240B
Lactobacillus	2898814.95	483135.825	4793072.015	3571558.797	7097538.742	7219690.064	9319963.537	9081130.356	8926162.261	9212397.448	5644484.959	4428441.203	7850501.367	9354603.464	5580674.567	6838650.866	4896991.796	4647219.69	5759343.665	6984503.191	7505925.251	9174111.212	8149498.633	5540565.178	7276207.84	6676390.155	6789425.706	4931631.723	7830446.673	8308113.036	3274384.686	8692798.541	483135.825	2061987.238	2213309.025	2144029.17	2118505.014	4612579.763	1620783.956	4534184.139	3668185.962	3265268.915	1834092.981	5597082.954	2833181.404	4071103.008	4426618.049	2510483.136	7367365.542	2328167.73
Escherichia_Shigella	6776663.628	8433910.665	4557885.141	5152233.364	1792160.438	2375569.736	3646.308113	1823.154057	10938.92434	9115.770283	10938.92434	41932.5433	7292.616226	9115.770283	5469.46217	20054.69462	43755.69736	14585.23245	60164.08387	7292.616226	2058340.93	0	14585.23245	2278942.571	3646.308113	0	12762.0784	0	381039.1978	14585.23245	14585.23245	0	30993.61896	74749.31632	4353691.887	1564266.18	738377.3929	703737.4658	189608.0219	167730.1732	58340.92981	43755.69736	85688.24066	1595259.799	71103.0082	18231.54057	30993.61896	78395.62443	14585.23245	154968.0948
Muribacter	91157.70283	1823.154057	209662.7165	43755.69736	659981.7685	27347.31085	639927.0738	758432.0875	906107.5661	689152.2334	2029170.465	3126709.207	1679124.886	149498.6326	3296262.534	2567000.912	3947128.532	4561531.449	1680948.04	2683682.771	38286.23519	362807.6572	745670.0091	474020.0547	446672.7438	639927.0738	2632634.458	2969917.958	731084.7767	1257976.299	4869644.485	946216.9553	3695533.273	1061075.661	14585.23245	1272561.531	3152233.364	2238833.181	4401093.892	1538742.024	2497721.057	1573381.951	876937.1012	984503.1905	1598906.108	2607110.301	1910665.451	2244302.644	1185050.137	796718.3227
Staphylococcus	0	34639.92707	0	1823.154057	18231.54057	10938.92434	0	10938.92434	3646.308113	0	34639.92707	29170.4649	1823.154057	0	20054.69462	7292.616226	78395.62443	76572.47037	72926.16226	56517.77575	3646.308113	5469.46217	14585.23245	16408.38651	38286.23519	45578.85141	0	0	0	5469.46217	0	0	76572.47037	98450.31905	173199.6354	113035.5515	32816.77302	21877.84868	76572.47037	69279.85415	23701.00273	116681.8596	184138.5597	32816.77302	113035.5515	85688.24066	21877.84868	56517.77575	20054.69462	41932.5433
Streptococcus	87511.39471	49225.15953	262534.1841	669097.5387	302643.5734	127620.784	10938.92434	20054.69462	10938.92434	3646.308113	1294439.38	399270.7384	176845.9435	180492.2516	111212.3974	74749.31632	91157.70283	72926.16226	268003.6463	32816.77302	247948.9517	193254.33	720145.8523	60164.08387	74749.31632	85688.24066	147675.4786	494074.7493	388331.814	196900.6381	556061.9872	125797.6299	16408.38651	249772.1057	125797.6299	255241.5679	705560.6199	384685.5059	165907.0191	249772.1057	481312.6709	32816.77302	41932.5433	350045.5789	49225.15953	415679.1249	328167.7302	690975.3874	258887.876	34639.92707
Klebsiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211485.8706	340929.8086	0	0	0	0	1396536.007	2009115.77	2494074.749	0	1011850.501	0	0	0	0	47402.00547	111212.3974	0	25524.15679	72926.16226	23701.00273	60164.08387	67456.70009	76572.47037	91157.70283	114858.7056	21877.84868	74749.31632	18231.54057	30993.61896	52871.46764	0	72926.16226
Enterococcus	0	187784.8678	0	0	0	1823.154057	0	0	0	0	0	0	1823.154057	0	0	0	0	0	0	0	0	0	0	5469.46217	3646.308113	0	5469.46217	5469.46217	253418.4139	0	0	0	58340.92981	25524.15679	1287146.764	16408.38651	0	0	14585.23245	71103.0082	36463.08113	47402.00547	63810.39198	0	51048.31358	14585.23245	18231.54057	29170.4649	0	52871.46764
Pseudomonas	94804.01094	523245.2142	105742.9353	273473.1085	49225.15953	87511.39471	16408.38651	63810.39198	54694.6217	36463.08113	587055.6062	1134001.823	138559.7083	122151.3218	286235.1869	116681.8596	386508.66	204193.2543	616226.0711	74749.31632	49225.15953	63810.39198	116681.8596	49225.15953	52871.46764	27347.31085	260711.0301	393801.2762	12762.0784	125797.6299	419325.433	87511.39471	658158.6144	302643.5734	0	242479.4895	271649.9544	278942.5706	353691.887	184138.5597	184138.5597	357338.1951	596171.3765	80218.77849	419325.433	123974.4758	408386.5087	275296.2625	107566.0893	674567.0009
Lachnospiraceae_NK4A136_group	0	18231.54057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164083.8651	0	0	0	3646.308113	36463.08113	125797.6299	16408.38651	12762.0784	0	0	0	5469.46217	18231.54057	0	0	65633.54603	21877.84868	21877.84868	14585.23245	0	34639.92707
Muribaculaceae	0	0	0	0	0	0	0	0	0	0	0	1823.154057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5469.46217	14585.23245	1823.154057	0	16408.38651	5469.46217	3646.308113	0	9115.770283	0	16408.38651	41932.5433	0	16408.38651	0	10938.92434	16408.38651	3646.308113	47402.00547
Lachnospiraceae	0	7292.616226	0	0	0	0	0	0	0	3646.308113	0	0	0	0	0	0	0	0	0	3646.308113	0	0	0	0	0	0	1823.154057	0	180492.2516	3646.308113	12762.0784	0	109389.2434	122151.3218	1217866.91	153144.9407	21877.84868	43755.69736	16408.38651	109389.2434	125797.6299	89334.54877	40109.38924	7292.616226	45578.85141	58340.92981	40109.38924	136736.5542	0	211485.8706
Bacteroides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9115.770283	0	1823.154057	0	0	0	0	5469.46217	0	0	0	0	0	10938.92434	0	0	0	0	342752.9626	291704.649	5469.46217	309936.1896	200546.9462	180492.2516	280765.7247	209662.7165	333637.1923	298997.2653	545123.0629	111212.3974	412032.8168	251595.2598	206016.4084	397447.5843	103919.7812	483135.825
Rodentibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5469.46217	196900.6381	74749.31632	246125.7976	85688.24066	211485.8706	103919.7812	54694.6217	56517.77575	45578.85141	116681.8596	120328.1677	87511.39471	105742.9353	69279.85415	38286.23519	0
Turicibacter	0	0	14585.23245	10938.92434	5469.46217	12762.0784	0	0	1823.154057	0	0	14585.23245	0	0	1823.154057	0	3646.308113	0	0	10938.92434	0	0	9115.770283	7292.616226	7292.616226	0	12762.0784	0	5469.46217	0	0	27347.31085	36463.08113	12762.0784	0	40109.38924	0	7292.616226	30993.61896	30993.61896	45578.85141	21877.84868	71103.0082	12762.0784	43755.69736	21877.84868	27347.31085	25524.15679	12762.0784	41932.5433
Parabacteroides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12762.0784	14585.23245	0	9115.770283	14585.23245	10938.92434	0	3646.308113	16408.38651	41932.5433	10938.92434	0	3646.308113	0	3646.308113	9115.770283	9115.770283	14585.23245
Phyllobacterium	38286.23519	134913.4002	38286.23519	158614.4029	58340.92981	87511.39471	9115.770283	36463.08113	56517.77575	27347.31085	222424.7949	475843.2088	91157.70283	100273.4731	459434.8222	246125.7976	302643.5734	114858.7056	401093.8924	100273.4731	52871.46764	85688.24066	154968.0948	107566.0893	54694.6217	3646.308113	52871.46764	21877.84868	0	5469.46217	209662.7165	41932.5433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rikenellaceae_RC9_gut_group	0	1823.154057	0	0	0	3646.308113	0	0	0	1823.154057	0	0	0	0	0	0	0	0	0	5469.46217	0	0	0	0	0	0	0	0	0	0	7292.616226	0	89334.54877	61987.23792	0	89334.54877	25524.15679	38286.23519	0	76572.47037	27347.31085	47402.00547	113035.5515	20054.69462	56517.77575	27347.31085	21877.84868	43755.69736	23701.00273	102096.6272
Alistipes	0	0	0	0	1823.154057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1823.154057	0	0	0	0	0	0	111212.3974	107566.0893	0	71103.0082	23701.00273	9115.770283	25524.15679	76572.47037	47402.00547	136736.5542	120328.1677	9115.770283	80218.77849	58340.92981	49225.15953	147675.4786	10938.92434	74749.31632
Alloprevotella	0	0	0	0	0	0	0	0	0	0	0	12762.0784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89334.54877	116681.8596	0	58340.92981	47402.00547	25524.15679	83865.0866	36463.08113	32816.77302	56517.77575	142206.0164	29170.4649	51048.31358	23701.00273	36463.08113	34639.92707	14585.23245	83865.0866
Clostridium_sensu_stricto_1	0	0	0	0	0	0	0	0	0	0	12762.0784	0	0	0	0	0	0	0	0	0	0	0	0	5469.46217	3646.308113	0	0	0	1823.154057	0	3646.308113	0	60164.08387	80218.77849	0	56517.77575	29170.4649	41932.5433	78395.62443	14585.23245	45578.85141	47402.00547	142206.0164	5469.46217	72926.16226	30993.61896	67456.70009	40109.38924	0	136736.5542
Romboutsia	0	0	3646.308113	3646.308113	0	0	0	0	0	0	0	0	0	0	7292.616226	0	0	0	0	0	0	0	0	0	0	0	0	0	20054.69462	0	20054.69462	0	131267.0921	120328.1677	0	116681.8596	105742.9353	40109.38924	0	74749.31632	58340.92981	80218.77849	114858.7056	52871.46764	140382.8624	63810.39198	156791.2489	136736.5542	16408.38651	153144.9407
Bifidobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1823.154057	0	0	0	9115.770283	0	27347.31085	51048.31358	0	29170.4649	0	16408.38651	63810.39198	10938.92434	14585.23245	21877.84868	49225.15953	0	47402.00547	14585.23245	21877.84868	30993.61896	18231.54057	29170.4649
