#NAME	Experiment	Tissue type	DOL	Genotype
050B	C	TI	DOL11	Sig Homo 
051B	C	TI	DOL11	Sig HET
052B	C	TI	DOL11	Sig Homo 
058B	C	TI	DOL11	Sig HET
059B	C	TI	DOL11	Sig Homo
060B	C	TI	DOL11	Sig HET
064B	C	TI	DOL11	Sig Homo
065B	C	TI	DOL11	Sig Homo
066B	C	TI	DOL11	Sig HET
067B	C	TI	DOL11	Sig HET
073B	C	TI	DOL11	Sig WT
074B	C	TI	DOL11	Sig Homo
075B	C	TI	DOL11	Sig WT
076B	C	TI	DOL11	Sig Homo
080B	C	TI	DOL11	Sig HET
081B	C	TI	DOL11	Sig WT
082B	C	TI	DOL11	Sig HET
083B	C	TI	DOL11	Sig WT
084B	C	TI	DOL11	Sig HET
085B	C	TI	DOL11	Sig WT
086B	C	TI	DOL11	Sig Homo
087B	C	TI	DOL11	Sig HET
088B	C	TI	DOL11	Sig WT
095B	C	TI	DOL11	Sig Homo
096B	C	TI	DOL11	Sig HET
097B	C	TI	DOL11	Sig WT
102B	C	TI	DOL11	Sig HET
103B	C	TI	DOL11	Sig Homo
104B	C	TI	DOL11	Sig HET
105B	C	TI	DOL11	Sig WT
106B	C	TI	DOL11	Sig WT
107B	C	TI	DOL11	Sig WT
214B	C	TI	DOL11	Sig HET
215B	C	TI	DOL11	Sig WT
216B	C	TI	DOL11	Sig HET
226B	C	TI	DOL11	Sig WT
227B	C	TI	DOL11	Sig WT
228B	C	TI	DOL11	Sig WT
229B	C	TI	DOL11	Sig Homo
230B	C	TI	DOL11	Sig HET
231B	C	TI	DOL11	Sig HET
232B	C	TI	DOL11	Sig HET
233B	C	TI	DOL11	Sig Homo
234B	C	TI	DOL11	Sig Homo
235B	C	TI	DOL11	Sig WT
236B	C	TI	DOL11	Sig HET
237B	C	TI	DOL11	Sig Homo
238B	C	TI	DOL11	Sig Homo
239B	C	TI	DOL11	Sig Homo
240B	C	TI	DOL11	Sig HET
