#NAME,053B,054B,055B,056B,057B,061B,062B,063B,068B,069B,070B,071B,072B,077B,078B,079B,089B,090B,091B,092B,093B,094B,098B,099B,100B,101B,217B,218B,219B,220B,221B,222B,223B,224B,225B,241B,242B,243B,244B,245B,246B,247B,248B
Lactobacillus,136390.591,444751.9273,377544.9694,75113.65883,106740.4625,207550.8994,972524.2143,166040.7195,112670.4882,175924.0957,1796797.786,4083811.03,466495.3548,1895631.548,395335.0465,65230.28266,4965408.183,2826645.582,1087171.378,1557620.083,207550.8994,1138564.934,108717.1378,545562.3641,936944.0601,1087171.378,500098.8338,223364.3012,7906.700929,122553.8644,69183.63313,217434.2755,504052.1842,142320.6167,189760.8223,106740.4625,393358.3712,195690.848,294524.6096,205574.2242,146273.9672,2634908.085,371614.9437
Escherichia_Shigella,3117216.841,4508796.205,466495.3548,7094287.409,5085985.373,2391777.031,7029057.126,3239770.706,65230.28266,0,27673.45325,5930.025697,19766.75232,35580.15418,47440.20557,0,1923305.001,128483.8901,3627199.051,146273.9672,25696.77802,106740.4625,154180.6681,4874481.123,7906.700929,598932.5954,106740.4625,130460.5653,4415892.469,205574.2242,120577.1892,126507.2149,110693.813,160110.6938,304407.9858,1138564.934,65230.28266,162087.369,223364.3012,3053963.234,511958.8852,786716.7424,177900.7709
Muribacter,29650.12848,19766.75232,844040.3242,407195.0978,189760.8223,290571.2591,3953.350465,37556.82941,739276.5369,808460.17,175924.0957,102787.1121,689859.6561,152203.9929,581142.5183,1186005.139,11860.05139,462542.0043,128483.8901,859853.726,152203.9929,405218.4226,33603.47895,0,217434.2755,0,857877.0508,486262.1071,946827.4363,1245305.396,1444949.595,0,383474.9951,1336232.457,1500296.501,0,0,57323.58174,77090.33406,43486.85511,448705.2777,555445.7403,369638.2684
Staphylococcus,223364.3012,2648744.811,1652500.494,879620.4784,399288.3969,919153.983,1512156.553,351848.1913,865783.7517,4271595.177,739276.5369,2761415.299,1919351.651,1686103.973,3502668.512,486262.1071,1462739.672,3542202.016,2415497.134,5601897.608,7185214.469,6076299.664,8950385.452,4220201.621,8307966.001,4627396.719,274757.8573,4832970.943,2486657.442,1017987.745,5301442.973,1682150.623,879620.4784,2800948.804,1585293.536,1116821.506,1411346.116,496145.4833,2022138.763,1994465.309,695789.6818,778810.0415,1834354.616
Streptococcus,71160.30836,116623.8387,672069.579,45463.53034,312314.6867,709626.4084,98833.76161,355801.5418,326151.4133,616722.6725,179877.4461,191737.4975,1557620.083,347894.8409,223364.3012,318244.7124,156157.3433,630559.3991,260921.1307,1075311.326,480332.0814,533702.3127,148250.6424,39533.50465,177900.7709,812413.5205,79067.00929,118600.5139,116623.8387,96857.08638,67206.9579,63253.60743,88950.38545,122553.8644,428938.5254,237201.0279,169994.07,45463.53034,197667.5232,185807.4718,0,116623.8387,213480.9251
Klebsiella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1976.675232,0,195690.848,130460.5653,25696.77802,23720.10279,57323.58174,61276.9322,128483.8901,166040.7195,35580.15418,55346.9065,71160.30836,102787.1121,136390.591,15813.40186,37556.82941,69183.63313,45463.53034,75113.65883
Enterococcus,474402.0557,794623.4434,88950.38545,438821.9016,65230.28266,25696.77802,0,21743.42755,4487052.777,2907689.267,6003162.68,1243328.721,1286815.576,266851.1564,162087.369,134413.9158,494168.8081,49416.88081,630559.3991,146273.9672,504052.1842,221387.626,0,21743.42755,0,124530.5396,77090.33406,207550.8994,741253.2121,53370.23127,43486.85511,146273.9672,128483.8901,270804.5068,1077288.002,2449100.613,379521.6446,124530.5396,693813.0065,624629.3734,96857.08638,944850.761,403241.7474
Pseudomonas,3522435.264,804506.8195,2727811.821,533702.3127,2049812.216,2389800.356,189760.8223,3237794.03,1899584.898,527772.287,527772.287,421031.8245,1583316.861,2225736.312,2846412.334,3308954.339,353824.8666,889503.8545,308361.3362,217434.2755,458588.6539,486262.1071,355801.5418,86973.71022,201620.8737,996244.3171,369638.2684,229294.3269,84997.03499,128483.8901,148250.6424,423008.4997,245107.7288,369638.2684,338011.4647,391381.696,664162.878,674046.2542,504052.1842,517888.9109,563352.4412,280687.883,436845.2263
Lachnospiraceae_NK4A136_group,0,108717.1378,0,3953.350465,0,0,0,0,0,0,0,0,0,0,0,0,17790.07709,0,0,3953.350465,13836.72663,0,0,0,0,0,51393.55604,0,0,96857.08638,0,88950.38545,92903.73592,43486.85511,0,57323.58174,23720.10279,171970.7452,57323.58174,27673.45325,75113.65883,102787.1121,79067.00929
Muribaculaceae,0,0,0,0,0,162087.369,0,25696.77802,0,0,0,0,0,51393.55604,0,5930.025697,0,0,0,0,0,0,0,0,0,0,33603.47895,15813.40186,0,49416.88081,7906.700929,25696.77802,27673.45325,39533.50465,27673.45325,11860.05139,51393.55604,31626.80372,29650.12848,0,25696.77802,11860.05139,29650.12848
Lachnospiraceae,0,3953.350465,25696.77802,3953.350465,0,59300.25697,0,0,0,0,3953.350465,0,0,31626.80372,0,0,11860.05139,0,0,5930.025697,11860.05139,5930.025697,0,0,0,0,168017.3947,51393.55604,49416.88081,158134.0186,41510.17988,75113.65883,197667.5232,201620.8737,116623.8387,59300.25697,92903.73592,120577.1892,84997.03499,47440.20557,264874.4811,152203.9929,102787.1121
Bacteroides,23720.10279,0,31626.80372,0,0,0,0,108717.1378,0,0,3953.350465,0,33603.47895,0,13836.72663,138367.2663,0,0,0,0,1976.675232,0,11860.05139,0,0,0,480332.0814,247084.404,27673.45325,533702.3127,227317.6517,567305.7917,561375.766,312314.6867,292547.9344,369638.2684,569282.4669,551492.3898,349871.5161,114647.1635,488238.7824,268827.8316,405218.4226
Rodentibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128483.8901,81043.68452,587072.544,73136.98359,53370.23127,35580.15418,49416.88081,173947.4204,122553.8644,921130.6582,146273.9672,0,666139.5533,1290768.927,88950.38545,140343.9415,434868.5511
Turicibacter,0,0,0,0,0,0,21743.42755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5930.025697,3953.350465,0,73136.98359,25696.77802,0,65230.28266,49416.88081,33603.47895,92903.73592,37556.82941,35580.15418,0,57323.58174,100810.4368,39533.50465,33603.47895,84997.03499,15813.40186,43486.85511
