#NAME	139A	140A	141A	142A	143A	144A	145A	146A	147A	148A	149A	150A	151A	152A	153A	154A	155A	156A	157A	158A	159A	160A	161A	162A	163A	164A	165A	166A	167A	168A	169A	249A	250A	251A	252A	253A	254A	255A	256A	257A	258A	259A	260A	261A	262A	263A
Lactobacillus	3394832.335	3379967.647	4229878.022	5381454.116	2858391.991	3497136.362	4160363.748	3724041.446	4309447.821	6454334.805	5645520.92	7550386.919	5284833.647	5085034.757	5567699.908	2330258.383	4069864.032	4006470.511	3035893.849	3418440.957	3188038.298	5437852.49	4762383.596	4984916.714	4691557.732	4344423.556	2519564.552	4308136.23	4938136.668	5727276.702	5175097.276	3122458.794	3278100.818	3202028.593	3268045.294	2866261.531	2882875.005	3093603.812	3749836.051	3150439.383	1446683.863	3408822.629	3602063.568	2550168.321	3327504.044	2669085.822
Escherichia_Shigella	733616.0539	2017225.55	2053950.072	3099287.369	1996677.305	2133519.871	2371354.873	2754776.374	688147.5976	2260744.109	918987.4525	690333.5811	2337690.727	865212.259	1477724.828	3628732.567	3631792.944	2747781.227	1735670.878	2242819.044	2593887.99	1146766.93	583657.5875	534254.361	1618502.164	127661.4349	1311.590084	0	6557.950422	5246.360338	3060.376864	474358.4139	234774.6251	127224.2382	59895.94719	14864.68762	903685.5681	150832.8597	3080925.108	0	0	0	0	0	0	6120.753727
Muribacter	0	0	4809.163643	108861.977	0	1311.590084	0	5246.360338	0	203296.4631	12241.50745	921173.4359	13990.29423	87876.53565	88313.73235	5683.557032	4809.163643	0	20111.04796	0	6120.753727	3497.573558	3934.770253	22734.22813	31915.35872	49840.42321	4809.163643	81318.58523	42845.27609	143837.7126	85690.55218	0	0	0	0	0	0	0	327023.1277	7869.540506	574039.2603	0	0	0	0	0
Staphylococcus	6120.753727	18799.45788	28854.98186	17925.06449	3497.573558	8743.933896	11367.11406	12678.70415	10492.72068	5246.360338	12678.70415	12241.50745	9618.327285	10492.72068	7869.540506	77821.01167	84816.15879	59458.75049	15739.08101	18799.45788	31478.16203	0	3934.770253	6557.950422	13553.09754	0	0	0	0	0	0	11367.11406	4371.966948	8743.933896	6557.950422	2185.983474	8306.737201	27980.58847	966641.8922	93560.09269	504524.9858	94434.48608	100555.2398	74760.63481	75635.0282	84816.15879
Streptococcus	29729.37525	7869.540506	77383.81498	133344.9919	10929.91737	15301.88432	40659.29262	52026.40668	27543.39177	400034.9757	170943.9077	243518.559	216412.3639	168757.9242	202422.0697	50277.6199	57272.76702	61207.53727	29292.17855	18799.45788	19236.65457	84816.15879	141651.7291	167883.5308	200236.0862	47217.24304	42845.27609	62081.93066	59458.75049	124163.8613	197175.7094	159576.7936	131596.2051	108424.7803	228653.8714	213789.1838	193678.1358	180999.4316	374240.3707	499715.8221	300354.1293	155642.0233	313907.2269	163074.3672	135968.1721	136842.5655
Enterococcus	0	0	0	0	0	0	0	0	0	398723.3857	135530.9754	506273.7726	323088.3575	160013.9903	322213.9641	0	0	0	0	0	0	59458.75049	43719.66948	74760.63481	120666.2878	282429.0648	26668.99838	479167.5775	249639.3127	213351.9871	416211.2534	16176.27771	7432.343811	9618.327285	4809.163643	0	1748.786779	2185.983474	427578.3675	103178.42	583220.3909	0	5683.557032	0	0	0
Lachnospiraceae_NK4A136_group	39347.70253	23171.42482	13553.09754	13990.29423	21422.63804	13115.90084	7432.343811	46342.84965	17925.06449	127661.4349	822804.1796	11804.31076	660167.0091	1369737.245	731430.0704	36724.52236	32789.75211	20548.24466	40659.29262	9618.327285	11367.11406	42845.27609	46780.04634	291610.1954	250950.9028	21422.63804	81755.78193	58147.16041	11804.31076	60333.14388	79569.79845	4809.163643	13553.09754	49403.22651	9618.327285	111047.9605	76509.42159	8306.737201	0	49403.22651	1311.590084	38473.30914	38910.50584	475232.8072	23608.62152	89188.12574
Muribaculaceae	2270362.436	1729550.125	1494338.303	297730.9492	2095920.955	2211778.079	1788134.482	681589.6472	2972500.328	12241.50745	1617190.574	15301.88432	448563.8089	703012.2852	1120535.129	1057578.805	490971.8883	1372797.622	2992174.179	1942464.915	2041271.368	160888.3837	206356.8399	1095177.72	851221.9648	2674332.182	3533860.884	1876448.214	1581340.445	925108.2062	1343505.443	2190355.441	1617627.771	2747344.03	1954269.226	3063437.24	2183797.49	2981244.262	12241.50745	701700.6951	0	1252568.531	2601757.531	2382721.987	1883880.558	2074935.513
Lachnospiraceae	1576094.085	700389.1051	1133213.833	774712.5432	766843.0027	1166003.585	842478.0309	1159882.831	897127.6177	22734.22813	199361.6928	0	28854.98186	165260.3506	174004.2845	1040528.134	625191.2736	932103.3533	722248.9398	892755.6508	653171.862	997682.8575	745420.3646	766405.806	784330.8705	1008612.775	1113539.982	1526690.858	1305469.331	1745726.402	978009.0063	162199.9738	282429.0648	228216.6747	285926.6384	540812.3115	160451.187	391728.2385	127224.2382	646613.9116	437.1966948	737113.6274	418397.2369	132470.5985	265815.5904	447689.4155
Bacteroides	215975.1672	224719.1011	0	0	26231.80169	224281.9044	362436.06	33664.1455	2623.180169	0	26668.99838	0	222533.1176	792637.6077	20111.04796	0	8306.737201	1748.786779	1748.786779	109736.3704	0	69514.27447	439819.875	874.3933896	0	299916.9326	1172561.535	3934.770253	0	3497.573558	0	1281860.709	704761.072	1730861.715	610763.7826	835045.6871	1358807.327	1489529.139	0	570978.8834	2060508.023	1628120.491	494032.2651	1731298.911	1182179.863	1067197.132
