	139A	140A	141A	142A	143A	144A	145A	146A	147A	148A	149A	150A	151A	152A	153A	154A	155A	156A	157A	158A	159A	160A	161A	162A	163A	164A	165A	166A	167A	168A	169A	249A	250A	251A	252A	253A	254A	255A	256A	257A	258A	259A	260A	261A	262A	263A
Lactobacillus	3395053.622	3381483.913	4225432.261	5376668.855	2859706.719	3494856.643	4164587.437	3728168.089	4314291.968	6451302.254	5642810.243	7553512.804	5280805.428	5081637.12	5570584.373	2330488.072	4076603.195	3993434.012	3033048.807	3419566.645	3197636.244	5421755.308	4771722.478	4982271.832	4677172.248	4361129.35	2507769.753	4304661.852	4938498.577	5730794.485	5161742.176	3140731.013	3270737.579	3204639.965	3284745.021	2883344.277	2895600.788	3090391.771	3760560.298	3139855.548	1432698.621	3411687.459	3595535.128	2547165.682	3377982.053	2681111.841
Escherichia_Shigella	734077.4787	2018822.499	2054278.836	3097395.491	1990369.884	2139198.949	2367257.606	2751586.78	689428.759	2260888.597	919238.3454	682425.0383	2330488.072	870212.3003	1478222.806	3617859.488	3633617.859	2747647.188	1737798.205	2239877.435	2596629.459	1156489.385	584810.6807	530094.1125	1615233.093	126066.9731	2188.662727	0	5252.790545	8754.650908	3064.127818	473188.8816	234186.9118	127380.1707	61720.2889	11818.77873	906106.369	151455.4607	3061939.155	0	0	0	0	0	0	7441.453272
Muribacter	0	0	3939.592909	105493.5434	0	1313.197636	0	5252.790545	0	202232.436	12256.51127	920989.2756	14445.174	84044.64872	90610.6369	4815.058	5690.52309	0	19697.96454	0	6565.988181	3064.127818	3939.592909	23199.82491	32829.94091	48150.58	8316.918363	81855.98599	42022.32436	145327.2051	86671.04399	0	0	0	0	0	0	0	328299.4091	8316.918363	577806.9599	0	0	0	0	0
Staphylococcus	6128.255636	16633.83673	27139.41782	17509.30182	3501.860363	8754.650908	10943.31364	12256.51127	11381.04618	6128.255636	10943.31364	11381.04618	9630.115999	10505.58109	3939.592909	77478.66054	84044.64872	59531.62618	17071.56927	17947.03436	29765.81309	0	3939.592909	6565.988181	14007.44145	0	0	0	0	0	0	11818.77873	3939.592909	7879.185817	7003.720727	875.4650908	7879.185817	27577.15036	976143.5763	94987.96236	513898.0083	91048.36945	98052.09017	75727.73036	74414.53272	78791.85817
Streptococcus	29765.81309	10943.31364	79667.32327	132195.2287	12256.51127	15320.63909	40709.12672	52527.90545	28452.61545	402713.9418	170277.9602	245130.2254	216677.61	164587.4371	199606.0407	51652.44036	58656.16109	61720.2889	27139.41782	19697.96454	19697.96454	85357.84636	141825.3447	169840.2276	199606.0407	43773.25454	42460.05691	63908.95163	59969.35872	119938.7174	192602.32	174217.5531	130444.2985	108557.6713	233311.4467	209673.8893	204858.8313	182534.4714	369884.0009	499452.8343	296782.6658	158021.4489	318231.5605	162836.5069	132195.2287	131757.4962
Enterococcus	0	0	0	0	0	0	0	0	0	396147.9536	134821.624	506894.2876	326548.4789	161523.3093	323484.3511	0	0	0	0	0	0	59969.35872	44210.98709	74852.26527	123002.8453	286714.8172	28890.348	485007.6603	249069.8183	213613.4822	418910.046	14882.90654	7003.720727	8754.650908	3939.592909	0	1750.930182	2188.662727	424600.5691	103304.8807	584372.9481	0	3939.592909	0	0	0
Pseudomonas	0	0	2626.395272	7441.453272	0	0	2188.662727	3501.860363	0	2188.662727	2188.662727	1313.197636	0	4815.058	7441.453272	1313.197636	875.4650908	1750.930182	4377.325454	437.7325454	0	3501.860363	0	0	0	2626.395272	1313.197636	5690.52309	5252.790545	3939.592909	10067.84854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lachnospiraceae_NK4A136_group	39395.92909	23637.55745	13131.97636	14445.174	19697.96454	13131.97636	8754.650908	42897.78945	23199.82491	129131.1009	824688.1156	12694.24382	663164.8063	1374917.925	735390.6763	37207.26636	32829.94091	22324.35982	42022.32436	7879.185817	11381.04618	43773.25454	45524.18472	292405.3403	253447.1438	20573.42963	82731.45108	52527.90545	9192.383454	65659.88181	82731.45108	4815.058	9630.115999	45086.45218	8754.650908	110746.334	70037.20727	9192.383454	0	46837.38236	3501.860363	42897.78945	40271.39418	472313.4165	24513.02254	92361.56708
Muribaculaceae	2268767.783	1730794.485	1493543.445	296344.9332	2100240.753	2210111.622	1786386.518	679798.643	2973954.914	10943.31364	1617859.488	14007.44145	452177.7194	701247.5378	1104836.945	1060625.958	494637.7763	1377982.053	2992777.413	1941343.839	2037644.999	159772.3791	205296.5638	1104836.945	854891.6612	2668417.597	3533377.107	1884438.608	1564893.85	924053.4034	1336397.461	2207485.227	1618297.22	2754650.908	1945721.164	3053622.237	2186036.332	2994090.611	11818.77873	707375.7934	0	1260231.998	2604070.913	2372510.396	1905012.038	2071788.137
Lachnospiraceae	1577588.094	700809.8052	1130225.432	776975.2681	768220.6172	1164368.571	841321.9523	1159991.245	893849.8577	20573.42963	199168.3082	0	29328.08054	165900.6347	179470.3436	1039177.063	621142.4819	930619.3916	722696.4325	896476.253	649595.0974	1001094.331	742394.397	762967.8267	788794.0468	1003282.994	1110527.468	1521996.06	1306193.916	1744364.193	979645.4366	162836.5069	284526.1545	229371.8538	282775.2243	541912.8912	159334.6465	395272.4885	129568.8334	642153.6441	437.7325454	731888.8159	421536.4412	129131.1009	295469.4682	448238.1265
Bacteroides	215364.4123	226307.726	0	0	24513.02254	222805.8656	362880.2801	31079.01072	2626.395272	0	27577.15036	0	223243.5982	790544.977	24950.75509	0	7879.185817	1750.930182	1750.930182	111184.0665	0	65659.88181	438608.0105	1313.197636	0	296344.9332	1185817.466	5252.790545	0	3939.592909	0	1298314.73	704311.6656	1729043.554	615889.6914	833005.0339	1365287.809	1476471.876	0	573867.367	2066535.347	1635806.522	490260.4509	1744801.926	1217771.941	1061939.155
Rodentibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41584.59181	87984.24163	54278.83563	149266.798	121689.6476	45086.45218	63471.21909	835193.6967	127380.1707	1773254.541	66973.07945	34580.87109	40271.39418	12694.24382	8754.650908
Parabacteroides	729262.4207	1035675.202	1313.197636	0	1102648.282	108557.6713	875.4650908	1029109.214	0	0	0	0	95863.42745	2626.395272	0	0	0	0	0	0	0	2188.662727	928868.4614	0	0	2188.662727	25826.22018	480192.6023	1313.197636	0	0	637338.5861	1497920.77	101553.9505	441234.4058	0	139636.682	0	0	2229371.854	2687677.829	563799.5185	236813.3071	542350.6238	823812.6505	699934.3401
Odoribacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67410.81199	0	193040.0525	0	0	1750.930182	0	1750.930182	178594.8785	0	0	0	875.4650908	191726.8549	210111.6218	182534.4714	1255854.673	489384.9858	657036.5507	419785.5111	0	0	0	326986.2114	323046.6185	270080.9805	435981.6152	702123.0028
