	Experiment	Tissue type	DOL	Genotype
139B	C	TI	DOL14	Sig Homo_HET
140B	C	TI	DOL14	Sig WT 
141B	C	TI	DOL14	Sig Homo_HET
142B	C	TI	DOL14	Sig Homo_HET
143B	C	TI	DOL14	Sig Homo_HET 
144B	C	TI	DOL14	Sig Homo_HET
145B	C	TI	DOL14	Sig Homo_HET
146B	C	TI	DOL14	Sig WT 
147B	C	TI	DOL14	Sig Homo_HET
148B	C	TI	DOL14	Sig Homo_HET
149B	C	TI	DOL14	Sig Homo_HET
150B	C	TI	DOL14	Sig Homo_HET 
151B	C	TI	DOL14	Sig WT 
152B	C	TI	DOL14	Sig Homo_HET 
153B	C	TI	DOL14	Sig Homo_HET 
154B	C	TI	DOL14	Sig Homo_HET 
155B	C	TI	DOL14	Sig Homo_HET
156B	C	TI	DOL14	Sig WT 
157B	C	TI	DOL14	Sig Homo_HET 
158B	C	TI	DOL14	Sig WT 
159B	C	TI	DOL14	Sig Homo_HET 
160B	C	TI	DOL14	Sig Homo_HET 
161B	C	TI	DOL14	Sig WT 
162B	C	TI	DOL14	Sig WT 
163B	C	TI	DOL14	Sig Homo_HET
164B	C	TI	DOL14	Sig Homo_HET 
165B	C	TI	DOL14	Sig Homo_HET
166B	C	TI	DOL14	Sig Homo_HET 
167B	C	TI	DOL14	Sig WT 
168B	C	TI	DOL14	Sig Homo_HET 
169B	C	TI	DOL14	Sig Homo_HET 
249B	C	TI	DOL14	Sig Homo_HET
250B	C	TI	DOL14	Sig Homo_HET
251B	C	TI	DOL14	Sig Homo_HET
252B	C	TI	DOL14	Sig Homo_HET
253B	C	TI	DOL14	Sig Homo_HET
254B	C	TI	DOL14	Sig Homo_HET
255B	C	TI	DOL14	Sig Homo_HET
256B	C	TI	DOL14	Sig Homo_HET
257B	C	TI	DOL14	Sig Homo_HET
258B	C	TI	DOL14	Sig WT
259B	C	TI	DOL14	Sig WT
260B	C	TI	DOL14	Sig WT
261B	C	TI	DOL14	Sig WT
262B	C	TI	DOL14	Sig Homo_HET
263B	C	TI	DOL14	Sig Homo_HET
