#NAME	139B	140B	141B	142B	143B	144B	145B	146B	147B	148B	149B	150B	151B	152B	153B	154B	155B	156B	157B	158B	159B	160B	161B	162B	163B	164B	165B	166B	167B	168B	169B	249B	250B	251B	252B	253B	254B	255B	256B	257B	258B	259B	260B	261B	262B	263B
Lactobacillus	8082368.082	6143286.143	7717717.718	5019305.019	6220506.221	8116688.117	6010296.01	6014586.015	9631059.631	8108108.108	8927498.927	8575718.576	9330759.331	9502359.502	8378378.378	5113685.114	7001287.001	7232947.233	5534105.534	4122694.123	6001716.002	8005148.005	8378378.378	7919347.919	8494208.494	9253539.254	9283569.284	9661089.661	9785499.785	9558129.558	9429429.429	5800085.8	8095238.095	8468468.468	8494208.494	8129558.13	8395538.396	8700128.7	8356928.357	8116688.117	1570141.57	7880737.881	6868296.868	8163878.164	9390819.391	8429858.43
Escherichia_Shigella	8580.00858	755040.755	411840.4118	2951522.952	3367653.368	1402831.403	3200343.2	2861432.861	0	25740.02574	38610.03861	72930.07293	180180.1802	8580.00858	17160.01716	0	347490.3475	896610.8966	132990.133	244530.2445	1681681.682	8580.00858	0	42900.0429	4290.00429	8580.00858	0	0	4290.00429	0	21450.02145	677820.6778	30030.03003	0	0	38610.03861	124410.1244	0	60060.06006	0	1059631.06	218790.2188	677820.6778	253110.2531	8580.00858	0
Muribacter	1312741.313	2179322.179	1154011.154	1325611.326	60060.06006	184470.1845	188760.1888	420420.4204	102960.103	935220.9352	81510.08151	296010.296	34320.03432	34320.03432	514800.5148	3792363.792	1776061.776	1364221.364	3758043.758	0	317460.3175	1256971.257	930930.9309	862290.8623	995280.9953	420420.4204	163020.163	42900.0429	30030.03003	21450.02145	12870.01287	617760.6178	240240.2402	72930.07293	141570.1416	60060.06006	300300.3003	42900.0429	579150.5792	926640.9266	38610.03861	613470.6135	171600.1716	55770.05577	60060.06006	21450.02145
Staphylococcus	175890.1759	17160.01716	21450.02145	4290.00429	30030.03003	8580.00858	12870.01287	0	0	17160.01716	55770.05577	68640.06864	4290.00429	4290.00429	64350.06435	60060.06006	94380.09438	34320.03432	72930.07293	386100.3861	38610.03861	47190.04719	21450.02145	102960.103	72930.07293	0	0	0	0	0	17160.01716	85800.0858	42900.0429	25740.02574	34320.03432	12870.01287	55770.05577	21450.02145	326040.326	72930.07293	450450.4505	390390.3904	218790.2188	214500.2145	81510.08151	729300.7293
Candidatus_Arthromitus	4290.00429	0	4290.00429	0	0	0	0	4290.00429	0	0	0	0	4290.00429	0	0	0	0	0	0	0	0	0	0	4290.00429	0	0	8580.00858	0	0	0	0	0	0	0	0	0	0	0	0	0	12870.01287	0	0	0	0	0
Streptococcus	64350.06435	240240.2402	321750.3218	128700.1287	81510.08151	51480.05148	94380.09438	132990.133	60060.06006	167310.1673	214500.2145	210210.2102	34320.03432	107250.1073	227370.2274	364650.3647	154440.1544	171600.1716	111540.1115	1033891.034	25740.02574	227370.2274	184470.1845	287430.2874	111540.1115	128700.1287	201630.2016	98670.09867	51480.05148	102960.103	81510.08151	467610.4676	652080.6521	604890.6049	772200.7722	866580.8666	291720.2917	154440.1544	330330.3303	579150.5792	287430.2874	253110.2531	274560.2746	377520.3775	214500.2145	647790.6478
Enterococcus	0	4290.00429	0	0	4290.00429	0	0	0	0	0	4290.00429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4290.00429	0	0	30030.03003	416130.4161	0	0	0	0	0	0	4290.00429	0	772200.7722	47190.04719	390390.3904	154440.1544	0	0
Pseudomonas	60060.06006	390390.3904	132990.133	326040.326	167310.1673	47190.04719	235950.236	261690.2617	77220.07722	326040.326	270270.2703	257400.2574	132990.133	158730.1587	519090.5191	231660.2317	411840.4118	163020.163	201630.2016	2574002.574	102960.103	163020.163	235950.236	347490.3475	128700.1287	107250.1073	90090.09009	85800.0858	51480.05148	184470.1845	193050.1931	0	0	0	4290.00429	0	0	8580.00858	0	0	72930.07293	8580.00858	12870.01287	0	0	0
Lachnospiraceae_NK4A136_group	0	0	0	12870.01287	0	0	4290.00429	0	0	0	8580.00858	0	0	0	0	0	0	0	0	0	0	12870.01287	0	17160.01716	0	0	0	0	0	0	0	98670.09867	21450.02145	8580.00858	0	30030.03003	21450.02145	60060.06006	8580.00858	0	244530.2445	8580.00858	60060.06006	47190.04719	0	0
Muribaculaceae	120120.1201	17160.01716	0	0	0	51480.05148	4290.00429	30030.03003	30030.03003	0	4290.00429	0	90090.09009	0	0	0	0	0	8580.00858	188760.1888	1154011.154	0	25740.02574	0	0	0	85800.0858	0	0	4290.00429	0	163020.163	12870.01287	77220.07722	0	0	0	38610.03861	0	0	253110.2531	55770.05577	240240.2402	60060.06006	0	4290.00429
Lachnospiraceae	12870.01287	38610.03861	0	0	0	34320.03432	4290.00429	25740.02574	8580.00858	0	4290.00429	8580.00858	0	0	0	0	0	0	0	98670.09867	132990.133	0	0	0	0	0	8580.00858	0	0	0	0	407550.4076	90090.09009	72930.07293	34320.03432	12870.01287	51480.05148	90090.09009	8580.00858	8580.00858	690690.6907	85800.0858	261690.2617	154440.1544	0	17160.01716
Bacteroides	0	0	0	4290.00429	0	0	0	0	0	0	4290.00429	0	8580.00858	0	0	0	0	0	0	0	0	0	0	0	21450.02145	0	34320.03432	0	0	0	0	180180.1802	64350.06435	60060.06006	72930.07293	72930.07293	77220.07722	64350.06435	21450.02145	30030.03003	574860.5749	77220.07722	115830.1158	51480.05148	25740.02574	12870.01287
Rodentibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102960.103	248820.2488	128700.1287	94380.09438	137280.1373	42900.0429	34320.03432	72930.07293	171600.1716	145860.1459	51480.05148	115830.1158	124410.1244	77220.07722	77220.07722
Turicibacter	12870.01287	8580.00858	0	17160.01716	0	12870.01287	0	0	42900.0429	85800.0858	38610.03861	98670.09867	30030.03003	34320.03432	38610.03861	0	0	0	0	51480.05148	0	38610.03861	0	0	0	0	0	8580.00858	0	0	0	8580.00858	4290.00429	8580.00858	0	0	0	8580.00858	4290.00429	4290.00429	94380.09438	8580.00858	0	0	0	0
Parabacteroides	4290.00429	0	0	0	0	0	0	12870.01287	0	0	0	0	51480.05148	0	0	0	0	0	0	0	0	0	30030.03003	0	0	0	4290.00429	0	0	0	0	145860.1459	4290.00429	8580.00858	4290.00429	0	0	0	4290.00429	0	270270.2703	34320.03432	128700.1287	51480.05148	0	0
Phyllobacterium	30030.03003	25740.02574	60060.06006	42900.0429	12870.01287	25740.02574	42900.0429	38610.03861	4290.00429	42900.0429	30030.03003	47190.04719	8580.00858	34320.03432	0	60060.06006	72930.07293	25740.02574	8580.00858	429000.429	12870.01287	30030.03003	47190.04719	30030.03003	47190.04719	34320.03432	30030.03003	30030.03003	21450.02145	21450.02145	72930.07293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Odoribacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223080.2231	0	0	0	0	0	0	0	0	0	0	68640.06864	0	4290.00429	0	0	4290.00429	12870.01287	0	0	72930.07293	25740.02574	47190.04719	34320.03432	4290.00429	0
Rikenellaceae_RC9_gut_group	21450.02145	0	12870.01287	8580.00858	4290.00429	0	0	0	0	0	0	0	0	0	34320.03432	4290.00429	0	0	12870.01287	38610.03861	77220.07722	8580.00858	0	8580.00858	0	0	0	4290.00429	0	0	0	12870.01287	30030.03003	17160.01716	12870.01287	30030.03003	81510.08151	21450.02145	0	0	145860.1459	8580.00858	17160.01716	17160.01716	0	0
Alistipes	4290.00429	17160.01716	0	0	0	8580.00858	0	4290.00429	4290.00429	0	0	12870.01287	4290.00429	0	0	0	0	0	0	0	77220.07722	0	0	25740.02574	0	0	17160.01716	0	0	0	4290.00429	38610.03861	8580.00858	34320.03432	17160.01716	12870.01287	8580.00858	25740.02574	4290.00429	0	124410.1244	0	4290.00429	8580.00858	0	12870.01287
Alloprevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8580.00858	8580.00858	8580.00858	0	8580.00858	0	8580.00858	4290.00429	0	68640.06864	4290.00429	0	4290.00429	4290.00429	0
Clostridium_sensu_stricto_1	0	0	0	12870.01287	0	0	0	0	0	0	4290.00429	0	0	0	0	0	0	0	0	0	4290.00429	30030.03003	4290.00429	0	12870.01287	0	0	30030.03003	0	0	0	21450.02145	12870.01287	12870.01287	30030.03003	30030.03003	21450.02145	25740.02574	12870.01287	8580.00858	102960.103	4290.00429	8580.00858	17160.01716	12870.01287	0
