#NAME	Experiment	Tissue type	DOL	Genotype
108A	C	colon	DOL28	Sig Homo_HET
109A	C	colon	DOL28	Sig Homo_HET
110A	C	colon	DOL28	Sig Homo_HET 
111A	C	colon	DOL28	Sig WT
112A	C	colon	DOL28	Sig Homo_HET
113A	C	colon	DOL28	Sig Homo_HET
114A	C	colon	DOL28	Sig Homo_HET 
115A	C	colon	DOL28	Sig WT
116A	C	colon	DOL28	Sig Homo_HET
117A	C	colon	DOL28	Sig Homo_HET
118A	C	colon	DOL28	Sig Homo_HET
119A	C	colon	DOL28	Sig WT
120A	C	colon	DOL28	Sig WT
121A	C	colon	DOL28	Sig Homo_HET
122A	C	colon	DOL28	Sig Homo_HET
123A	C	colon	DOL28	Sig Homo_HET
124A	C	colon	DOL28	Sig WT 
125A	C	colon	DOL28	Sig Homo_HET
126A	C	colon	DOL28	Sig Homo_HET
127A	C	colon	DOL28	Sig Homo_HET 
128A	C	colon	DOL28	Sig Homo_HET 
129A	C	colon	DOL28	Sig WT
130A	C	colon	DOL28	Sig Homo_HET
131A	C	colon	DOL28	Sig Homo_HET 
132A	C	colon	DOL28	Sig Homo_HET 
133A	C	colon	DOL28	Sig Homo_HET
134A	C	colon	DOL28	Sig WT
135A	C	colon	DOL28	Sig WT 
136A	C	colon	DOL28	Sig Homo_HET
137A	C	colon	DOL28	Sig WT 
138A	C	colon	DOL28	Sig Homo_HET
