#NAME	108A	109A	110A	111A	112A	113A	114A	115A	116A	117A	118A	119A	120A	121A	122A	123A	124A	125A	126A	127A	128A	129A	130A	131A	132A	133A	134A	135A	136A	137A	138A
Lactobacillus	4167543.931	3216049.883	4811320.755	4705239.291	3897481.577	5108105.92	3991416.309	5240505.304	475342.133	2482792.129	2831808.244	3828650.093	3088914.082	4002753.259	4257429.751	4262288.444	4137581.99	3773989.797	5227143.898	972548.3845	543363.8351	2099765.163	1859259.859	2568224.148	5229573.245	2013928.253	3956595.676	4142845.575	5108915.702	2920884.282	3849299.538
Escherichia_Shigella	5263.584096	12551.62361	7692.930602	0	0	5263.584096	20244.55421	30366.83132	7288.039517	0	8097.821686	17815.20771	0	13361.40578	10932.05928	8907.603855	8502.71277	4048.910843	5668.47518	11336.95036	10122.27711	3644.019759	29961.94024	2429.346506	32796.17783	5668.47518	2024.455421	0	4858.693012	3239.128674	7288.039517
Candidatus_Arthromitus	229573.2448	248603.1258	192323.265	174912.9484	142926.5528	154668.3942	188679.2453	598429.0226	115798.8501	251842.2544	609361.0819	254271.6009	0	0	0	527168.1918	14171.18795	404.8910843	0	0	0	0	0	0	0	0	0	187059.6809	215806.9479	212567.8193	203255.3243
Streptococcus	2429.346506	2834.23759	7692.930602	2834.23759	3644.019759	0	0	1619.564337	1619.564337	2834.23759	404.8910843	3239.128674	0	2024.455421	2834.23759	0	0	2024.455421	0	809.7821686	0	809.7821686	0	0	809.7821686	2024.455421	4048.910843	3239.128674	0	0	2834.23759
Pseudomonas	404.8910843	809.7821686	0	0	404.8910843	0	2024.455421	404.8910843	2024.455421	809.7821686	0	0	0	1214.673253	404.8910843	1214.673253	1214.673253	2024.455421	0	1214.673253	0	809.7821686	0	0	0	1619.564337	2429.346506	0	0	0	0
Lachnospiraceae_NK4A136_group	155478.1764	303263.4221	129160.2559	330391.1248	256700.9474	273706.373	344157.4217	392339.4607	1575836.1	1173779.253	344967.2038	417847.599	281399.3036	311361.2438	178556.9682	219450.9677	156692.8496	255891.1653	158717.305	1189974.897	1719572.435	1541015.467	1433719.33	304478.0954	412179.1238	1580694.793	1000890.76	310551.4617	578184.4684	1384727.508	425135.6385
Muribaculaceae	2754878.938	3233865.09	3080006.478	2865009.312	3395821.524	2490889.951	2790509.353	1671390.396	1802170.216	1694064.297	3340756.337	3211596.081	3912057.656	3569924.69	3622560.531	3113612.438	3796663.697	3900315.815	2856506.6	2001781.521	1470969.309	1553971.982	2197748.806	2450805.733	1778686.533	1755202.85	1506194.834	2278322.131	1696493.643	2044699.976	2097335.817
Lachnospiraceae	124301.5629	226334.1161	93934.73156	230383.027	232812.3735	201230.8689	464410.0737	404081.3021	992388.0476	757146.3276	426755.2029	404486.1932	376548.7084	306097.6597	280184.6303	340918.293	261964.5315	329176.4515	238480.8487	1233298.243	1615920.317	1204955.867	873350.0688	195967.2848	289497.1253	866871.8115	468863.8756	282613.9768	232407.4824	495181.7961	245768.8882
Bacteroides	664426.2693	626771.3985	482225.2814	569276.8645	1111021.135	770912.6245	77334.1971	20244.55421	31581.50458	24293.46506	62758.11807	105271.6819	85432.01879	90290.7118	145760.7903	96768.96915	90290.7118	98388.53348	70046.15758	22269.00964	9717.386023	5668.47518	29557.04915	17410.31662	18624.98988	29557.04915	0	119442.8699	58709.20722	76524.41493	198396.6313
Turicibacter	117823.3055	127540.6916	3239.128674	4453.801927	0	22269.00964	2834.23759	0	0	43323.34602	5668.47518	8907.603855	479391.0438	328366.6694	189893.9185	4858.693012	117013.5234	102437.4443	114179.2858	0	0	0	0	1911085.918	61543.44481	116203.7412	413798.6882	60328.77156	51421.16771	4453.801927	161551.5426
