#NAME	Experiment	Tissue type	DOL	Genotype
1	C	colon	DOL8	Sig Homo_HET 
2	C	colon	DOL8	Sig WT
3	C	colon	DOL8	Sig Homo_HET 
7	C	colon	DOL8	Sig Homo_HET 
8	C	colon	DOL8	Sig Homo_HET 
11	C	colon	DOL8	Sig WT
12	C	colon	DOL8	Sig Homo_HET 
13	C	colon	DOL8	Sig Homo_HET 
14	C	colon	DOL8	Sig Homo_HET 
15	C	colon	DOL8	Sig Homo_HET 
22	C	colon	DOL8	Sig WT
23	C	colon	DOL8	Sig Homo_HET 
24	C	colon	DOL8	Sig Homo_HET 
25	C	colon	DOL8	Sig WT
30	C	colon	DOL8	Sig Homo_HET 
40	C	colon	DOL8	Sig WT
41	C	colon	DOL8	Sig Homo_HET 
42	C	colon	DOL8	Sig Homo_HET 
43	C	colon	DOL8	Sig Homo_HET 
46	C	colon	DOL8	Sig WT
47	C	colon	DOL8	Sig Homo_HET 
48	C	colon	DOL8	Sig Homo_HET 
49	C	colon	DOL8	Sig Homo_HET 
