#NAME	Experiment	Tissue type	DOL	Genotype
4	F	colon	DOL8	Sig Homo 
5	F	colon	DOL8	Sig WT
6	F	colon	DOL8	Sig HET
9	F	colon	DOL8	Sig HET
10	F	colon	DOL8	Sig WT
16	F	colon	DOL8	Sig Homo
17	F	colon	DOL8	Sig HET
18	F	colon	DOL8	Sig WT
19	F	colon	DOL8	Sig HET
20	F	colon	DOL8	Sig WT
21	F	colon	DOL8	Sig HET
26	F	colon	DOL8	Sig HET
27	F	colon	DOL8	Sig WT
28	F	colon	DOL8	Sig HET
29	F	colon	DOL8	Sig Homo
31	F	colon	DOL8	Sig HET
32	F	colon	DOL8	Sig WT
33	F	colon	DOL8	Sig HET
34	F	colon	DOL8	Sig HET
35	F	colon	DOL8	Sig HET
36	F	colon	DOL8	Sig WT
37	F	colon	DOL8	Sig Homo
38	F	colon	DOL8	Sig HET
39	F	colon	DOL8	Sig WT
44	F	colon	DOL8	Sig WT
45	F	colon	DOL8	Sig Homo
