pathway,description
1CMET2-PWY,N10-formyl-tetrahydrofolate biosynthesis
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,4-hydroxyphenylacetate degradation
AEROBACTINSYN-PWY,aerobactin biosynthesis
ALL-CHORISMATE-PWY,superpathway of chorismate metabolism
ANAEROFRUCAT-PWY,homolactic fermentation
ANAGLYCOLYSIS-PWY,glycolysis III (from glucose)
ARG+POLYAMINE-SYN,superpathway of arginine and polyamine biosynthesis
ARGDEG-PWY,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"
ARGORNPROST-PWY,"arginine, ornithine and proline interconversion"
ARGSYN-PWY,L-arginine biosynthesis I (via L-ornithine)
ARGSYNBSUB-PWY,L-arginine biosynthesis II (acetyl cycle)
ARO-PWY,chorismate biosynthesis I
ASPASN-PWY,superpathway of L-aspartate and L-asparagine biosynthesis
AST-PWY,L-arginine degradation II (AST pathway)
BIOTIN-BIOSYNTHESIS-PWY,biotin biosynthesis I
BRANCHED-CHAIN-AA-SYN-PWY,superpathway of branched amino acid biosynthesis
CALVIN-PWY,Calvin-Benson-Bassham cycle
CATECHOL-ORTHO-CLEAVAGE-PWY,catechol degradation to &beta;-ketoadipate
CENTBENZCOA-PWY,benzoyl-CoA degradation II (anaerobic)
CENTFERM-PWY,pyruvate fermentation to butanoate
CHLOROPHYLL-SYN,"chlorophyllide a biosynthesis I (aerobic, light-dependent)"
COA-PWY,coenzyme A biosynthesis I
COBALSYN-PWY,adenosylcobalamin salvage from cobinamide I
CODH-PWY,reductive acetyl coenzyme A pathway
COLANSYN-PWY,colanic acid building blocks biosynthesis
COMPLETE-ARO-PWY,superpathway of aromatic amino acid biosynthesis
CRNFORCAT-PWY,creatinine degradation I
DAPLYSINESYN-PWY,L-lysine biosynthesis I
DENITRIFICATION-PWY,nitrate reduction I (denitrification)
DENOVOPURINE2-PWY,superpathway of purine nucleotides de novo biosynthesis II
DHGLUCONATE-PYR-CAT-PWY,glucose degradation (oxidative)
DTDPRHAMSYN-PWY,dTDP-L-rhamnose biosynthesis I
ECASYN-PWY,enterobacterial common antigen biosynthesis
ENTBACSYN-PWY,enterobactin biosynthesis
FAO-PWY,fatty acid &beta;-oxidation I
FASYN-ELONG-PWY,fatty acid elongation -- saturated
FASYN-INITIAL-PWY,superpathway of fatty acid biosynthesis initiation (E. coli)
FERMENTATION-PWY,mixed acid fermentation
FOLSYN-PWY,superpathway of tetrahydrofolate biosynthesis and salvage
FUC-RHAMCAT-PWY,superpathway of fucose and rhamnose degradation
FUCCAT-PWY,fucose degradation
GALACT-GLUCUROCAT-PWY,superpathway of hexuronide and hexuronate degradation
GALACTARDEG-PWY,D-galactarate degradation I
GALACTUROCAT-PWY,D-galacturonate degradation I
GALLATE-DEGRADATION-I-PWY,gallate degradation II
GALLATE-DEGRADATION-II-PWY,gallate degradation I
GLCMANNANAUT-PWY,"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation"
GLUCARDEG-PWY,D-glucarate degradation I
GLUCARGALACTSUPER-PWY,superpathway of D-glucarate and D-galactarate degradation
GLUCONEO-PWY,gluconeogenesis I
GLUCOSE1PMETAB-PWY,glucose and glucose-1-phosphate degradation
GLUCUROCAT-PWY,superpathway of &beta;-D-glucuronide and D-glucuronate degradation
GLUTORN-PWY,L-ornithine biosynthesis
GLYCOCAT-PWY,glycogen degradation I (bacterial)
GLYCOGENSYNTH-PWY,glycogen biosynthesis I (from ADP-D-Glucose)
GLYCOL-GLYOXDEG-PWY,superpathway of glycol metabolism and degradation
GLYCOLYSIS,glycolysis I (from glucose 6-phosphate)
GLYCOLYSIS-E-D,superpathway of glycolysis and Entner-Doudoroff
GLYCOLYSIS-TCA-GLYOX-BYPASS,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
GLYOXYLATE-BYPASS,glyoxylate cycle
GOLPDLCAT-PWY,"superpathway of glycerol degradation to 1,3-propanediol"
HCAMHPDEG-PWY,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate
HEME-BIOSYNTHESIS-II,heme biosynthesis I (aerobic)
HEMESYN2-PWY,heme biosynthesis II (anaerobic)
HEXITOLDEGSUPER-PWY,superpathway of hexitol degradation (bacteria)
HISDEG-PWY,L-histidine degradation I
HISTSYN-PWY,L-histidine biosynthesis
HOMOSER-METSYN-PWY,L-methionine biosynthesis I
HSERMETANA-PWY,L-methionine biosynthesis III
ILEUSYN-PWY,L-isoleucine biosynthesis I (from threonine)
KDO-NAGLIPASYN-PWY,superpathway of (Kdo)2-lipid A biosynthesis
KETOGLUCONMET-PWY,ketogluconate metabolism
LACTOSECAT-PWY,lactose and galactose degradation I
LEU-DEG2-PWY,L-leucine degradation I
LIPASYN-PWY,phospholipases
LPSSYN-PWY,superpathway of lipopolysaccharide biosynthesis
MET-SAM-PWY,superpathway of S-adenosyl-L-methionine biosynthesis
METH-ACETATE-PWY,methanogenesis from acetate
METHANOGENESIS-PWY,methanogenesis from H2 and CO2
