"Features",Pvalues,FDR,Sig_Homo_HET,Sig_WT,LDAscore
Streptococcus,0.011638,0.15701,120260,22834,4.69
Muribacter,0.014317,0.15701,92724,12382,4.6
Roseburia,0.015797,0.15701,24603,42539,-3.95
Anaerotruncus,0.020934,0.15701,63362,194390,-4.82
Rodentibacter,0.091349,0.44729,67503,25563,4.32
Not_Assigned,0.09696,0.44729,744510,1264000,-5.41
Weissella,0.10437,0.44729,32268,7722.3,4.09
Lactobacillus,0.13031,0.48865,2439900,1768800,5.53
Ruminiclostridium_9,0.15112,0.50373,23397,32354,-3.65
Lachnospiraceae_UCG_006,0.16972,0.50767,5223.5,2995.7,3.05
Oscillibacter,0.18615,0.50767,24634,78621,-4.43
Lachnospiraceae_NK4A136_group,0.21433,0.53156,447270,730950,-5.15
Parabacteroides,0.23605,0.53156,99524,1063600,-5.68
Acinetobacter,0.2491,0.53156,35359,4859.7,4.18
Ruminococcaceae_UCG_005,0.30597,0.53156,45033,6657.1,4.28
Ruminiclostridium,0.3122,0.53156,18019,35616,-3.94
Staphylococcus,0.31317,0.53156,821100,573840,5.09
Intestinimonas,0.34116,0.53156,14960,14113,2.63
Turicibacter,0.34295,0.53156,6738,665.71,3.48
Alistipes,0.35437,0.53156,43333,62311,-3.98
Lachnoclostridium,0.4254,0.60771,204830,250710,-4.36
Clostridium_sensu_stricto_1,0.57487,0.75394,9705.1,5192.6,3.35
Bacteroides,0.57802,0.75394,110000,9919.1,4.7
Empedobacter,0.62884,0.78605,12765,2196.9,3.72
Acetatifactor,0.70608,0.84729,29363,41873,-3.8
Dysgonomonas,0.79089,0.86231,36533,7855.4,4.16
Arcobacter,0.80149,0.86231,21419,4393.7,3.93
Enterococcus,0.82265,0.86231,1455200,1125300,5.22
Escherichia_Shigella,0.83356,0.86231,2919900,2601300,5.2
Pseudomonas,0.94115,0.94115,30537,6390.8,4.08
