"Features",Pvalues,FDR,Sig_Homo_HET,Sig_WT,LDAscore
Actinobacteria,0.030315,0.42441,69115,148110,-4.6
Spirochaetes,0.089345,0.4526,29037,56335,-4.14
Verrucomicrobia,0.11814,0.4526,5998.2,16661,-3.73
Euglenozoa,0.14827,0.4526,95426,60571,4.24
Proteobacteria,0.16164,0.4526,4218800,3027600,5.77
Fusobacteria,0.20869,0.45836,21675,30356,-3.64
Epsilonbacteraeota,0.23853,0.45836,58005,65371,-3.57
Lentisphaerae,0.28199,0.45836,886.1,3529.8,-3.12
Euryarchaeota,0.29466,0.45836,3271.7,6353.6,-3.19
Firmicutes,0.43684,0.57558,4881800,5747900,-5.64
Bacteroidetes,0.45224,0.57558,588500,805780,-5.04
Cyanobacteria,0.55694,0.59982,9133.6,5788.8,3.22
Tenericutes,0.55698,0.59982,14518,21320,-3.53
Patescibacteria,0.72264,0.72264,3817,4376.9,-2.45
