"Features",Pvalues,FDR,C,F,LDAscore
Verrucomicrobia,0.002183,0.0079045,15046,45579,-4.18
Bacteroidetes,0.002183,0.0079045,78328,335420,-5.11
Actinobacteria,0.0029496,0.0079045,520.45,4778.7,-3.33
Cyanobacteria,0.0031618,0.0079045,1443.1,6687,-3.42
Planctomycetes,0.0056846,0.011369,283.88,2176.4,-2.98
Armatimonadetes,0.0071445,0.011907,0,772.79,-2.59
Proteobacteria,0.045127,0.056409,3267300,6097600,-6.15
Firmicutes,0.045127,0.056409,6636800,3506000,6.19
Epsilonbacteraeota,0.29261,0.32512,141.94,425.82,-2.16
Tenericutes,0.5062,0.5062,141.94,583.53,-2.35
