pathway	050A	051A	052A	058A	059A	060A	064A	065A	066A	067A	073A	074A	075A	080A	081A	082A	083A	084A	085A	086A	087A	088A	095A	096A	097A	102A	103A	104A	105A	106A	107A	214A	215A	216A	226A	227A	228A	229A	230A	231A	232A	233A	234A	235A	236A	237A	238A	239A	240A	139A	140A	141A	142A	143A	144A	145A	146A	147A	148A	149A	150A	151A	152A	153A	154A	155A	156A	157A	158A	159A	160A	161A	162A	163A	164A	165A	166A	167A	168A	169A	249A	250A	251A	252A	253A	254A	255A	256A	257A	258A	259A	260A	261A	262A	263A	108A	109A	110A	111A	112A	113A	114A	115A	116A	117A	118A	119A	120A	121A	122A	123A	124A	125A	126A	127A	128A	129A	130A	131A	132A	133A	134A	135A	136A	137A	138A	1	2	3	7	8	11	13	14	15	22	23	24	25	30	40	41	42	43	46	47	48	49
1CMET2-PWY	5256.192083636038	10143.539907357488	7714.404332701761	11883.934480905387	11996.456958218156	11428.92617064849	5524.033973843474	7313.645904957094	2866.4062161337124	3729.1748807756553	19904.24966588248	9356.738724612913	11652.19254505556	6280.566004788967	3739.541191646593	5425.631225265396	4526.430397404629	3623.0733501134696	4750.897635858084	9417.896019184444	5935.41561706274	10825.098176908265	14485.819771112934	10664.15208343296	10352.64818132032	3767.4278312998704	2086.872416574041	5175.901062913208	5192.939698372102	4307.993517720033	1467.0551523190318	24113.81200649356	19759.11223747878	11992.666584617196	12609.87306155088	10846.843008779724	8425.42144797945	9109.841797559548	10349.177708500814	8945.35853533202	12495.06574609138	14026.637078887314	14410.591168705952	10407.401053530157	23098.065482213296	16880.26212496509	18872.70520202745	12385.42028993308	19246.99746661512	26900.54711532757	24650.14107786445	22286.041298007392	16543.038444308448	22361.67925616553	18020.631443989187	18257.149158889963	19495.767320522355	23118.629839962643	10756.284058563897	21448.231045068616	4272.894348715051	17838.415687945482	19180.603948666627	18483.17194136264	19674.770733002704	17680.030330294878	19554.79197878396	20020.79579480965	19480.478010991494	20270.40784635597	18375.62501598616	25983.255796982896	20327.48801138189	21177.41101761412	21343.247095072173	23709.68601493076	24653.801623800595	24577.24804780592	19160.046386784208	23878.12122827049	21131.357881445107	19542.685294838346	21206.42430451115	23733.12834441913	16307.59059565701	17613.91904893486	18503.035629550468	9490.047385811757	28191.53586852659	22643.13057138036	23629.55534458801	24657.772994229355	20834.474367442363	25889.42007060552	23426.645509450253	23041.69904871737	25820.15634805908	18157.348935852588	21247.66693157182	21451.36077522937	23592.69321985924	24595.23517171648	22768.404301452327	36261.29760445746	34153.47768513647	26529.60432026286	24272.71686388334	21480.689451787603	26607.67839998882	25129.90327574033	26552.186287767217	22766.02740943024	24293.22922863703	25645.105489643985	36767.62905415983	34803.1466183358	30398.97283537716	28427.39083103508	21680.194125985927	23514.665129061283	28242.27582588917	24493.132849950547	22379.233739488714	13715.80905740468	34722.88469363327	28724.15754741364	5726.386963399572	6252.467343492899	6760.912269450369	6920.818897121527	5540.590493866415	20957.234340436007	25763.08927400777	22366.648138407065	22037.048916371456	21113.33807964851	23484.67676853362	23354.623937895336	20795.551648990524	10409.418115087154	23186.750185794364	23174.925138363767	19784.710411322383	24052.784228059954	21111.381621110853	22754.80130408581	10118.39169942065	14422.324631132356
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	31.438696605500223	107.48655898921189	64.57090261753659	140.87485267700316	125.9629414509496	133.24905747736028	1129.6978135692157	113.55516494871672	682.2650910442542	288.07091807853664	20.86140130311104	43.36397147266302	35.87582530184338	655.3014301809797	588.7743556562594	414.2168279001944	947.0309673190768	1175.2489979862332	880.223024021702	98.76344235329664	94.4352507939511	102.3588688372854	471.2045685213235	1628.3286627868144	1427.7674468650982	49.79303162433601	98.66107874185369	1268.6124428107726	39.3712541932504	63.38072523918796	27.58439982072015	0.0	0.0	459.8775937797169	185.5435287334627	248.64026067634808	157.2537278868923	133.5446185962335	136.21679954016656	57.99782646787275	109.86004116535396	41.97479639440012	75.46466709135993	54.80120561091149	0.0	18.041364135363352	0.0	14.31315568497871	0.0	32.39533956438466	84.12072473116754	122.91455929703112	161.08788655946245	74.32984587258971	74.76161097778804	106.03755040140244	99.47440443551206	30.85668663565441	107.09225610853996	58.76980270789697	39.66107008959066	78.28729243848377	55.85002725439855	103.93154297734816	147.47382371524972	166.18354786632946	122.88575204735874	105.81860903917536	69.63907614125957	137.27159858969458	1302.902771007574	1478.031898367943	1407.183429571232	1292.3148324523288	28.27302408167685	24.10971265168173	34.44628634091486	34.11694782302108	34.087030315701995	73.13053768681004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.201914988413241	12.156926163609084	0.0	0.0	6.9443963789064975	0.0	17.458314770266686	10.426826166576234	17.900936882837527	10.447594188805656	0.0	0.0	0.0	15.596847201061689	26.947711818760343	8.675998740432055	12.067828766042128	12.149896562410138	0.0	20.84319913455265	0.0	13.97122832287703	0.0	0.0	0.0	19.11141319286581	13.91880372225097	0.0	0.0	0.0	0.0	0.0	19.219651303194112	7.841254345196745	0.0	0.0	37.36346432689744	0.0	13.903073855517569	13.92561091666932	18.8623374442876	40.705412809924624	0.0	21.475397656645125	0.0	13.640037614619178	57.46222916672884	0.0	14.37739793499222	13.569156938180893	38.09659444301067	679.6091103797671	141.2544017262832
AEROBACTINSYN-PWY	27.0	69.0	36.33	80.33	74.67	80.67	0.0	37.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.33	15.0	24.0	64.33	0.0	0.0	0.0	0.0	0.0	6.67	0.0	0.0	0.0	0.0	130.17884517118037	151.60572337042925	198.33	134.67	109.0	115.44303797468356	42.0	86.67	32.33	55.330000000000005	44.0	0.0	13.0	0.0	10.33	0.0	16.33	45.0	49.00000000000001	61.67	34.67	40.33	48.67	45.0	16.0	44.0	16.33	13.33	39.67	15.0	31.0	67.67	63.67	56.0	35.67	34.33	62.0	17.0	9.67	12.330000000000002	32.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.76679841897233	0.0	0.0	17.5	0.0	0.0	27.541845764854614	11.744403436867572	11.0	11.28830587023687	0.0	18.430379746835445	0.0	10.141986417657046	29.69514720446565	10.029850746268655	19.94798914014788	0.0	5.743589743589744	0.0	13.056994818652848
ALL-CHORISMATE-PWY	2525.911421541864	4667.574409263736	2967.470149661623	5959.891912688421	5774.743299951823	5680.178001856093	1631.9653813586904	2977.3791150601764	1163.6421782209432	605.6511147380614	237.57305349377972	0.0	263.6812201547876	1210.5981023759452	1172.5134443164443	991.9855865799634	1736.6808003928816	1888.4653025791963	2232.681496849429	4750.927180630217	1926.4020615135605	3124.1444858088075	5821.292963923516	2805.540840306828	2520.6342377168	859.3077710496602	390.04810637361726	911.163347286335	1520.4208368966254	242.1460110461136	168.82065476856187	105.18689235269864	29.813386594434192	7559.216484205381	5329.631246431768	5112.907081198342	4708.130388343229	4701.517674757646	3541.595958885317	2256.654187284455	3893.989456892374	2315.060036346737	4345.971941535466	3114.431703347304	124.5614552800326	1734.5541417548395	2080.9438189850785	992.5647418266756	950.2202366070223	3181.4887382855727	6585.10248189939	5938.288798775581	5625.831712931741	5987.629131798474	4888.719859744856	5570.234669792207	6021.109058074595	3117.930250068393	4329.524464834578	3295.078630884648	1868.7246165509844	4977.329413276019	2315.708094337486	3874.24276823578	7656.198885754738	7107.321872998239	6271.487427912995	5164.358271803958	5346.504347113736	6648.118505231519	4768.468734020486	5142.915519125832	4332.206901972787	5944.484127357392	1197.6013201239002	104.66861702960723	131.16064063401038	175.44956173338508	198.54750135757072	219.3905038159879	1951.8854412876408	671.2369036199838	575.2270591003212	331.25179824821805	68.95788592348755	2485.538695294943	638.8044459846858	5587.062368903441	0.0	0.0	0.0	0.0	0.0	0.0	27.597086398392097	323.58028426909675	434.1432440368301	260.4646270441113	0.0	79.46108059708851	115.4214934040029	217.9229678815701	243.4310038156627	152.8682954980982	51.296388353344064	84.7836221632079	159.92368046157458	0.0	183.1861705858593	258.7363667374882	202.1251018233681	192.05298600199004	92.45215939773765	127.36088980456664	227.60689405813352	137.87591418611547	101.24005502620317	240.0353783716588	107.4026130274022	281.06952704115054	118.11486570156204	131.87863416549925	0.0	73.3503529079651	73.4163621637306	145.46097656554957	1058.1136125657524	1047.574264299459	792.0353350699403	1531.539083080686	538.5494800111132	9954.653514719465	13833.91019805136	11471.621274674935	11157.633206678252	10715.89332542952	10936.117904727682	10771.390968952655	9598.145845983188	4875.082055746215	12018.573713201084	8343.454684899794	9174.182434445378	12578.733637005364	10816.262211528008	11964.6645043395	3590.635519755206	5963.76874467277
ANAEROFRUCAT-PWY	13157.138709780123	25800.953218934097	22010.37145944032	29212.368017008128	29700.7868131012	24853.177256877647	13628.357066040704	23575.79701247385	9019.046215670256	8224.318260427808	29744.206616672145	14546.68781055676	16607.827693364015	12323.233016515327	10502.48624802409	11131.36764315518	12654.147609041933	11559.846525922256	14290.067105467637	22492.12397872932	16403.649420449274	23514.95890307285	29182.574278086464	20151.48501231104	18504.939063101	10551.199384041807	6865.895506981447	7460.738123321745	14557.09377963716	9094.728702799524	6346.659020193041	30461.72178436617	23129.81976364032	12911.307264984776	23679.9002134991	19117.21197996898	17431.62219665345	17335.08763043619	19520.352714943	15774.078006694368	20419.801922915314	19068.76886199075	20596.28595558261	18924.251426087343	29691.572101516656	18637.65397361215	24966.825175937	17827.791539691363	25619.02852745438	34995.06439441592	34569.90458443267	34636.314369873464	30640.83389933975	29937.162985117287	26305.27558643364	28983.959431056934	29061.28453601971	30613.155139761097	28480.566030729035	32916.36318047119	15629.47737821186	30082.577771071858	27401.677209677982	30594.384467702657	27294.86752976495	30267.57410363818	30648.362020183133	27452.605116548217	26603.49578708139	29261.53995298578	27318.74915397596	36034.817929252335	28673.26355757144	31706.56719718032	29137.263153816926	29190.270883967103	33121.81477822344	33135.16569633075	27181.539302269703	31526.14975028604	26534.54388694257	22891.026078588187	24922.85536722612	28536.37786648487	20040.04155643035	22406.824790771847	23151.6005898964	21396.1118842881	36659.58577978445	29936.084277223345	29472.08844039045	29919.723937914296	24704.811913935508	30250.491229791467	28068.18456075651	31162.608954808784	33664.79292886234	24865.50388302122	27938.25875804521	27428.38560879282	31084.94717084719	30948.40131740304	30556.88194992911	33301.41504865997	40919.73920565608	29635.99924035133	29782.21058048958	28073.237082564807	34974.16293593937	33197.22938932131	32247.413453862875	30078.98139715228	30400.42747866868	33792.107063094874	39205.18510208994	30180.73626645544	35831.59443120746	32997.669794306465	31776.759084012418	29925.04963883597	34212.89432818384	32443.169956082627	27176.104217524706	16688.046272399457	42059.3695688727	34089.203639964486	19378.76447922363	26810.623081131907	26613.48766272321	15408.04531021592	11604.161465271816	53229.97377492575	60942.16592693741	52229.520350864565	54954.69989000636	50471.97934575429	64880.80405067607	64796.03155998315	59381.85275147593	30669.106702834182	54730.24903135643	51978.31408682427	55495.685201392334	57475.47537377538	50303.74667011856	54523.689596474105	29200.714172182947	43320.36543180824
ANAGLYCOLYSIS-PWY	15484.996526449362	31309.127696088726	33989.551183267184	33572.15455620594	34605.847510843705	26748.06617619101	37536.569953754864	38974.03626727124	31172.33531078065	36400.12532670808	50603.16554335859	42529.55555297382	45761.56280377519	31972.05949124427	34650.15682605125	37711.258794590096	32414.640494740383	26583.426081240268	28412.493447034525	25395.871147505823	38914.779016964414	37384.78501334744	34621.52519363173	33119.370054667255	35268.25294615148	39327.65793986131	38700.38004924747	9433.70485933478	37342.59500021624	36775.5974809403	41975.83864501663	35317.759403846096	26292.51357046021	14645.118103206689	26691.240591239257	20028.83930393723	17880.541278823555	18098.678643766023	24547.354817252584	21377.379817017685	23673.11338637838	21991.328311798505	22638.58594954492	26076.403187538504	35583.26333045396	22592.679290073385	30548.045669534284	25141.88783290261	31767.00530053964	40098.28828228737	38258.745202959086	39712.11698202749	35346.423098612686	32989.3674903994	28905.50904678361	32624.1366252216	31504.24533740385	39356.40692398641	39304.92001681666	43632.62202219896	32350.119414564764	35865.470953120384	34484.7173798919	39195.77719393953	28278.855639357724	32740.88485107293	33731.23021304366	30360.842583015343	29350.21667861126	31705.29794210308	31574.09193725062	41770.16222788976	34337.02639168107	35765.25500240758	36703.36450200241	33974.04349686071	40900.87055107258	41201.71048848213	36989.920960738586	41559.08608278132	30957.884075689024	25899.9300373305	28486.33421298595	32147.11753956761	23694.96654321726	24997.977450286595	26700.367091868942	22460.093531366285	41632.77425747897	34468.99975310042	34421.5929906606	37207.83324145526	28488.35314278929	34141.902972092	32721.72031676447	40213.63784521023	39803.009351304	35675.45698094127	37614.79915116585	33495.1138443602	42617.51201242021	38429.86929276957	43660.852423935576	46359.83027476721	46328.47934157871	38043.00466773705	37767.00266067233	31618.055780199367	43094.9865767684	41590.15080068914	45345.840363785625	38043.15948912005	37127.14402746496	47998.62312832068	48495.72886208099	44507.61574666938	40078.26024764304	37137.0023984713	34524.06824414616	39674.56728595404	37696.592101746246	38887.54733443399	35147.735504271164	24033.22292792168	48066.01780320316	43811.79264569786	90331.00123835725	81667.5977054151	88220.619278773	85500.03719814935	77811.36515654273	64986.78122804152	66865.1514468354	58092.84037695342	63119.59809479663	57024.29928016033	84361.7958314402	85932.51888224194	79265.7276197265	41361.86619547039	61040.411601958345	76796.80970614904	73406.66085143834	63971.26338789021	56752.99026887264	60722.36337731016	79724.80127757894	73226.18503729261
ARG+POLYAMINE-SYN	3089.145806493705	5635.889843417105	3801.024158983542	7352.0653384275	7166.153138503109	7173.838181035392	2003.3094840482115	3605.852917347546	989.599761008909	566.9772788170603	4111.567240970382	977.0065814085776	550.9958654087432	1398.1841001849389	1148.4801148667104	954.3188458634208	1685.08461841641	1724.8577025051602	1421.8061837075195	5768.143572656212	2249.949103742832	4336.000454477528	7479.510651021185	4982.555240484757	3178.4917070507217	759.5462772599313	185.9883111697173	1024.086735971876	1329.3901901567976	221.12811396638395	100.59366522439088	2302.7999044009507	1695.9674331762994	7513.757853170155	6505.1429100073165	6165.338405450156	5401.3439847274485	5420.24850158036	4198.283702130151	2938.0830719032188	5090.556581513568	2523.949662658311	4576.56132336903	3650.170284496987	4244.099877646239	4285.205773465334	5633.267480374996	1716.0894097333514	3734.7378672001687	7633.786005817587	8134.26437976508	9000.669095416219	8186.061401011469	7450.391697013869	7498.925505920238	7833.60171622858	8242.064783823735	6603.400340237466	5185.84688050459	3987.539381193827	1455.594865367994	5319.885352421977	3178.096213623312	4993.881326255966	8833.517101259991	8792.919992024186	7914.579980999445	6969.584874029096	6689.815050050081	8362.416422513921	7932.057404430749	7589.085688507232	7259.844928025092	8814.150431505523	6224.899522014884	8096.094790289583	7125.691642133503	5048.402179177586	4955.233151305603	7508.603252716573	3095.1824542122467	1610.0981151244573	1541.4931678289636	2357.0353601382512	2333.3167512639984	4110.053610134477	1996.742166304445	4845.01418555552	4890.083366314381	198.35797808338287	2575.4689499989463	3805.665006865527	1840.692683842596	1562.271419098701	2295.4132023551847	5707.187777788746	7034.841822048547	3169.1659357760336	3291.954069967633	3258.1806243822184	3530.662749708338	7177.459606852023	7083.235823633642	8291.164148263075	11180.94793835491	9669.0301573608	6507.496533467916	3990.19300340178	5185.264353313254	4203.559564091906	8720.314241078197	3930.02087597214	4285.506877195472	4800.789440288361	11440.946980733002	7894.343283630412	9142.655446353914	6854.82413510444	3906.2982125401672	4848.208922210866	7045.091474231792	4658.175776501359	5650.719522575395	2797.796022206707	6840.613315985943	5643.273390844194	394.6467777763122	373.32440990789735	419.39636626582586	1320.779422644469	169.34843152843487	11661.817749193067	15828.41750892226	13220.731761036095	13119.952363992606	12493.217273668732	13268.132426473014	13205.83306625053	11584.162325382174	5928.078888010623	14277.10166682768	9408.135551079296	11109.095977806785	15089.279034181052	12866.537662245828	14286.876070355956	3785.079906823871	7202.893708535286
ARGDEG-PWY	2360.6688280855114	4307.224522703928	2732.721579805435	5614.028431366198	5455.149431656258	5257.9370370978495	1146.2423365759064	2695.087284084305	673.1821623340279	290.3033388649833	50.30643363628717	0.0	47.543072678531445	631.3307426715487	590.7756306541545	427.6602271619635	940.0379471755148	1151.3343748087225	828.1927824889696	4704.870737465421	1502.357435869688	2289.463908458108	4794.2142586237	2372.3730663368547	1659.777149875853	449.86159763428105	88.40823628015504	243.9384583186045	850.6048180341145	46.94726365682812	29.34644087068272	16.08184085395876	6.3625654688863085	4546.995807848429	4247.859033696112	4306.767336683419	4342.68683178431	4024.759574143409	2657.935459007197	1486.6641837359882	2444.1516983675187	1010.3244208353128	2387.394820110504	2091.710033744864	20.31304976175489	812.1775376631955	793.1242451949842	330.49460045436183	335.82706730581435	1511.9895735345017	3689.918201327844	4248.351784041759	4629.081867591804	3290.651562016379	3221.091182530634	3771.204519942231	3769.742813795288	1462.9645859205443	3669.685364217544	1870.5427232902853	968.2290829748218	3589.300304599434	1388.859481697229	2592.4859500623934	4851.136032550718	5563.106151731306	4208.261607914782	2897.54378388503	3466.759698608661	4100.052402187092	3001.593938583667	2825.0458486653174	2524.9250874337567	3936.1639873107047	347.12909595569795	10.202534226436317	0.0	14.302794101173866	17.622563446025183	15.864440169595508	737.051406209119	243.9427790114715	212.8862321618249	104.6795550149664	21.834253873751155	1250.112692905944	244.6472376126312	3051.1395948299664	0.0	0.0	0.0	0.0	0.0	0.0	8.726570980014067	28.97326010005056	44.52929470723048	18.04394850464494	0.0	0.0	16.87507250489208	46.88886101259905	97.38963659022068	25.90412521861244	5.745353687830913	21.54132742010507	36.6020282382995	0.0	35.33188133035022	44.43679630317877	36.15888752911905	38.53450938233369	14.56126643945218	23.297335382973166	36.64110443441081	26.46626744607144	13.342206583402584	55.38415740177143	7.576171318439124	66.04943195418404	12.792026952250296	11.399669109559236	0.0	5.826401890821467	10.49055112035231	19.806120171975525	67.59266886670963	83.9060883932886	64.58503826640788	623.8607259578472	46.80271490409321	8910.793254676393	12428.01777664332	10404.55680420682	10275.78203705071	9721.621384544676	10101.71767301263	9867.824030967897	8846.614338143363	4543.639492312311	11070.86179291729	6226.202565848949	8398.832276135805	11716.871210448298	9931.558839190911	11120.606045744637	2450.90730938696	5079.129384884227
ARGORNPROST-PWY	94.95531967462028	112.63925690768188	74.21609662403664	207.29943008044995	94.6545471964259	544.4438699852869	211.94907892419124	56.925474963026645	53.92270342533449	98.77728734577022	2813.129055686232	429.71618695349935	641.45441789212	1086.979637128341	1030.1577443544672	1448.482409211955	1242.8775177707512	722.6822227209831	1093.1653556927556	287.8852616493587	1027.8055196521489	1513.7953322550318	422.72876816752097	494.17323759938233	665.8744724533378	316.7871806594248	615.550034497883	2205.5646004639807	643.9875937117139	841.2938379551014	1181.0264585101802	1116.372820884424	702.4046497444532	2390.158780105835	425.39455979049694	125.10228983135904	377.0582852815963	811.8602029780972	299.0569017035811	385.4595578347859	918.457588063956	524.6216589642823	392.3973638077287	90.12278560086187	4324.344671820004	587.0980498241472	4200.058297451871	1331.215933322881	4295.167111953521	1166.8266356083504	575.1958093097217	1039.2758852381269	532.9504111582744	459.46459550150746	275.75785960081635	267.8926623066762	771.0947951258543	484.8857205427077	2028.8324857295177	1241.1017233573343	1473.2708088642448	1315.4142200365986	1047.1267985183429	1528.200426422609	654.6153750016254	927.0617066279276	680.7249670378044	710.3216143237515	246.6572737195276	1015.0774587491176	631.5946582264078	549.3232097209942	778.0683902989224	1106.8466905470473	1591.922703451473	1563.1532357500555	2044.787181634255	1258.8033576662065	1177.743845380104	2179.959502562673	2672.920857993316	1057.4911262711323	1197.836526775901	3434.45412966634	1649.7507149053763	2036.5100190309115	1486.256266051558	5355.992960124817	3013.4116796821195	6193.700927110865	3146.8023183783603	3233.281616113461	1986.456914691578	2573.6904234068	3268.203501124937	3023.1030495663736	3255.342915907582	898.431870845676	1182.190061087079	581.9479665714684	550.4636884562772	1603.9880642421126	802.2148309986401	3059.985609271845	1872.2619156370697	1574.668770086142	1225.066347167401	1703.443026290018	1353.4544407072406	1657.0996162158192	1704.7801753210426	1824.6853427089573	1269.7248434084156	2050.76106900198	3122.643002024916	2196.728262520586	2376.708777307841	1987.1785638055733	3340.2145008965404	1675.3805387337156	2357.950540096472	2711.578796848785	2297.080500755176	882.3330431284543	1885.48314562832	3512.830966428836	4907.168213189142	6885.17187316922	6497.976063010922	1527.21322726886	1069.2225988290006	1331.6688830017713	1304.346040130008	913.391478821204	717.6028690066468	783.4271044898353	890.4734792680335	1157.513290702825	726.4966125411959	228.63097611592377	727.0688677157231	3290.1673853681064	771.5666152898909	790.2276753605224	890.4654428884601	615.2991161669773	1265.8941048171455	1143.1418257234056
ARGSYN-PWY	4451.738393682927	7897.374810993136	6692.845812050653	10500.42969515156	9454.066012221392	9118.562667454307	3913.0028456955	4981.095310440599	2052.0420371405967	2530.166969599701	18393.562358724223	8970.863824548293	9704.25488257654	5998.759269178211	4386.112017588697	5751.066021117679	5262.669749868803	4114.49787533294	5471.257298448173	7890.58560300572	6652.608070822733	10641.238320694472	11305.731969041584	9435.515572889964	8087.700332863788	4199.851506402887	2793.6002814728995	5326.5818687725705	5048.908661853541	4371.936901989341	2094.7869795176707	13162.728469408956	13468.731754077098	10921.629186271934	8735.101741054206	7835.484992437901	6425.756705846255	6581.265133011802	6081.28013817278	5416.307758581925	8144.317278695986	7751.274701843197	9396.713851805229	5155.351493701003	13013.199307048566	12936.569261420544	14056.627756453208	8518.14608154887	11366.34762985889	19567.89658125679	16307.032825669045	16599.609606278897	13231.941765800464	15363.050106032008	13072.124415046252	12924.59388149068	13594.168947469749	15454.450196121235	10000.573612635426	16285.2402316391	4584.187107986237	13402.358186441024	15377.53979168323	14074.182025302543	14825.324100770937	13975.496960198863	14774.556753749908	14739.226242828334	13317.133677650809	14813.340165327423	13344.819993349578	16226.24673775075	14477.276644005096	16074.70638735859	16776.772544798398	17646.27602297737	17718.0923232609	15336.167731507803	14844.658080036035	16584.931155704893	12100.01760231744	9077.98812241735	9988.23402688568	11214.63939269094	11752.424378463764	9740.473964663	10282.562809297084	9422.805075815424	17170.59966111611	13727.402690793228	15861.465562989322	17059.91602925745	12443.49477407182	11311.546218905118	15504.610337976525	18215.399117967707	19825.15282557206	14142.683929400677	14197.55155241413	15017.390444864526	16242.25380659333	17167.22597980753	15369.344207367483	36494.140514961866	30438.51501011862	18709.24171867454	15577.226504489869	14084.914802101315	18310.23209622174	16693.18010206541	17829.754850221078	15443.73866703152	16029.392402701482	18368.63473042493	36471.02126864073	35509.092449138094	28575.30752078948	26534.389451674942	15642.498255420174	16710.465248706383	25175.924058769546	20392.016631498544	15474.256192368071	10176.04917260464	29365.88770945396	19900.320803638497	8066.262122423594	10294.336507081558	9907.20271614165	6179.954140141703	5491.867866226907	16132.922186327103	20616.311085014782	17025.63915031596	17068.548461959446	16509.372240318517	18963.926506121985	19746.89876089537	16179.967645715433	8329.44342696619	19295.956627725045	17655.666364673027	15969.042120444296	20210.00963786499	17671.577370575138	19279.922919577988	10819.111902969868	13355.13259710589
