function	055A	056A	068A	071A	077A	078A	091A	092A	098A	099A	100A	101A	217A	218A	219A	220A	223A	224A	225A	241A	242A	243A	244A	245A	246A	248A
EC:1.1.1.1	50168.54	56476.89000000001	107684.77	111186.6	88769.19	68509.52999999998	55080.8	78353.02	54473.62	74294.58	69233.72	71769.15000000001	18682.47	35895.94	25472.75	37216.64	47286.630000000005	19587.18	32809.04	34617.58	21585.42	32360.39	27249.81	29600.25	27423.72	21506.29
EC:1.1.1.100	38527.81	49117.16	99913.97	103682.97	86719.29	57142.38	52779.71	64816.04	50079.59	64595.52	67923.06	59800.01	35799.95	78203.31999999999	26615.99	78995.70999999999	55804.25	52678.15	55812.130000000005	60736.85	66504.93	66993.73	59444.64	42662.51	34386.69	67873.5
EC:1.1.1.102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.103	5161.0	4937.17	33.0	28.75	19.25	49.67	4234.83	3785.08	5036.14	5130.42	5508.6	5845.530000000001	1187.33	1753.66	4117.17	2404.92	1542.17	1987.58	2740.84	1912.42	2215.83	2684.84	3275.42	970.08	2478.25	2336.42
EC:1.1.1.105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	4.5	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.108	2717.5	3772.5	5646.5	4746.0	444.0	971.0	2077.5	5054.0	6990.5	7406.0	9121.5	5834.0	830.0	1167.0	574.0	2141.0	1221.0	242.0	1337.0	1403.0	688.0	1116.0	167.0	815.0	1286.5	696.0
EC:1.1.1.11	0.0	0.0	4.0	3.0	0.0	2.67	0.0	0.0	308.72	145.0	219.85	207.86	40.08	44.83	8.75	0.0	0.0	0.0	5.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.122	0.0	0.0	20.0	9.0	11.0	39.0	2.0	0.0	6.0	0.0	0.0	0.0	74.0	21.5	24.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0
EC:1.1.1.125	5161.0	4928.67	31.0	28.75	19.25	52.34	3906.83	3712.58	5309.36	5275.42	5728.45	6046.389999999999	452.33	1941.16	4166.92	2030.17	1542.17	1975.08	2292.51	1303.42	2148.83	1470.67	406.17	941.58	1434.75	1128.42
EC:1.1.1.130	5134.5	4936.67	22.67	22.42	24.42	1036.0	3878.16	3702.41	4660.84	4948.84	5250.17	5592.67	528.15	1695.79	4117.25	2034.6	1758.6	2041.25	2400.34	1446.2600000000002	2068.83	1493.0700000000002	521.84	911.75	1507.08	1286.92
EC:1.1.1.132	0.0	0.0	117.0	163.0	46.0	193.0	64.0	15.0	45.0	6.0	13.0	17.0	6.0	43.0	8.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	2.5	0.0
EC:1.1.1.133	1617.27	3110.94	7582.2	9195.2	11311.1	3114.51	7740.74	4564.85	1004.89	820.8599999999999	3332.59	1105.03	10410.54	26109.82	6269.83	24024.69	11392.96	26459.38	15080.89	16068.02	35669.09	19647.7	32494.08	10788.75	9536.68	36864.98
EC:1.1.1.136	0.0	8.5	0.0	0.0	0.0	0.0	330.0	72.5	35.5	0.0	15.0	0.0	429.5	51.5	25.0	357.5	0.0	0.0	457.0	739.33	110.17	1361.83	479.5	104.83	1066.67	1119.33
EC:1.1.1.137	0.0	0.0	11.0	21.33	0.0	0.0	260.0	0.0	9.0	0.0	0.0	0.0	35.400000000000006	88.4	11.4	6.2	2.6	1.0	12.8	0.0	2.0	0.0	0.0	3.4	0.0	2.6
EC:1.1.1.14	2717.5	6132.5	5512.5	4582.0	7395.67	874.67	9284.0	6592.0	7524.719999999999	7722.33	10952.02	6306.360000000001	11272.48	23713.55	4078.33	24085.1	8816.1	3255.5	14764.83	17989.66	5895.5	28373.39	10841.0	10780.66	11245.17	12286.66
EC:1.1.1.140	11220.27	10395.78	6440.0	8337.83	2896.76	2454.0	10473.9	11170.51	10481.2	10711.29	12203.85	12192.73	536.45	3126.01	10254.61	4323.34	5089.2	4949.63	8496.41	4425.04	4838.0	4169.66	930.74	2617.36	3676.3	2739.5
EC:1.1.1.144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.157	5226.0	7305.34	162.0	223.75	7383.42	415.17	9250.66	6742.91	5147.56	5351.67	7002.52	6157.700000000001	13109.07	28010.83	9547.42	24785.34	11166.34	5869.74	11473.01	14174.75	5897.16	21433.660000000003	9373.18	13498.57	4373.67	6382.75
EC:1.1.1.159	5018.0	4939.0	9.0	19.75	58.25	10.0	4875.0	3689.75	4603.0	4844.0	5153.0	5492.0	2029.65	15098.3	4030.75	14362.1	2233.1	2337.25	6913.5	9658.75	2841.5	11037.9	4299.5	3689.75	3882.25	4621.75
EC:1.1.1.163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.169	12959.04	15320.55	24993.7	26628.28	7890.27	6878.02	17159.309999999998	20302.28	20672.42	21313.82	27742.6	19259.59	8806.3	24699.19	11543.46	24898.42	11495.89	16374.52	18915.63	19008.07	23091.51	19951.23	15817.22	11877.64	9331.64	26766.57
EC:1.1.1.17	13724.27	15226.61	32491.370000000003	34352.95	23326.68	20283.67	15313.9	21163.76	15725.48	21178.79	20094.67	20185.2	943.03	2719.01	6476.4400000000005	4523.59	9734.03	4811.55	7749.57	6911.040000000001	5114.17	4713.74	3951.82	4881.780000000001	6082.05	3857.08
