pathway	055B	056B	068B	071B	077B	078B	091B	092B	093B	094B	098B	099B	100B	101B	217B	218B	219B	220B	223B	224B	225B	241B	242B	243B	244B	245B	246B	248B
1CMET2-PWY	6350.072961220255	12628.558522926252	11873.562019047517	13439.405390751372	6189.651573220368	7159.199786911433	12843.516145955866	16264.827302569744	12721.00552079494	10261.487662129108	4686.199220643153	10202.569462744394	3082.4596470888946	2995.7736138433	6268.187304644156	9374.243953435887	7981.653004795186	14628.26412317554	14413.209068348182	11209.56179450998	12662.787230902284	7728.844981308515	9518.583387673145	11010.90166781709	13194.741353602842	7055.988206678407	10344.105296486305	12932.485956627688
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	2569.698148266952	2684.1519407538835	3773.9779701390185	1438.1497201871389	2020.1490111518287	3075.669092986994	1148.515624400333	1748.441985927039	1602.546838202266	1353.6240094740765	977.6123917556208	431.7306790636145	627.0116904341628	846.2013092533759	511.1181176114682	526.2423405618871	270.9086866689153	510.6626982451703	679.7473776655736	952.0534221457152	936.602970927432	768.1911665150184	984.7122941791762	1061.790838536581	938.4726450594704	788.1789660699575	903.8102279208798	961.9977774178278
AEROBACTINSYN-PWY	0.0	119.0	0.0	0.0	0.0	0.0	47.67006109979633	0.0	0.0	0.0	0.0	71.67	0.0	0.0	2.6320974850920407	0.0	0.0	0.0	0.0	0.0	15.594731509625127	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALL-CHORISMATE-PWY	1435.5954559517415	10488.060908142976	1201.2319654646458	253.2453096365712	645.8995718299199	579.5689507139439	8123.699703520547	3720.214241672471	1166.7118883087344	1066.9824314676923	1409.5964579846036	10429.33593584309	120.45265903462796	1226.8285176043037	1848.3568009726853	2673.8755409661203	7182.858789042893	3888.514718067171	4160.540997652706	3498.2936234743383	4132.365307017255	3470.311365110465	2992.3567236052863	3354.311089666566	3536.80577543433	4676.28805097472	3457.002814649454	3443.1605572837284
ANAEROFRUCAT-PWY	5181.2253746678025	13160.876158144243	14706.334575903267	25166.25522336815	5697.222121695064	6815.765774626458	18233.05027759552	51635.79531745928	24985.80979761476	18049.0239416812	24053.47413758132	23961.68913650853	25212.956038021533	5443.281157750228	6459.891667891407	15097.80687507572	13407.640255702345	16100.582283429523	15878.782906478937	14916.647697556911	16087.310988901289	10913.4466694014	10707.571183146412	11016.747745549004	16931.76169046935	10245.093008713426	10439.599839332735	16014.874675066982
ANAGLYCOLYSIS-PWY	6259.505980367755	14779.25076709055	15158.05868692692	27085.722359707084	6553.139056625076	7962.517593697911	17962.682334643676	53447.47044173924	25747.883188876203	18865.64010159584	24442.010021817667	23435.875771669653	25338.022966660174	5585.407156918167	7525.671724141552	15278.031755805408	13465.14841723042	18463.532423422297	18182.15260428989	15160.620441512812	16782.69221249883	11089.034697871448	11718.35373787762	13514.421208040496	17627.128772382584	10219.50067602965	12564.763504112212	16747.951489733987
ARG+POLYAMINE-SYN	1635.3129257633375	9237.958894297028	1780.2580752630251	3091.439674582067	950.02274194664	841.345290699219	6233.265133593272	2086.548822478629	2297.2357565107254	1245.8332887157649	1057.3455245075731	7622.701268648961	613.4213772090267	891.7293454084707	2396.119773444527	2767.186013042752	5527.7590803830535	5776.93345374047	5571.030774299857	3402.6276546423737	4695.777521938368	2761.916827510286	3450.0682063911427	4294.104904567309	4678.880849908715	3564.160519193956	3786.165415525034	4342.703399940715
ARGDEG-PWY	263.216850022875	8149.071741729748	117.8709629065924	25.42937710328666	64.2693967758214	71.19002738667112	3877.7308946616986	570.2656646407781	50.589251491712176	239.34598460931252	320.8364034262413	5618.625170604751	18.14435773327284	252.7781789347721	227.47839857128605	273.20945063941554	3781.410508879365	513.9504829580522	542.5355758150704	341.3558609629095	644.1905463042298	918.658157309219	413.8108119360709	507.6109281856393	573.1523482704503	2071.123544006433	591.7643987191323	516.2216242575487
ARGORNPROST-PWY	4163.106596488304	5998.150366897706	14259.491529360886	9507.148518870066	3168.020250221429	4647.260625518307	8452.51498317817	24240.85150341589	7751.801054528507	8806.625531847547	3859.683062358355	1449.8771893048158	2908.38819842904	2478.856519867872	1891.8842238538475	3535.064661640442	3654.6772938250624	4036.065552513449	4123.323556112807	4118.053504899148	6312.533338170506	5822.663688707481	3441.6326065304816	3258.443211364716	5509.155616353703	4004.154553225748	3231.152741054709	5047.12767184754
ARGSYN-PWY	6372.208829877513	12778.134809604113	8704.839921956504	15826.713558725873	5884.722459732809	7719.182955513064	14070.62506525527	30614.860315326525	18781.19186776155	14315.20377158071	13881.93892510222	16240.16692719852	10840.501036586487	4573.014061639943	5898.715723029061	12046.075363060929	10401.132676702611	14459.742963566525	13663.887130007302	12822.566527710653	13303.366394924034	7525.835076339955	9469.195572890932	10333.630205415891	14015.11292439334	8039.893932330112	9750.85987993637	13503.5863035703
ARGSYNBSUB-PWY	6752.839039458356	13395.084207014475	9331.966415244262	18091.17531044722	6221.774032382633	8246.380178349338	14972.883736070718	46039.57341600712	24531.49863118413	17844.94644964503	23854.84004789912	20403.87593513806	23796.09556300313	5076.332441730364	6110.650551118278	13575.126299195368	11492.708749403188	14937.979687354977	13969.4199817444	13547.140483168148	13838.823971198924	7802.180336943983	9849.414427818896	10830.193827626415	14594.830646560791	8485.904069200142	10103.561768479974	14065.416780182564
ARO-PWY	6699.587835169229	14448.215440460435	15495.641769073249	15061.573806121158	5558.3738589599925	7987.396221552432	15171.700260710022	36838.003083142685	22159.170513966565	15881.840497083957	20781.29313459683	18596.271071455416	19683.944031648665	4694.561568132791	7140.538956952786	13416.667437083104	12036.2174564232	17062.115571284296	16313.811594061131	14269.672568047916	15847.837593227374	10403.6205128344	10925.868795146816	12598.198558559296	16170.46092714906	9487.488116389595	11661.409063791823	15436.775690632558
ASPASN-PWY	2418.6858367294376	8065.762013446638	3072.140595857487	5774.516700986033	1865.1774406323325	2239.289567290132	5919.446240119904	5085.84293385143	2601.478626835366	2724.230813672385	1101.5075577879331	5673.893653735397	1070.1146391669542	1113.5143656334014	5076.503692055551	5301.931428682987	5255.761430235671	11768.40248149066	11881.8698827576	7096.2097929192805	8975.450086734394	4966.811595366341	6701.568543998902	8490.735546941996	9001.371858721124	4584.82722207444	7624.722975339361	8774.857633794758
AST-PWY	2134.40872247836	7640.125476149675	3073.644051985982	1127.976160910414	1556.9008909407753	2439.31905699527	3054.857085207592	1626.0554783244902	1248.6154183160963	1154.5197573293317	950.5488888849716	4044.557703668637	514.5280489481645	812.9088691207619	538.175887426366	579.9987016788274	2805.891535035904	859.8921049042093	999.830256225351	985.7580237729848	1193.531236883793	1083.416813892796	1096.709784428875	1258.2141042399385	1167.398567275358	1967.1770805739443	1065.0214286635448	1144.9516971481091
BIOTIN-BIOSYNTHESIS-PWY	4317.036730451663	12333.819020554076	6217.106294200246	2931.334226229143	3392.660502960956	4824.281929078841	7516.0986836937955	6033.652278689187	3788.226597141292	3331.6145344945985	2448.7067216696	8061.486473809468	1325.7232329611716	1764.386233526727	4218.962724154518	4922.788419420148	6827.073335858106	9275.951673561727	9021.799719440727	6832.23596123572	7968.0837687889025	5101.132690656636	6445.58469712019	8077.128743919154	8461.494337276006	5651.363896663729	6923.526570456756	8009.035290757346
BRANCHED-CHAIN-AA-SYN-PWY	8378.935362957925	16039.234689126675	12801.415349717156	19734.27936495612	7680.200681095433	9801.992372458682	17666.853857229744	47765.12177515533	28766.837611234583	19371.94990228113	26556.886965132817	23295.16998232833	26235.973922380563	5806.748908729202	7320.732510747491	15809.993922705962	13586.736031071094	18603.19953653002	17625.2439949745	16300.120010245078	17004.252265818177	9830.986342679742	11980.99874284051	13512.142873173716	17656.796518710613	10284.756420760032	12505.906660980463	16897.894027048664
CALVIN-PWY	6842.412110527297	16582.828236134104	20018.063611321795	22835.956871226783	6502.279569137399	7994.535285834633	19326.57165738858	46787.6528683475	24836.85077957288	18438.73161295344	22318.97125229768	22133.174013264208	22327.42581886932	5112.608889096353	7633.126176265098	14658.659091114194	13879.86576948418	18426.19436891885	18015.92106132305	15149.406383020856	17146.929775549772	12576.01527432547	11490.143551949415	13193.507124359552	17908.77957330047	10679.899793110271	12473.084924294124	16907.73886453121
CATECHOL-ORTHO-CLEAVAGE-PWY	1956.8807864846808	1831.313161443654	2891.694331795489	1215.613572051734	1578.0543254651882	2319.704013724468	899.0757001333685	1355.4953972410442	1270.186979404787	1089.6567950246445	756.7051755281153	222.4000042399113	455.6785460418748	661.5509598835102	523.1011086277537	565.056286632219	269.169870810792	773.6102426507399	919.727302752742	946.8180186339712	1018.6710161095656	644.9246811941085	1064.1432766831365	1170.594291731533	1071.857509880026	730.1177140215176	903.4246831591634	1148.6375018581475
CENTBENZCOA-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CENTFERM-PWY	619.7544946991263	649.6266922945198	375.8422724741894	338.7732998729096	226.9038002622213	359.45104323286074	1021.1583707016254	595.9130161367812	396.1352018461326	325.6247360867149	493.2529997227971	171.00389777200937	134.87185507047548	0.0	2406.117844929768	2983.996467641663	1196.534149685442	5941.386255265977	5674.83548213728	3999.4369013386327	4087.7488453321134	2507.765831443445	3714.8484771713424	4244.990268712522	4542.887040887837	1866.631573188048	4048.286436251502	4795.7034193097925
CHLOROPHYLL-SYN	52.99942244955496	0.0	0.0	56.49827996002757	13.943300622562626	0.0	63.25247660115124	153.61707425172176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.19429009005944	20.428404476753176	29.483167160542468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COA-PWY	5671.310459644848	11899.435575486055	13698.245718452152	23886.563035821942	5850.017681374964	6851.163034658124	15426.688412554517	46111.57463566046	21688.97984598091	16115.074723965814	20395.59396207061	18935.23629447643	21347.553228975543	4764.643748101021	6707.80040023536	13104.126579876913	10906.145701249516	16188.333236750046	15911.827559265308	13291.058351841746	14839.185448526352	9667.771524630092	10426.384992085868	11675.35833409918	15458.144238569324	8606.043184766646	10877.111334216905	14820.724402129195
COBALSYN-PWY	3383.222732644428	8224.647313177336	4650.432895725954	2858.497857392216	2860.615109751302	3621.8016930503377	5062.188184987914	3055.426703850182	2877.2306114545254	2602.50202044088	1269.5707965648087	4282.545993147337	604.581268442592	963.9467218722316	3752.924534282137	3428.655992741445	3654.799997040188	8992.54632497107	9101.507350737133	4938.788854607555	6077.186844095756	3504.478928172417	5201.572348783893	7282.918795408813	6456.849357086348	3320.5820182625816	6416.528446650922	6528.7681556741245
CODH-PWY	17.95241340414532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.9177360491197	0.0	23.98519662277397	0.0	0.0	0.0	137.48771420210056	91.60763807764909	35.910506755497	187.2889712583796	101.34690830997172	212.88691606056332	122.0975666107695	80.22740025337335	82.31759727438913	77.60300266752975	157.1979151455677	39.4597806434768	103.13405361164531	193.4669376274677
COLANSYN-PWY	3990.693061693843	10827.731267314004	6262.574437933929	3407.2665286892848	3302.215752536656	4518.16530076023	7827.448222323615	5427.983967658431	4568.110022759394	3637.5230372232472	2037.7369272960536	7564.8174471984385	1213.779329590446	1612.5387070929569	3637.492147232813	4450.157545217597	5713.9377713146405	8406.224342783205	8702.44387035464	5026.255717054534	6049.677991484503	4109.366814929264	5082.643457963189	7109.896240288189	6743.607660719686	4369.205425313099	6175.985858993839	6240.135953858172
COMPLETE-ARO-PWY	7128.966427364163	15239.797677448923	15589.720793420724	15785.442436451458	5902.376857901983	8514.629930414301	15926.397546203054	38917.42865806136	23555.729289739986	16778.740652993336	22156.865996522585	19730.4698600596	20991.013289697286	5005.396167973688	7439.35779071827	14162.499179150262	12662.209791975723	17828.42512714723	17041.40698183777	15004.78270546389	16500.55492454879	10659.397730314367	11438.259324744398	13201.628048310213	16925.00926724195	9952.42296507522	12197.815755738851	16127.913579315426
CRNFORCAT-PWY	0.0	0.0	0.0	0.0	0.0	124.19696488632556	117.11953320816872	0.0	0.0	0.0	0.0	0.0	0.0	35.65639749790334	85.33110897305784	7.758390993878185	22.97582438378199	20.85958687681682	56.13710586555562	29.613504954534577	5.986313282741435	12.490661368491626	0.0	87.17526845013565	32.607703302536635	34.9885297831915	92.66401700663964	5.241042611083248
DAPLYSINESYN-PWY	6878.463188510132	13673.737422249938	14266.520709459872	12335.02360254425	6655.123295665924	8159.594863060653	13913.815485050516	26345.33744742185	11360.666843675826	10407.673149517452	5866.022035556732	10612.985534749288	4880.918125897501	3856.680212286368	6122.97042838895	8686.107659559284	8098.096592325025	14429.440225749471	13778.53746016606	11356.702324665026	12627.89157271131	7945.304589255057	9469.385960057449	10979.01328059038	13096.534844675984	7599.220076229329	10173.03484831892	12563.147657493197
DENITRIFICATION-PWY	1776.6219363511752	1645.1766753665167	2479.392804469409	914.3438034577392	1359.1906798316882	2051.7414950234784	820.3011733480464	1098.8380223315555	1128.6015681219076	857.0624577402606	649.2428078250864	213.1743008842685	442.9079697342212	583.6419653329858	391.690109421604	545.3485746413537	170.46585219307033	584.3330049802678	725.5024485992006	829.7870327427883	963.58752897168	621.004655421737	819.3506237287818	917.5296874156452	919.2512621994492	590.7228324961853	746.8188547842991	777.6829156733752
