#NAME,Experiment,Tissue type,DOL,Genotype
050A,C,colon,DOL11,Sig Homo 
052A,C,colon,DOL11,Sig Homo 
059A,C,colon,DOL11,Sig Homo
064A,C,colon,DOL11,Sig Homo
065A,C,colon,DOL11,Sig Homo
073A,C,colon,DOL11,Sig WT
074A,C,colon,DOL11,Sig Homo
075A,C,colon,DOL11,Sig WT
076A,C,colon,DOL11,Sig Homo
081A,C,colon,DOL11,Sig WT
083A,C,colon,DOL11,Sig WT
085A,C,colon,DOL11,Sig WT
086A,C,colon,DOL11,Sig Homo
088A,C,colon,DOL11,Sig WT
095A,C,colon,DOL11,Sig Homo
097A,C,colon,DOL11,Sig WT
103A,C,colon,DOL11,Sig Homo
105A,C,colon,DOL11,Sig WT
106A,C,colon,DOL11,Sig WT
107A,C,colon,DOL11,Sig WT
215A,C,colon,DOL11,Sig WT
226A,C,colon,DOL11,Sig WT
227A,C,colon,DOL11,Sig WT
228A,C,colon,DOL11,Sig WT
229A,C,colon,DOL11,Sig Homo
233A,C,colon,DOL11,Sig Homo
234A,C,colon,DOL11,Sig Homo
235A,C,colon,DOL11,Sig WT
237A,C,colon,DOL11,Sig Homo
238A,C,colon,DOL11,Sig Homo
239A,C,colon,DOL11,Sig Homo
