#NAME,Experiment,Tissue type,DOL,Genotype
055A,NEC,colon,DOL11,Sig Homo
056A,NEC,colon,DOL11,Sig Homo
068A,NEC,colon,DOL11,Sig Homo
071A,NEC,colon,DOL11,Sig WT
077A,NEC,colon,DOL11,Sig WT
078A,NEC,colon,DOL11,Sig Homo
091A,NEC,colon,DOL11,Sig WT
092A,NEC,colon,DOL11,Sig Homo
093A,NEC,colon,DOL11,Sig WT
094A,NEC,colon,DOL11,Sig Homo
098A,NEC,colon,DOL11,Sig Homo
099A,NEC,colon,DOL11,Sig Homo
100A,NEC,colon,DOL11,Sig WT
101A,NEC,colon,DOL11,Sig WT
217A,NEC,colon,DOL11,Sig Homo
218A,NEC,colon,DOL11,Sig WT
219A,NEC,colon,DOL11,Sig WT
220A,NEC,colon,DOL11,Sig WT
223A,NEC,colon,DOL11,Sig Homo
224A,NEC,colon,DOL11,Sig WT
225A,NEC,colon,DOL11,Sig Homo
241A,NEC,colon,DOL11,Sig Homo
242A,NEC,colon,DOL11,Sig WT
243A,NEC,colon,DOL11,Sig Homo
244A,NEC,colon,DOL11,Sig Homo
245A,NEC,colon,DOL11,Sig WT
246A,NEC,colon,DOL11,Sig WT
248A,NEC,colon,DOL11,Sig WT
