#NAME,Experiment,Tissue type,DOL,Genotype
050A,C,colon,DOL11,Sig Homo 
052A,C,colon,DOL11,Sig Homo 
059A,C,colon,DOL11,Sig Homo
064A,C,colon,DOL11,Sig Homo
065A,C,colon,DOL11,Sig Homo
074A,C,colon,DOL11,Sig Homo
076A,C,colon,DOL11,Sig Homo
086A,C,colon,DOL11,Sig Homo
095A,C,colon,DOL11,Sig Homo
103A,C,colon,DOL11,Sig Homo
229A,C,colon,DOL11,Sig Homo
233A,C,colon,DOL11,Sig Homo
234A,C,colon,DOL11,Sig Homo
237A,C,colon,DOL11,Sig Homo
238A,C,colon,DOL11,Sig Homo
239A,C,colon,DOL11,Sig Homo
141A,C,colon,DOL14,Sig Homo
142A,C,colon,DOL14,Sig Homo
145A,C,colon,DOL14,Sig Homo
148A,C,colon,DOL14,Sig Homo
149A,C,colon,DOL14,Sig Homo
155A,C,colon,DOL14,Sig Homo
157A,C,colon,DOL14,Sig Homo 
163A,C,colon,DOL14,Sig Homo
165A,C,colon,DOL14,Sig Homo
166A,C,colon,DOL14,Sig Homo 
168A,C,colon,DOL14,Sig Homo 
249A,C,colon,DOL14,Sig Homo
250A,C,colon,DOL14,Sig Homo
252A,C,colon,DOL14,Sig Homo
253A,C,colon,DOL14,Sig Homo
254A,C,colon,DOL14,Sig Homo
256A,C,colon,DOL14,Sig Homo
109A,C,colon,DOL28,Sig Homo
112A,C,colon,DOL28,Sig Homo
113A,C,colon,DOL28,Sig Homo
114A,C,colon,DOL28,Sig Homo 
121A,C,colon,DOL28,Sig Homo
122A,C,colon,DOL28,Sig Homo
126A,C,colon,DOL28,Sig Homo
130A,C,colon,DOL28,Sig Homo
133A,C,colon,DOL28,Sig Homo
138A,C,colon,DOL28,Sig Homo
1,C,colon,DOL8,Sig Homo 
7,C,colon,DOL8,Sig Homo
8,C,colon,DOL8,Sig Homo
13,C,colon,DOL8,Sig Homo
23,C,colon,DOL8,Sig Homo
24,C,colon,DOL8,Sig Homo
30,C,colon,DOL8,Sig Homo
41,C,colon,DOL8,Sig Homo
42,C,colon,DOL8,Sig Homo
47,C,colon,DOL8,Sig Homo
