"","3","14","15","43","48","49","051A","058A","060A","066A","067A","080A","082A","084A","087A","096A","102A","104A","108A","110A","116A","117A","118A","123A","125A","127A","128A","131A","132A","136A","139A","143A","144A","147A","150A","152A","153A","154A","159A","160A","164A","169A","214A","216A","230A","231A","232A","236A","240A","251A","255A","257A","262A","263A"
"Actinobacteria","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  6","  0","  0","  9"," 11","  0","  0","406","285"," 45"," 42"," 26"," 61"," 58"," 22"," 18","174","100"," 85"," 28"," 26"," 27"," 62","  4","  0"," 23","  0"," 21"," 25","106"," 45"," 11"," 49","  0","  0","  0","  0","  0"," 25","  0"," 12","  0","  0"
"Bacteroidetes","  76","  48","  40","  61","  75","  72","   1","   0","   0","   0","   6","  19","  13","   0"," 352","  23","   3","  32","4372","4427","3731","3095","5929","4852","5503","3518","2725","3760","2918","2612","3796","4104","3092","3823","   7","1726","1347","2443","3028","1280","3791","2927","5033"," 621","   2","   0","1579","2871","2227","6294","6082","4870","5849","6118"
"Deferribacteres","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 31"," 11","413","390","  5","  3","  7","210","322"," 16"," 67"," 18","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 11","  0","  0","  0","  0","  0","  3"," 50","  0","  0"," 25"," 25"
"Firmicutes","10613"," 6079"," 6487"," 5963"," 9536"," 8676"," 7107"," 6555"," 5976"," 9224","10302"," 9654","10096"," 8121"," 9534"," 7955","10112"," 6881"," 5948"," 6024"," 6602"," 7353"," 4885"," 5927"," 5300"," 6941"," 7764"," 6829"," 7608"," 8067"," 6252"," 4609"," 5537"," 6291"," 9127"," 8188"," 7841"," 4464"," 5031"," 6428"," 6588"," 7824"," 5859"," 1716"," 7828"," 8780"," 6683"," 7692"," 8263"," 4394"," 4684"," 6025"," 5041"," 4744"
"Patescibacteria"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 0"," 4"," 3"," 2"," 6"," 0","18"," 0","27","37","45"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","41"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 6"," 3"
"Proteobacteria"," 232","4794","4393","4895","1310","2173","3813","4366","4945","1697"," 613","1242"," 812","2800","1026","2932"," 806","4008","  40"," 121","  16","   6","  14","  46","  43","  33","  24","  45","  84","  69"," 845","2148","2257"," 719","1783","1007","1710","4012","2774","3188"," 428"," 123","   7","8491","3091","2141","2595"," 202"," 402"," 158"," 155","  14","   0","  11"
"Tenericutes","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","121"," 53","110"," 32"," 60"," 26"," 10","179"," 68"," 70","107"," 25","  0"," 34","  8"," 26","  0","  0","  0","  2"," 67","  0","  8","  2","  0","  3","  0","  0"," 64","156"," 26","  0","  0","  0","  0"," 20"
"DOL","P8","P8","P8","P8","P8","P8","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P28","P28","P28","P28","P28","P28","P28","P28","P28","P28","P28","P28","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P11","P11","P11","P11","P11","P11","P11","P14","P14","P14","P14","P14"
"sample","3","14","15","43","48","49","051A","058A","060A","066A","067A","080A","082A","084A","087A","096A","102A","104A","108A","110A","116A","117A","118A","123A","125A","127A","128A","131A","132A","136A","139A","143A","144A","147A","150A","152A","153A","154A","159A","160A","164A","169A","214A","216A","230A","231A","232A","236A","240A","251A","255A","257A","262A","263A"
