"","050B","052B","059B","064B","065B","074B","076B","086B","095B","103B","109B","112B","113B","114B","121B","122B","126B","130B","133B","138B","141B","142B","145B","148B","149B","155B","157B","163B","165B","166B","168B","229B","233B","234B","237B","238B","239B","249B","250B","252B","253B","254B","256B"
"Actinobacteria","  0","  0","  0","  0","  0"," 14","  0","  2","  1"," 10"," 67"," 40","163","  1"," 54"," 19"," 31"," 48"," 33"," 77","  6"," 10","  0"," 20","  0","  0","  0","  0","  0","  0","  0","131","109"," 11"," 26"," 47"," 24","  4","  7","  4","  0","  9","  0"
"Bacteroidetes","   0","   0","   1","   0","   0","  17","   4","   3","   5","  16","1669"," 201"," 806","  88","1375"," 663"," 860"," 732","1212"," 336","   3","  10","  20","   8","   8","  23","  37","   5","  74","  14","   6"," 334"," 905"," 141"," 290"," 508","  97"," 291","  62","  46"," 118"," 101","  25"
"Epsilonbacteraeota"," 0"," 0"," 0"," 0"," 0"," 5"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","28","95","13","30","60"," 5"," 0"," 1"," 0"," 6","12"," 3"
"Euglenozoa"," 1"," 1"," 4"," 1"," 1","35"," 5"," 4"," 3","23"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0","32","34","29","32","38","27","26","12","21"," 8"," 8"," 0"," 0"," 0"," 0"," 0"," 0"," 5"," 1"," 0"," 0"," 4"," 0"
"Firmicutes","1315","2220","3261","4143","4055","2264","4259","3397","2551","2308","2718","4219","3490","4372","3027","3780","3567","3685","3215","4040","3680","2294","2799","3749","4239","3218","2604","3762","4222","4377","4356","1218","1995","2978","2692","2230","3646","3523","4137","4255","4107","4039","4074"
"Fusobacteria"," 0"," 0"," 0"," 0"," 0","11"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 8"," 0"," 0"," 0"," 6"," 0"," 0"," 0"," 0"," 2"," 0","13","29"," 0","18","20"," 3"," 4"," 3"," 0"," 0"," 6"," 4"
"Proteobacteria","3150","2245","1200"," 322"," 410","2120"," 198","1059","1906","2109","  12","   6","   7","   4","  10","   4","   8","   1","   6","  13"," 737","2118","1616"," 655"," 175","1198","1799"," 687"," 149","  65","  96","2722","1275","1308","1375","1561"," 677"," 632"," 248"," 161"," 222"," 278"," 360"
"Spirochaetes"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0","20","58","15","35","40","14"," 7"," 7"," 0","13","17"," 0"
"DOL","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P28","P28","P28","P28","P28","P28","P28","P28","P28","P28","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P11","P11","P11","P11","P11","P11","P14","P14","P14","P14","P14","P14"
"sample","050B","052B","059B","064B","065B","074B","076B","086B","095B","103B","109B","112B","113B","114B","121B","122B","126B","130B","133B","138B","141B","142B","145B","148B","149B","155B","157B","163B","165B","166B","168B","229B","233B","234B","237B","238B","239B","249B","250B","252B","253B","254B","256B"
