"","2","11","22","25","40","46","073A","075A","081A","083A","085A","088A","097A","105A","106A","107A","111A","115A","119A","120A","124A","129A","134A","135A","137A","140A","146A","151A","156A","158A","161A","162A","167A","215A","226A","227A","228A","235A","258A","259A","260A","261A"
"Lactobacillus",8676918.44944919,6279655.60025567,5529946.98650224,6867691.84494492,5338572.01940069,5439711.24562921,6443207.88058804,8253938.41410685,8916795.12726999,8710380.87002293,7805391.58551716,6589464.97725307,8398315.5995037,8001278.33966237,8446441.32796932,8635184.41929541,4844907.32037448,5879610.48238523,4021130.20265443,3181937.81253525,4207241.41820506,2353648.90777155,3977140.27897883,4269654.47230891,3119900.74068504,3423694.40162424,3657931.34564049,5293830.13121781,4010602.69955258,3413918.86302967,4811068.91754709,4981764.86069858,4964093.69477761,1921645.29834192,5400233.10899726,4271158.40132346,4414783.62221303,6897018.46072865,1753581.2309659,3455652.89318344,3556416.13715833,2635259.61574614
"Escherichia_Shigella",8271.60958002782,3439485.65627702,4148588.18663759,2943565.06372899,4319284.12978907,4173403.01537767,17295.1836673309,20303.0416964319,0,0,7143.66281911494,1376095.04831372,7519.64507275257,556077.753130052,19551.0771891567,11655.4498627665,0,37598.2253637628,11655.4498627665,0,15415.2723991428,5639.73380456442,4511.78704365154,0,5263.7515509268,2021280.59555589,2766101.44001203,2326202.20325601,2768357.33353386,2190472.60969282,598563.747791104,520359.439034478,6015.71605820205,2631.8757754634,3868857.38993119,4982516.82520585,5400985.07350453,2296123.622965,0,0,0,0
"Muribacter",136105.575816821,46621.7994510659,136105.575816821,23310.899725533,40606.0833928639,81588.1490393653,28950.6335300974,213933.90231981,312817.235026507,257923.825995413,1614091.81486634,189495.055833365,60909.1250892958,538782.569462721,407940.745196827,426739.857878708,0,0,0,0,0,0,0,0,0,0,2631.8757754634,9399.55634094071,0,0,6015.71605820205,18799.1126818814,42861.9769146896,7895.62732639019,64292.9653720344,51509.5687483551,0,127457.983983156,661728.766402226,0,0,0
"Staphylococcus",450802.722111516,16167.236906418,6767.68056547731,2631.8757754634,2255.89352182577,0,9023.57408730308,7143.66281911494,97755.3859457834,144377.185396849,178215.588224236,55645.373538369,13911.3433845922,0,1503.92901455051,0,0,0,0,0,0,0,0,0,0,14287.3256382299,15039.2901455051,5263.7515509268,65796.894386585,20679.0239500696,6015.71605820205,11655.4498627665,0,15415.2723991428,0,0,0,7519.64507275257,628266.345828477,97003.4214385081,92491.6343948566,64292.9653720344
"Streptococcus",601571.605820205,102267.172989435,115802.53412039,122946.196939504,230477.121479866,234988.908523518,910629.018310336,668496.446967703,466593.976764297,393653.419558597,172951.836673309,784298.981088093,322968.755874723,491408.80550438,567357.220739181,640297.777944881,4135.80479001391,1503.92901455051,1879.91126818814,1879.91126818814,0,1879.91126818814,2631.8757754634,1879.91126818814,0,7519.64507275257,45117.8704365154,207166.221754333,66172.8766402226,21055.0062037072,141745.309621386,169943.978644208,58277.2493138324,117306.46313494,438771.289995112,478625.408880701,113922.622852201,647817.423017633,359815.01673121,163928.262586006,328984.471932925,162048.351317818
"Enterococcus",1879.91126818814,2631.8757754634,0,0,3007.85802910103,1503.92901455051,410572.62097229,64668.9476256721,11279.4676091288,92491.6343948566,48125.7284656164,21806.9707109824,22182.9529646201,50005.6397338046,123322.179193142,251156.145429936,0,0,0,0,0,0,0,0,0,0,0,307553.48347558,0,0,44741.8881828778,85347.9715757416,250028.198669023,68052.7879084107,46621.7994510659,14663.3078918675,40606.0833928639,0,752340.489528894,0,7895.62732639019,0
"Pseudomonas",0,0,0,0,0,0,1879.91126818814,4887.76929728917,2631.8757754634,0,9775.53859457834,8647.59183366545,375.982253637628,3759.82253637628,12407.4143700417,5263.7515509268,0,375.982253637628,0,0,1127.94676091288,3007.85802910103,2255.89352182577,0,0,0,2255.89352182577,0,1879.91126818814,1503.92901455051,0,0,6015.71605820205,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_NK4A136_group",9775.53859457834,10151.520848216,5639.73380456442,5639.73380456442,6015.71605820205,9023.57408730308,5263.7515509268,15415.2723991428,25942.7755009964,17671.1659209685,0,73316.5394593375,119186.374403128,109410.83580855,113170.658344926,5263.7515509268,324472.684889273,433883.520697823,448546.828589691,280106.778960033,164680.227093281,1643418.43065007,1029815.39271346,306425.536714667,1424972.74128661,22558.9352182577,43613.9414219649,677144.038801369,21055.0062037072,4511.78704365154,40982.0656465015,298529.909388277,5639.73380456442,1400157.91254653,4887.76929728917,58277.2493138324,0,0,2255.89352182577,44365.9059292401,30830.5447982855,498928.450577133
"Muribaculaceae",67300.8234011355,61661.089596571,25566.7932473587,20303.0416964319,32334.473812836,24438.8464864458,718502.086701508,60157.1605820205,4135.80479001391,2255.89352182577,3759.82253637628,131593.78877317,284994.548257322,36470.2786028499,61661.089596571,0,3031544.9110802,1819754.10760612,3320299.2818739,3917735.08290409,3805316.38906644,1758844.98251683,1598300.56021356,2415685.97962176,2146858.66827086,1700567.73320299,703838.77880964,486521.036207091,1333985.03590631,1940444.4110238,192502.913862466,1076061.20991089,1580253.41203895,3187577.54633981,0,0,0,0,0,1259540.54968605,2656690.60420348,2366056.32214159
"Lachnospiraceae",3383.84028273865,1127.94676091288,3759.82253637628,0,1127.94676091288,1879.91126818814,616610.89596571,371470.466593977,122570.214685867,113170.658344926,32334.473812836,227469.263450765,231229.085987141,0,4887.76929728917,0,226341.316689852,427867.804639621,415460.390269579,385757.792232207,258299.808249051,1306162.34913712,480505.320148889,321464.826860172,514719.705229913,720757.980223333,1136218.37049291,21055.0062037072,955746.888746851,899349.550701207,751588.525021619,791818.626160845,1306914.3136444,324472.684889273,71060.6459375117,132345.753280445,28574.6512764598,10151.520848216,375.982253637628,759108.170094372,407188.780689551,146257.096665037
