"","2","11","22","25","40","46","073A","075A","081A","083A","085A","088A","097A","105A","106A","107A","111A","115A","119A","120A","124A","129A","134A","135A","137A","140A","146A","151A","156A","158A","161A","162A","167A","215A","226A","227A","228A","235A","258A","259A","260A","261A"
"Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus",68214,50388,41778,64370,43122,40495,32957,36773,29645,26813,23477,27301,27180,31887,30881,37252,21215,24721,17623,13002,21067,8984,15211,15869,15548,15797,13323,21933,17317,12835,18420,17459,21877,5572,18609,12316,11700,20576,4945,11697,15395,8047
"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia/Shigella",119,27599,31022,27650,35024,31345,80,76,0,0,19,5689,22,2189,76,50,0,165,64,0,60,20,17,0,18,9289,9780,9661,11842,8403,2286,1801,22,11,13641,14347,14396,6716,0,0,0,0
"Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Muribacter",1060,341,975,234,326,552,161,951,971,823,4743,744,192,2168,1487,1880,0,0,0,0,0,0,0,0,0,0,13,45,0,0,28,69,188,23,225,160,0,420,1915,0,0,0
"Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus",3455,115,42,29,24,0,52,29,313,399,578,237,50,0,13,0,0,0,0,0,0,0,0,0,0,73,55,32,265,68,24,30,0,55,0,0,0,23,1741,318,423,215
"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Candidatus_Arthromitus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765,2759,1089,0,67,0,0,726,1076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus",4631,827,810,1107,1877,1745,4598,2976,1512,1262,537,3257,1057,1895,2100,2689,15,8,11,8,0,4,7,13,0,41,175,890,270,81,549,566,251,358,1531,1425,288,1907,1020,536,1448,520
"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Klebsiella",0,0,0,0,0,50,0,0,2993,4767,4222,0,7755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7412,7048,0,0,0,0,0,0,0,0,0,0
"Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus",20,14,0,6,15,11,2152,305,47,314,121,98,57,208,440,1094,0,0,0,0,0,0,0,0,0,0,0,1267,0,0,163,270,1084,184,141,54,125,0,2155,0,30,0
"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas",3,0,0,0,0,0,12,22,7,0,35,40,9,18,37,17,0,6,0,0,7,8,8,0,0,0,9,0,8,3,0,0,20,0,0,0,0,0,0,0,0,0
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group",81,77,48,48,58,71,18,78,73,49,0,331,421,456,426,17,1491,1839,1971,1207,812,6379,3940,1201,7353,91,171,2750,82,29,154,1001,44,4194,19,173,0,0,13,144,155,1512
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA",463,474,182,184,283,183,3678,291,10,4,9,544,954,156,228,0,13306,7692,14926,16393,18867,6647,5876,8997,10842,7951,2487,1946,5766,7267,791,3676,7118,9536,0,0,0,0,0,4354,11285,7268
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA",35,11,13,0,23,19,3198,1602,403,375,82,931,765,0,20,0,1079,1792,1872,1604,1325,5035,1867,1136,2491,3293,4132,105,4114,3434,2915,2638,5727,957,255,373,84,34,2,2555,1779,409
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides",66,49,57,30,48,67,0,0,0,0,0,0,483,0,0,0,2526,90,434,391,465,33,0,438,405,1061,121,911,6,424,1756,10,0,5291,62,23,0,41,7055,5529,2027,5299
"Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Rodentibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,1518,860,305,4047,6214,253,186,110
"Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Turicibacter",0,0,0,0,11,0,0,0,0,10,30,0,0,0,0,0,21,0,38,2035,567,0,1612,237,27,7,28,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides",0,0,0,0,0,0,35,2,0,0,0,0,0,75,0,0,56,28,130,114,165,0,0,5,0,4661,3719,429,0,0,3480,0,4,19,14,0,0,0,9170,1978,956,1633
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Phyllobacterium",95,82,55,44,41,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinifilaceae;Odoribacter",0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,467,639,497,633,857,468,461,612,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1076,1397,784
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenellaceae_RC9_gut_group",49,54,43,24,32,35,608,0,14,56,0,242,569,0,4,0,0,0,0,0,0,0,416,763,883,0,0,0,1211,1782,5820,3554,4714,914,0,0,0,0,52,722,2224,1328
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae_UCG-001",56,46,27,37,33,47,0,0,0,0,0,0,0,0,0,0,0,957,1569,2350,1238,469,280,1104,1031,0,0,0,64,94,30,29,12,73,0,0,0,0,0,200,408,421
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium",17,0,6,0,0,5,29,84,0,0,0,172,129,0,33,0,465,289,387,302,240,848,291,207,579,80,112,96,15,7,76,141,229,148,46,0,0,0,0,542,258,141
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum",0,0,8,0,0,0,0,0,0,492,0,1415,95,636,33,6,181,0,0,0,0,0,257,70,22,405,519,0,202,46,43,1415,1220,18,0,0,0,0,0,0,140,0
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes",74,47,37,9,23,48,0,0,0,0,0,0,11,0,13,0,735,884,2344,1280,1040,2057,820,1365,2273,975,161,48,72,827,146,480,161,0,8,8,0,0,0,870,1994,1278
"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus",10,9,4,12,5,0,1322,974,7,21,9,0,0,0,206,0,0,83,31,15,7,82,55,16,262,41,0,0,45,50,7,0,25,184,200,0,0,0,13,146,208,78
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella",77,67,55,53,73,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,8,0,0,0,0,0,12
"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_1",0,0,0,0,0,0,25,24,0,0,10,25,6,0,30,37,0,0,0,58,111,25,2563,1949,248,0,0,0,18,34,37,35,21,0,15,0,0,0,0,0,50,17
"Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Romboutsia",0,7,0,6,15,0,0,0,18,0,8,3,6,34,70,32,0,0,0,201,126,18,860,254,10,11,35,0,0,0,0,0,0,0,41,0,0,0,0,0,0,24
"Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;NA",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,133,77,488,358,123,10,217,127,843,126,0,660,791,0,0,0,0,0,0,0,0,0,34,24,0
"Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium",0,0,0,0,0,3,0,0,5,0,0,9,0,0,5,0,686,0,23,56,312,4,214,207,10,0,9,7,0,0,0,0,0,0,0,0,0,0,59,9,0,0
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_UCG-001",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,351,887,369,176,164,2399,283,251,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;NA",0,0,0,0,0,0,0,54,0,0,0,0,55,0,0,0,229,116,298,0,85,265,261,309,473,936,0,8,38,466,236,136,85,32,0,0,0,0,0,698,1117,688
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia",0,0,0,0,0,0,0,33,22,5,0,9,17,0,0,0,213,252,167,103,171,1346,686,241,618,30,0,231,0,0,3,4,398,0,0,0,0,0,0,525,239,219
"Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacteraceae;Mucispirillum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,534,21,0,0,431,173,72,639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,60
"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium_9",48,29,28,14,15,7,104,4,0,14,0,166,326,0,0,0,71,64,46,62,51,202,82,17,161,35,57,0,0,182,618,188,292,11,0,0,0,0,0,126,81,26
"Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae;Anaeroplasma",5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,360,316,139,14,13,121,373,201,529,48,14,0,56,71,0,0,15,0,0,0,0,0,0,3,58,32
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Marvinbryantia",0,0,0,0,0,0,53,0,0,10,0,0,0,0,16,0,131,64,230,204,256,64,45,94,24,32,116,513,51,8,16,43,114,9,0,0,0,0,0,90,32,101
