"","MDS1","MDS2"
"2",-0.56483,-0.050306
"11",-0.4795,-0.23634
"22",-0.55248,-0.26671
"25",-0.68395,-0.36487
"40",-0.5212,-0.25989
"46",-0.55236,-0.30188
"073A",0.15159,0.35333
"075A",-0.27055,0.30519
"081A",-0.64197,0.11586
"083A",-0.5555,0.18245
"085A",-0.84693,0.40603
"088A",-0.2438,0.11121
"097A",-0.1414,0.06135
"105A",-0.80639,0.034597
"106A",-0.47748,0.17342
"107A",-0.93971,0.073486
"111A",0.73704,-0.075534
"115A",0.70707,-0.15495
"119A",0.77367,-0.13287
"120A",0.76924,-0.23511
"124A",0.72317,-0.25756
"129A",0.83417,-0.070969
"134A",0.69503,-0.3175
"135A",0.70301,-0.27793
"137A",0.81027,-0.10004
"140A",0.54907,0.097589
"146A",0.34395,-0.085925
"151A",0.020135,-0.34307
"156A",0.34017,0.11035
"158A",0.54628,0.1902
"161A",0.38039,0.25805
"162A",0.40989,0.05774
"167A",0.41683,0.31209
"215A",0.22853,0.59167
"226A",-0.67342,-0.14738
"227A",-0.76142,-0.26818
"228A",-0.87181,-0.41679
"235A",-0.94389,-0.27153
"258A",-0.57418,0.92935
"259A",0.69465,0.14662
"260A",0.61449,0.096818
"261A",0.65416,0.027939
