,Experiment,Tissue type,DOL,Genotype
073B,C,TI,P11,Sig WT
075B,C,TI,P11,Sig WT
081B,C,TI,P11,Sig WT
083B,C,TI,P11,Sig WT
085B,C,TI,P11,Sig WT
088B,C,TI,P11,Sig WT
097B,C,TI,P11,Sig WT
105B,C,TI,P11,Sig WT
106B,C,TI,P11,Sig WT
107B,C,TI,P11,Sig WT
215B,C,TI,P11,Sig WT
226B,C,TI,P11,Sig WT
227B,C,TI,P11,Sig WT
228B,C,TI,P11,Sig WT
235B,C,TI,P11,Sig WT
140B,C,TI,P14,Sig WT 
146B,C,TI,P14,Sig WT 
151B,C,TI,P14,Sig WT 
156B,C,TI,P14,Sig WT 
158B,C,TI,P14,Sig WT 
161B,C,TI,P14,Sig WT 
162B,C,TI,P14,Sig WT 
167B,C,TI,P14,Sig WT 
258B,C,TI,P14,Sig WT
259B,C,TI,P14,Sig WT
260B,C,TI,P14,Sig WT
261B,C,TI,P14,Sig WT
111B,C,TI,P28,Sig WT
115B,C,TI,P28,Sig WT
119B,C,TI,P28,Sig WT
120B,C,TI,P28,Sig WT
124B,C,TI,P28,Sig WT 
129B,C,TI,P28,Sig WT
134B,C,TI,P28,Sig WT
135B,C,TI,P28,Sig WT 
137B,C,TI,P28,Sig WT 
