"",DOL,samples,variable,value,se
"1",P11,073B,Chao1,36,0
"2",P11,075B,Chao1,29,0
"3",P11,081B,Chao1,33,0
"4",P11,083B,Chao1,38,0
"5",P11,085B,Chao1,28,0
"6",P11,088B,Chao1,34,0
"7",P11,097B,Chao1,23,0
"8",P11,105B,Chao1,31,0
"9",P11,106B,Chao1,34,0
"10",P11,107B,Chao1,27,0
"11",P28,111B,Chao1,27,0
"12",P28,115B,Chao1,46,0
"13",P28,119B,Chao1,24,0
"14",P28,120B,Chao1,29,0
"15",P28,124B,Chao1,36,0
"16",P28,129B,Chao1,43,0
"17",P28,134B,Chao1,37,0
"18",P28,135B,Chao1,49,0
"19",P28,137B,Chao1,30,0
"20",P14,140B,Chao1,34,0
"21",P14,146B,Chao1,40,0
"22",P14,151B,Chao1,32,0
"23",P14,156B,Chao1,25,0
"24",P14,158B,Chao1,33,0
"25",P14,161B,Chao1,29,0
"26",P14,162B,Chao1,31,0
"27",P14,167B,Chao1,32,0
"28",P11,215B,Chao1,166,0
"29",P11,226B,Chao1,197,0
"30",P11,227B,Chao1,126,0
"31",P11,228B,Chao1,115,0
"32",P11,235B,Chao1,195,0
"33",P14,258B,Chao1,224,0
"34",P14,259B,Chao1,71,0
"35",P14,260B,Chao1,95,0
"36",P14,261B,Chao1,64,0
