"","MeanDecreaseAccuracy"
"Muribaculaceae",0.048177
"Muribacter",0.044867
"Enterorhabdus",0.032215
"Streptococcus",0.032021
"Pseudomonas",0.019555
"Lachnospiraceae_NK4A136_group",0.011693
"Staphylococcus",0.011391
"Escherichia_Shigella",0.01139
"Phyllobacterium",0.010658
"Dysgonomonas",0.0095306
"Lachnoclostridium",0.0091394
"Gemella",0.007374
"Candidatus_Arthromitus",0.006313
"Euglenida",0.0059763
"Parabacteroides",0.0045485
"Distigma",0.0044968
"Bacteroides",0.0036941
"Rikenellaceae_RC9_gut_group",0.0034901
"Roseburia",0.0034773
"Lactobacillus",0.0034317
"Lachnospiraceae_UCG_001",0.0033609
"Parasutterella",0.0031216
"Treponema_2",0.0029845
"Fusobacterium",0.0026032
"Ruminococcaceae_UCG_005",0.0024834
"Romboutsia",0.0022359
"Porphyromonas",0.0018247
"Ruminococcaceae_UCG_010",0.0017406
"Lachnospiraceae_UCG_006",0.0017088
"Corynebacterium_1",0.0016666
"Succinivibrio",0.0015467
"Bacteroidales",0.0015053
"Marinospirillum",0.0014849
"Providencia",0.0014326
"Aphagea_fa",0.0013676
"Alistipes",0.0013184
"Vagococcus",0.0010741
"Empedobacter",0.0010581
"Holosporaceae",0.0010577
"Acinetobacter",0.001016
"Ruminiclostridium_5",0.00099009
"Enterococcus",0.00093378
"Clostridium_sensu_stricto_1",0.00082306
"Ruminobacter",0.00080526
"Clostridiales_vadinBB60_group",0.00073162
"Prevotellaceae_UCG_003",0.00071716
"Ruminococcaceae_UCG_014",0.00067316
"Burkholderiaceae",0.00066543
"Aerococcus",0.00066392
"Acholeplasma",0.00065917
"Prevotella_9",0.00062785
"Arcobacter",0.00061305
"Acetobacter",0.00058205
"Mitochondria",0.00056169
"Halomonas",0.00055043
"Vibrio",0.00049134
"Alloprevotella",0.00042857
"Blautia",0.00042771
"Flavobacterium",0.00030536
"Flectobacillus",0.0002088
"Akkermansia",0.00019551
"Ruminococcaceae",0.00018864
"Rodentibacter",0.00014615
"Candidatus_Saccharimonas",0.00014286
"Marvinbryantia",1.2302e-05
"Christensenellaceae_R_7_group",0
"Rhodospirillales",0
"Butyricicoccus",0
"Oscillibacter",0
"Faecalibacterium",-9.4639e-05
"Lachnospiraceae_FCS020_group",-0.00014146
"Erysipelotrichaceae",-0.00014286
"Turicibacter",-0.00026092
"Weissella",-0.00029111
"Bifidobacterium",-0.00031867
"Klebsiella",-0.0005544
"Solibacillus",-0.00058718
"Veillonella",-0.00094266
"Lachnospiraceae",-0.0013601
"Bacillus",-0.0015413
