#NAME,Experiment,Tissue type,DOL,Genotype
053B,NEC,colon,DOL11,Sig Homo_HET
054B,NEC,colon,DOL11,Sig Homo_HET
055B,NEC,colon,DOL11,Sig Homo_HET
056B,NEC,colon,DOL11,Sig Homo_HET
057B,NEC,colon,DOL11,Sig Homo_HET
061B,NEC,colon,DOL11,Sig Homo_HET
062B,NEC,colon,DOL11,Sig Homo_HET
063B,NEC,colon,DOL11,Sig Homo_HET
068B,NEC,colon,DOL11,Sig Homo_HET
069B,NEC,colon,DOL11,Sig Homo_HET
070B,NEC,colon,DOL11,Sig Homo_HET
071B,NEC,colon,DOL11,Sig WT
072B,NEC,colon,DOL11,Sig Homo_HET
077B,NEC,colon,DOL11,Sig WT
078B,NEC,colon,DOL11,Sig Homo_HET
079B,NEC,colon,DOL11,Sig Homo_HET
089B,NEC,colon,DOL11,Sig Homo_HET
090B,NEC,colon,DOL11,Sig Homo_HET
091B,NEC,colon,DOL11,Sig WT
092B,NEC,colon,DOL11,Sig Homo_HET
093B,NEC,colon,DOL11,Sig WT
094B,NEC,colon,DOL11,Sig Homo_HET
098B,NEC,colon,DOL11,Sig Homo_HET
099B,NEC,colon,DOL11,Sig Homo_HET
100B,NEC,colon,DOL11,Sig WT
101B,NEC,colon,DOL11,Sig WT
217B,NEC,colon,DOL11,Sig Homo_HET
218B,NEC,colon,DOL11,Sig WT
219B,NEC,colon,DOL11,Sig WT
220B,NEC,colon,DOL11,Sig WT
221B,NEC,colon,DOL11,Sig Homo_HET
222B,NEC,colon,DOL11,Sig Homo_HET
223B,NEC,colon,DOL11,Sig Homo_HET
224B,NEC,colon,DOL11,Sig WT
225B,NEC,colon,DOL11,Sig Homo_HET
241B,NEC,colon,DOL11,Sig Homo_HET
242B,NEC,colon,DOL11,Sig WT
243B,NEC,colon,DOL11,Sig Homo_HET
244B,NEC,colon,DOL11,Sig Homo_HET
245B,NEC,colon,DOL11,Sig WT
246B,NEC,colon,DOL11,Sig WT
247B,NEC,colon,DOL11,Sig Homo_HET
248B,NEC,colon,DOL11,Sig WT
