#NAME,Experiment,Tissue type,DOL,Genotype
053B,NEC,TI,DOL11,Sig Homo_HET
054B,NEC,TI,DOL11,Sig Homo_HET
055B,NEC,TI,DOL11,Sig Homo_HET
056B,NEC,TI,DOL11,Sig Homo_HET
057B,NEC,TI,DOL11,Sig Homo_HET
061B,NEC,TI,DOL11,Sig Homo_HET
062B,NEC,TI,DOL11,Sig Homo_HET
063B,NEC,TI,DOL11,Sig Homo_HET
068B,NEC,TI,DOL11,Sig Homo_HET
069B,NEC,TI,DOL11,Sig Homo_HET
070B,NEC,TI,DOL11,Sig Homo_HET
071B,NEC,TI,DOL11,Sig WT
072B,NEC,TI,DOL11,Sig Homo_HET
077B,NEC,TI,DOL11,Sig WT
078B,NEC,TI,DOL11,Sig Homo_HET
079B,NEC,TI,DOL11,Sig Homo_HET
089B,NEC,TI,DOL11,Sig Homo_HET
090B,NEC,TI,DOL11,Sig Homo_HET
091B,NEC,TI,DOL11,Sig WT
092B,NEC,TI,DOL11,Sig Homo_HET
093B,NEC,TI,DOL11,Sig WT
094B,NEC,TI,DOL11,Sig Homo_HET
098B,NEC,TI,DOL11,Sig Homo_HET
099B,NEC,TI,DOL11,Sig Homo_HET
100B,NEC,TI,DOL11,Sig WT
101B,NEC,TI,DOL11,Sig WT
217B,NEC,TI,DOL11,Sig Homo_HET
218B,NEC,TI,DOL11,Sig WT
219B,NEC,TI,DOL11,Sig WT
220B,NEC,TI,DOL11,Sig WT
221B,NEC,TI,DOL11,Sig Homo_HET
222B,NEC,TI,DOL11,Sig Homo_HET
223B,NEC,TI,DOL11,Sig Homo_HET
224B,NEC,TI,DOL11,Sig WT
225B,NEC,TI,DOL11,Sig Homo_HET
241B,NEC,TI,DOL11,Sig Homo_HET
242B,NEC,TI,DOL11,Sig WT
243B,NEC,TI,DOL11,Sig Homo_HET
244B,NEC,TI,DOL11,Sig Homo_HET
245B,NEC,TI,DOL11,Sig WT
246B,NEC,TI,DOL11,Sig WT
247B,NEC,TI,DOL11,Sig Homo_HET
248B,NEC,TI,DOL11,Sig WT
