#NAME,Experiment,Tissue type,DOL,Genotype
050B,C,TI,DOL11,Sig Homo_HET 
051B,C,TI,DOL11,Sig Homo_HET
052B,C,TI,DOL11,Sig Homo_HET 
053B,NEC,TI,DOL11,Sig Homo_HET
054B,NEC,TI,DOL11,Sig Homo_HET
055B,NEC,TI,DOL11,Sig Homo_HET
056B,NEC,TI,DOL11,Sig Homo_HET
057B,NEC,TI,DOL11,Sig Homo_HET
058B,C,TI,DOL11,Sig Homo_HET
059B,C,TI,DOL11,Sig Homo_HET
060B,C,TI,DOL11,Sig Homo_HET
061B,NEC,TI,DOL11,Sig Homo_HET
062B,NEC,TI,DOL11,Sig Homo_HET
063B,NEC,TI,DOL11,Sig Homo_HET
064B,C,TI,DOL11,Sig Homo_HET
065B,C,TI,DOL11,Sig Homo_HET
066B,C,TI,DOL11,Sig Homo_HET
067B,C,TI,DOL11,Sig Homo_HET
068B,NEC,TI,DOL11,Sig Homo_HET
069B,NEC,TI,DOL11,Sig Homo_HET
070B,NEC,TI,DOL11,Sig Homo_HET
071B,NEC,TI,DOL11,Sig WT
072B,NEC,TI,DOL11,Sig Homo_HET
073B,C,TI,DOL11,Sig WT
074B,C,TI,DOL11,Sig Homo_HET
075B,C,TI,DOL11,Sig WT
076B,C,TI,DOL11,Sig Homo_HET
077B,NEC,TI,DOL11,Sig WT
078B,NEC,TI,DOL11,Sig Homo_HET
079B,NEC,TI,DOL11,Sig Homo_HET
080B,C,TI,DOL11,Sig Homo_HET
081B,C,TI,DOL11,Sig WT
082B,C,TI,DOL11,Sig Homo_HET
083B,C,TI,DOL11,Sig WT
084B,C,TI,DOL11,Sig Homo_HET
085B,C,TI,DOL11,Sig WT
086B,C,TI,DOL11,Sig Homo_HET
087B,C,TI,DOL11,Sig Homo_HET
088B,C,TI,DOL11,Sig WT
089B,NEC,TI,DOL11,Sig Homo_HET
090B,NEC,TI,DOL11,Sig Homo_HET
091B,NEC,TI,DOL11,Sig WT
092B,NEC,TI,DOL11,Sig Homo_HET
093B,NEC,TI,DOL11,Sig WT
094B,NEC,TI,DOL11,Sig Homo_HET
095B,C,TI,DOL11,Sig Homo_HET
096B,C,TI,DOL11,Sig Homo_HET
097B,C,TI,DOL11,Sig WT
098B,NEC,TI,DOL11,Sig Homo_HET
099B,NEC,TI,DOL11,Sig Homo_HET
100B,NEC,TI,DOL11,Sig WT
101B,NEC,TI,DOL11,Sig WT
102B,C,TI,DOL11,Sig Homo_HET
103B,C,TI,DOL11,Sig Homo_HET
104B,C,TI,DOL11,Sig Homo_HET
105B,C,TI,DOL11,Sig WT
106B,C,TI,DOL11,Sig WT
107B,C,TI,DOL11,Sig WT
214B,C,TI,DOL11,Sig Homo_HET
215B,C,TI,DOL11,Sig WT
216B,C,TI,DOL11,Sig Homo_HET
217B,NEC,TI,DOL11,Sig Homo_HET
218B,NEC,TI,DOL11,Sig WT
219B,NEC,TI,DOL11,Sig WT
220B,NEC,TI,DOL11,Sig WT
221B,NEC,TI,DOL11,Sig Homo_HET
222B,NEC,TI,DOL11,Sig Homo_HET
223B,NEC,TI,DOL11,Sig Homo_HET
224B,NEC,TI,DOL11,Sig WT
225B,NEC,TI,DOL11,Sig Homo_HET
226B,C,TI,DOL11,Sig WT
227B,C,TI,DOL11,Sig WT
228B,C,TI,DOL11,Sig WT
229B,C,TI,DOL11,Sig Homo_HET
230B,C,TI,DOL11,Sig Homo_HET
231B,C,TI,DOL11,Sig Homo_HET
232B,C,TI,DOL11,Sig Homo_HET
233B,C,TI,DOL11,Sig Homo_HET
234B,C,TI,DOL11,Sig Homo_HET
235B,C,TI,DOL11,Sig WT
236B,C,TI,DOL11,Sig Homo_HET
237B,C,TI,DOL11,Sig Homo_HET
238B,C,TI,DOL11,Sig Homo_HET
239B,C,TI,DOL11,Sig Homo_HET
240B,C,TI,DOL11,Sig Homo_HET
241B,NEC,TI,DOL11,Sig Homo_HET
242B,NEC,TI,DOL11,Sig WT
243B,NEC,TI,DOL11,Sig Homo_HET
244B,NEC,TI,DOL11,Sig Homo_HET
245B,NEC,TI,DOL11,Sig WT
246B,NEC,TI,DOL11,Sig WT
247B,NEC,TI,DOL11,Sig Homo_HET
248B,NEC,TI,DOL11,Sig WT
139B,C,TI,DOL14,Sig Homo_HET
140B,C,TI,DOL14,Sig WT 
141B,C,TI,DOL14,Sig Homo_HET
142B,C,TI,DOL14,Sig Homo_HET
143B,C,TI,DOL14,Sig Homo_HET 
144B,C,TI,DOL14,Sig Homo_HET
145B,C,TI,DOL14,Sig Homo_HET
146B,C,TI,DOL14,Sig WT 
147B,C,TI,DOL14,Sig Homo_HET
148B,C,TI,DOL14,Sig Homo_HET
149B,C,TI,DOL14,Sig Homo_HET
150B,C,TI,DOL14,Sig Homo_HET 
151B,C,TI,DOL14,Sig WT 
152B,C,TI,DOL14,Sig Homo_HET 
153B,C,TI,DOL14,Sig Homo_HET 
154B,C,TI,DOL14,Sig Homo_HET 
155B,C,TI,DOL14,Sig Homo_HET
156B,C,TI,DOL14,Sig WT 
157B,C,TI,DOL14,Sig Homo_HET 
158B,C,TI,DOL14,Sig WT 
159B,C,TI,DOL14,Sig Homo_HET 
160B,C,TI,DOL14,Sig Homo_HET 
161B,C,TI,DOL14,Sig WT 
