#NAME,Experiment,Tissue type,DOL,Genotype
053B,NEC,colon,DOL11,Sig HET
054B,NEC,colon,DOL11,Sig HET
055B,NEC,colon,DOL11,Sig Homo
056B,NEC,colon,DOL11,Sig Homo
057B,NEC,colon,DOL11,Sig HET
061B,NEC,colon,DOL11,Sig HET
062B,NEC,colon,DOL11,Sig HET
063B,NEC,colon,DOL11,Sig HET
068B,NEC,colon,DOL11,Sig Homo
069B,NEC,colon,DOL11,Sig HET
070B,NEC,colon,DOL11,Sig HET
071B,NEC,colon,DOL11,Sig WT
072B,NEC,colon,DOL11,Sig HET
077B,NEC,colon,DOL11,Sig WT
078B,NEC,colon,DOL11,Sig Homo
079B,NEC,colon,DOL11,Sig HET
089B,NEC,colon,DOL11,Sig HET
090B,NEC,colon,DOL11,Sig HET
091B,NEC,colon,DOL11,Sig WT
092B,NEC,colon,DOL11,Sig Homo
093B,NEC,colon,DOL11,Sig WT
094B,NEC,colon,DOL11,Sig Homo
098B,NEC,colon,DOL11,Sig Homo
099B,NEC,colon,DOL11,Sig Homo
100B,NEC,colon,DOL11,Sig WT
101B,NEC,colon,DOL11,Sig WT
217B,NEC,colon,DOL11,Sig Homo
218B,NEC,colon,DOL11,Sig WT
219B,NEC,colon,DOL11,Sig WT
220B,NEC,colon,DOL11,Sig WT
221B,NEC,colon,DOL11,Sig HET
222B,NEC,colon,DOL11,Sig HET
223B,NEC,colon,DOL11,Sig Homo
224B,NEC,colon,DOL11,Sig WT
225B,NEC,colon,DOL11,Sig Homo
241B,NEC,colon,DOL11,Sig Homo
242B,NEC,colon,DOL11,Sig WT
243B,NEC,colon,DOL11,Sig Homo
244B,NEC,colon,DOL11,Sig Homo
245B,NEC,colon,DOL11,Sig WT
246B,NEC,colon,DOL11,Sig WT
247B,NEC,colon,DOL11,Sig HET
248B,NEC,colon,DOL11,Sig WT
