#NAME,1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,050A,050B,051A,051B,052A,052B,053A,053B,054A,054B,055A,055B,056A,056B,057A,057B,058A,058B,059A,059B,060A,060B,061A,061B,062A,062B,063A,063B,064A,064B,065A,065B,066A,066B,067A,067B,068A,068B,069A,069B,070A,070B,071A,071B,072A,072B,073A,073B,074A,074B,075A,075B,076B,077A,077B,078A,078B,079A,079B,080A,080B,081A,081B,082A,082B,083A,083B,084A,084B,085A,085B,086A,086B,087A,087B,088A,088B,089A,089B,090A,090B,091A,091B,092A,092B,093B,094B,095A,095B,096A,096B,097A,097B,098A,098B,099A,099B,100A,100B,101A,101B,102A,102B,103A,103B,104A,104B,105A,105B,106A,106B,107A,107B,108A,108B,109A,109B,110A,110B,111A,111B,112A,112B,113A,113B,114A,114B,115A,115B,116A,116B,117A,117B,118A,118B,119A,119B,120A,120B,121A,121B,122A,122B,123A,123B,124A,124B,125A,125B,126A,126B,127A,127B,128A,128B,129A,129B,130A,130B,131A,131B,132A,132B,133A,133B,134A,134B,135A,135B,136A,136B,137A,137B,138A,138B,139A,139B,140A,140B,141A,141B,142A,142B,143A,143B,144A,144B,145A,145B,146A,146B,147A,147B,148A,148B,149A,149B,150A,150B,151A,151B,152A,152B,153A,153B,154A,154B,155A,155B,156A,156B,157A,157B,158A,158B,159A,159B,160A,160B,161A,161B,162A,162B,163A,163B,164A,164B,165A,165B,166A,166B,167A,167B,168A,168B,169A,169B,214A,214B,215A,215B,216A,216B,217A,217B,218A,218B,219A,219B,220A,220B,221A,221B,222A,222B,223A,223B,224A,224B,225A,225B,226A,226B,227A,227B,228A,228B,229A,229B,230A,230B,231A,231B,232A,232B,233A,233B,234A,234B,235A,235B,236A,236B,237A,237B,238A,238B,239A,239B,240A,240B,241A,241B,242A,242B,243A,243B,244A,244B,245A,245B,246A,246B,247A,247B,248A,248B,249A,249B,250A,250B,251A,251B,252A,252B,253A,253B,254A,254B,255A,255B,256A,256B,257A,257B,258A,258B,259A,259B,260A,260B,261A,261B,262A,262B,263A,263B
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus,79024,68214,75562,2245,5772,1801,76450,67741,10408,4422,50388,47940,42325,47632,3447,1182,12182,4260,26764,14816,41778,67241,67961,64370,7749,3013,10473,21695,34297,362,15614,3891,737,40274,49692,3436,68000,62759,43122,61382,58837,45099,28817,7736,40495,43195,65386,60506,11542,15487,24269,1898,28100,36150,8783,106,6680,1148,6163,260,7335,253,3258,110,23980,9884,25995,38512,18004,38222,13914,160,9658,4167,6549,114,33817,66327,34484,69775,28965,90386,33982,76902,26479,206,14156,548,2814,6265,27520,9513,25734,506,32957,16877,33685,3171,36773,44293,49227,25782,1188,20723,300,22576,40,25134,10568,29645,27328,32162,11507,26813,24494,22758,6221,23477,32789,17609,43722,31469,43052,27301,29612,17684,21408,3366,4171,8780,2380,12660,8259,469,1954,23736,34783,24484,41459,27180,48567,4118,268,10301,1749,5373,1991,10032,608,35018,26653,34089,11424,5661,81237,31887,29925,30881,2685,37252,24935,19737,31986,15750,32537,21083,43091,21215,48212,16221,63625,24953,69895,17883,73158,24721,70113,2455,44712,12499,40192,13593,69315,17623,68325,13002,68171,22054,45000,22916,69933,23535,56909,21067,33236,18389,60580,29696,59737,5236,70183,2532,39932,8984,61395,7676,75325,10322,37680,21794,62390,8334,53056,15211,96709,15869,62347,12706,67483,15548,64374,18014,64756,15716,31718,15797,9851,20873,16205,23082,12299,11947,23889,13547,29273,18557,15137,13323,12617,21858,38720,30161,11464,27395,16141,28216,16801,21933,33456,19231,33410,24780,7911,8543,4381,17476,6298,17317,10452,13185,4579,12835,960,14286,13499,16362,8247,18420,14761,17459,9967,17673,27677,19578,30732,11688,25183,19789,50403,21877,38858,22295,29440,22840,21436,14490,776,5572,2070,950,5165,435,392,681,341,46,33,117,256,11166,84,654,207,8005,738,2098,231,353,322,18609,4811,12316,2680,11700,7132,11508,998,19198,9202,16207,4850,15246,4634,11121,1042,10227,9710,20576,4219,11882,8152,2313,9390,14756,4590,16593,14012,13607,3314,2827,161,1983,478,1469,207,4003,465,3480,275,3108,173,5728,5504,3018,585,11062,12011,7552,16615,9985,17750,10508,18996,8892,10969,8775,17105,10354,16492,10797,22522,12327,30689,4945,3073,11697,17606,15395,14138,8047,20224,10062,21461,9477,19769
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia/Shigella,112,119,87,71463,61929,53539,1279,66,51014,67843,27599,40019,33129,33063,72067,52434,66195,72604,48051,63921,31022,31246,29885,27650,61560,71081,55755,65148,14280,71280,51739,59443,78750,210,119,876,148,149,35024,16635,25931,37296,43993,83687,31345,35563,4529,14154,6782,37063,13358,33816,8280,34646,18850,2862,15847,12252,21114,338,20050,21737,26484,4849,17457,14533,17194,10554,16504,12258,23265,1649,26642,29735,18335,2229,77,24,8290,22,34,45,64,38,36,133,36,0,35,92,81,22,64,21,80,23,45,26,76,52,54,33,33,39,52,30,0,0,17,0,51,40,87,0,48,0,79,19,41,14161,12303,3708,0,5689,50,9949,8618,25039,166,15819,8342,15265,794,41,251,13330,13960,1585,19,22,0,19217,450,20319,15239,21763,21,23026,367,1191,55,168,0,374,3716,2189,52,76,14,50,13,47,0,71,0,31,11,0,9,0,5,29,16,65,0,165,39,35,19,0,0,37,0,64,14,0,4,55,5,42,0,57,0,60,3,22,0,39,0,58,9,46,16,20,0,99,52,13,0,114,8,19,17,17,32,0,0,10,0,18,10,34,0,3530,37,9289,1108,10129,813,13439,7500,8269,12668,8113,4854,10586,8170,9780,6045,3402,16,10512,26,4571,41,2641,133,9661,721,3263,13,6564,16,13716,0,15823,364,11842,1270,7595,113,8403,50,11348,3563,3528,14,2286,0,1801,38,6298,17,613,13,15,14,0,0,22,32,26,5,23,55,20,72,11,98,11684,10255,879,80,6192,199,17314,10552,8158,320,3700,168,276,117,6382,236,8138,263,9392,613,13641,3343,14347,847,14396,1213,13387,132,7730,301,4389,70,6876,72,2592,42,7050,2720,6716,90,34,46,1688,66,1573,146,693,19,628,185,5450,1513,8215,83,5808,192,1589,414,3396,4354,5809,598,9021,1561,4567,308,1708,1148,528,99,375,19,199,0,41,54,2779,204,470,0,8958,115,0,23,0,2123,0,448,0,1579,0,620,0,11,15,0
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Muribacter,1437,1060,1513,65,2354,571,1236,2123,355,1972,341,1421,420,560,122,80,99,292,61,353,975,423,223,234,9,158,10,45,377,50,94,31,274,18649,8648,45475,405,5376,326,750,445,286,110,174,552,635,2600,1250,53,551,102,13,116,1597,12,18,102,55,75,555,255,1181,6,179,109,123,65,3571,18,135,187,208,0,17,316,37,793,5174,530,5957,2009,9685,904,5632,82,1102,521,2399,52,610,16,221,174,658,161,5903,1235,2143,951,9506,691,97,110,6304,450,115,613,852,6493,971,10297,1157,9603,823,23564,1634,1785,4743,12806,111,288,359,1846,744,2559,468,74,98,637,11,267,107,4445,429,843,42,3036,107,2728,192,4683,28,75,19,0,7,503,8,0,1608,10328,2510,7307,2660,7197,2168,4796,1487,3886,1880,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,5223,0,3904,25,2244,455,3389,0,206,8,749,0,470,13,787,0,562,920,1456,62,131,3353,504,45,256,342,199,387,444,16,3046,31,1681,0,1874,103,2894,0,0,25,721,14,1305,28,1854,69,1011,105,2831,205,1277,21,370,371,234,188,97,589,141,405,29,0,6718,23,1141,1466,36,11,688,386,715,30,2351,0,2300,643,1705,0,0,0,723,0,2254,0,3039,225,2816,160,3893,0,3659,378,2817,538,2750,272,3166,222,2288,88,469,88,1788,420,2358,560,5178,18,4207,238,3808,803,2308,453,1098,151,0,0,0,0,74,12,151,0,60,0,550,0,1113,0,560,0,1053,0,433,0,168,0,263,0,71,0,613,0,118,914,1581,30,3744,1915,90,0,1110,0,364,0,119,0,180,0,83
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus,1673,3455,3156,1148,7138,521,9,13,5367,8590,115,388,91,92,743,403,980,1577,830,256,42,14,54,29,102,1357,1076,1520,0,20,17,37,0,2550,15130,879,6475,1623,24,26,29,29,211,93,0,0,0,0,0,0,16,91,0,14,5967,161,6381,7134,2877,1129,3875,2787,4657,397,38,21,25,105,18,20,405,608,760,5934,10290,240,0,0,0,38,0,23,0,21,5614,1296,917,13118,78,2463,4616,6819,5532,1922,52,58,38,21,29,30,21,386,1122,739,2697,4410,248,309,35,313,48,303,177,399,388,317,97,578,242,29,22,76,44,237,49,6475,6617,1293,5235,2029,5352,5087,28898,17011,10834,31,130,39,243,50,275,7071,19651,7551,13085,9444,19402,6035,2586,0,0,6,0,16,0,0,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12,0,0,8,13,0,0,0,0,0,9,0,7,0,0,0,0,0,0,0,0,33,656,73,22,134,26,74,23,17,107,44,15,51,23,55,0,78,51,32,24,47,120,51,169,32,22,45,33,25,83,341,53,352,84,265,34,59,73,68,90,115,53,0,53,24,57,30,137,73,268,0,0,0,0,0,0,0,0,0,0,0,34,146,135,55,108,628,402,130,206,782,6960,290,5726,2109,1956,919,5948,286,1546,1186,1458,153,4504,1308,3095,0,233,0,56,0,50,0,43,21,124,0,55,0,160,53,102,21,54,23,182,14,148,123,72,0,110,117,41,117,73,1436,1553,648,1667,620,631,164,3751,700,2976,1345,824,571,1573,716,3380,35,121,15,102,27,62,31,132,7,29,23,80,94,31,2840,945,395,302,1741,726,318,798,423,571,215,456,234,210,298,1640
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Candidatus_Arthromitus,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,9,0,5,0,6,0,0,0,0,1175,2154,1166,3075,877,4134,765,18278,607,2599,793,7591,802,11819,2759,13658,622,3006,1333,27286,2835,13396,1089,8929,0,0,0,0,0,8,3002,6005,67,7972,4,126,0,64,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,15,726,2813,502,5618,1076,12276,928,18756,0,14,0,0,4,11,0,6,0,6,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,16,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,5,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus,5027,4631,4584,50,505,162,4832,5815,177,826,827,652,458,623,89,157,220,196,180,42,810,1807,2516,1107,18,123,142,379,743,0,72,64,14,3946,5781,345,1297,3547,1877,2480,1470,1736,1507,767,1745,1830,7123,3381,459,447,404,170,1064,2056,158,54,461,308,740,418,256,121,144,288,1343,1767,503,1515,193,744,1012,464,197,468,2474,267,0,58,0,111,0,87,15,89,799,523,133,1701,336,579,434,460,976,1469,4598,3912,3678,245,2976,979,807,92,233,25,158,226,181,1613,225,1512,245,1595,247,1262,409,475,299,537,125,928,1548,3628,923,3257,2439,561,820,218,901,127,681,1622,5716,1094,850,612,338,1105,414,1057,485,19,431,32,122,64,360,17,407,1966,632,2827,1075,814,4291,1895,780,2100,440,2689,393,18,55,10,58,21,126,15,87,12,67,0,188,0,121,8,62,7,101,9,81,5,78,11,63,8,118,6,65,11,36,0,65,0,41,8,198,0,29,9,9,0,166,4,60,0,109,0,24,5,28,12,49,7,101,13,66,0,78,0,38,12,34,121,297,41,404,366,584,608,343,51,285,60,203,178,322,175,270,160,222,1745,235,863,419,867,451,890,191,621,357,901,244,219,315,225,168,270,214,101,73,81,255,85,60,242,223,549,366,566,312,775,258,243,403,182,495,252,588,251,287,499,310,902,166,1049,25,358,248,135,298,16,77,30,180,9,284,56,179,1037,73,69,61,72,149,65,188,42,890,1531,573,1425,870,288,675,1051,112,1494,504,1431,623,1318,44,1036,33,1029,694,1907,73,1150,892,24,723,1424,1139,1504,505,1573,54,374,292,69,190,54,56,109,364,56,203,102,0,19,226,36,322,544,1086,313,1433,366,1149,821,1810,670,1315,560,586,623,274,1095,849,1925,2453,1020,549,536,560,1448,589,520,970,401,533,437,1496
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Klebsiella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,50,125,3052,544,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5990,0,66,0,3528,0,1364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2951,0,2993,0,1835,0,4767,1202,6217,361,4222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1733,9195,8703,11825,7755,18201,2202,0,1027,10,1539,0,1494,119,0,0,0,2173,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,50,0,18,12,0,15,0,0,0,0,201,0,0,0,0,49,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,120,0,0,0,0,0,0,0,86,4,6714,1473,7412,4126,7048,33,5997,1676,34,0,0,0,0,0,0,0,0,0,0,0,0,92,0,105,67,0,65,102,71,54,23,23,0,133,0,83,247,122,0,222,0,45,16,108,0,52,0,64,0,36,0,38,0,116,0,80,0,109,0,71,0,40,0,114,0,56,0,69,0,81,0,0,0,111,0,93,0,105,0,124,0,43,0,73,0,84,0,102,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,25,0,25,0,0,0,0,0,0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus,74,20,17,105,56,246,22,16,77,57,14,9,17,11,35,92,23,53,37,95,0,0,9,6,152,72,59,24,0,92,26,66,129,247,116,291,208,180,15,37,43,118,77,71,11,13,16,20,91,0,53,776,19,0,3132,409,4210,2182,3125,67,1232,1492,6242,51,69,0,0,0,650,12,0,20,13,0,0,20,199,0,0,0,0,0,11,0,6753,7042,16218,8533,14704,19726,8622,2815,10458,1212,2152,0,70,0,305,11,0,10213,168,8664,133,14723,73,56,0,47,0,160,0,314,0,31,0,121,0,182,4,562,0,98,0,3402,2246,15453,98,9488,1313,7928,789,1181,407,118,39,124,11,57,0,1836,0,1657,47,4145,0,2004,82,110,8,177,13,343,2252,208,0,440,0,1094,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,19,0,10,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1879,0,697,19,1960,0,1267,0,573,0,1489,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,163,0,270,0,490,0,1280,0,140,18,2146,22,1084,0,830,0,1740,72,481,71,184,31,94,2646,61,59,256,305,7463,1621,1117,128,943,41,147,142,5073,196,3574,419,13561,1900,141,55,54,0,125,0,245,6,25,136,341,38,899,61,297,37,73,0,0,73,2574,36,620,31,6207,66,799,0,2252,65,3659,3106,2992,413,4269,167,407,1223,2536,852,1151,127,3152,1966,608,598,84,840,19,0,29,0,21,0,0,0,8,0,9,0,1246,29,404,0,2155,1240,0,213,30,798,0,390,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,0,3,4,0,0,14,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,26,0,8,0,0,10,5,16,0,35,14,23,19,0,0,0,0,2,8,9,0,2,3,0,0,470,0,1961,0,764,0,3076,0,2163,0,1818,0,1681,0,2039,0,801,0,319,0,532,0,1558,0,766,0,2135,31,145,26,389,22,557,31,292,117,2738,134,1563,360,1789,163,945,114,1648,12,1699,29,795,22,778,741,46,1395,193,2211,850,1672,9,607,7,535,20,914,0,1107,18,645,35,467,0,331,46,349,40,503,56,1402,45,1325,64,729,15,1193,1030,910,2,397,30,352,9,212,49,690,6,194,13,440,17,576,31,973,70,960,877,101,18,397,37,324,17,328,3,29,7,47,0,51,0,77,4,50,0,66,9,71,6,16,9,32,4,56,0,19,0,17,0,41,9,65,8,45,5,16,7,39,7,107,0,17,12,13,0,38,8,28,0,27,0,41,0,22,11,35,8,50,0,64,0,49,0,26,0,19,0,191,0,589,17,256,31,837,5,576,0,274,7,593,9,582,0,452,14,462,11,504,10,558,0,526,16,464,23,524,6,264,6,358,8,227,19,238,3,576,0,208,10,185,0,406,0,419,0,254,12,248,14,304,20,393,20,203,20,432,43,455,9,1110,0,324,125,0,15,305,44,338,24,153,0,290,0,199,413,425,0,434,0,642,0,627,0,524,0,344,0,414,0,225,0,339,0,279,5,496,0,283,0,161,0,709,0,280,0,822,0,461,0,209,0,961,0,485,3,787,0,930,0,1029,0,720,9,677,24,645,0,732,0,0,0,0,0,0,0,14,0,0,0,0,0,24,0,4,0,0,0,128,0,17,0,14,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group,60,81,105,351,249,739,72,75,206,128,77,56,93,39,182,413,81,255,355,586,48,44,63,48,582,182,303,164,16,298,156,220,493,828,584,1608,610,677,58,241,43,61,327,469,71,15,100,71,215,0,470,73,547,8,0,0,10,269,0,0,2358,30,15,0,215,0,132,0,42,0,0,0,0,0,31,0,19,0,34,0,12,0,611,0,0,0,0,0,4394,0,0,0,0,0,18,0,28,0,78,0,0,77,0,0,0,0,0,89,0,73,0,31,0,49,0,0,0,0,0,51,0,121,0,331,0,1924,89,1025,0,1499,0,433,15,30,0,247,0,195,0,421,0,28,0,78,0,554,0,262,0,524,0,29,0,27,1518,456,0,426,0,17,0,721,308,1396,1453,566,924,1491,66,1022,143,1344,465,1529,3,1839,225,8261,378,5975,169,1525,229,1971,25,1207,78,1713,399,958,99,1201,199,812,54,1304,70,899,80,6441,39,7800,1480,6379,1110,6152,128,1227,126,1820,34,6658,155,3940,17,1201,297,1430,429,7353,188,2037,107,166,0,91,4,67,0,65,30,105,3,61,0,40,42,171,0,99,0,616,9,4043,14,33,0,2750,0,5142,0,3383,0,115,0,151,0,82,0,195,0,29,0,48,0,129,17,154,0,1001,15,934,0,79,0,370,0,267,0,44,0,254,0,370,0,2855,14,4194,32,34,274,504,34,12862,0,43,0,11355,172,1439,0,193,75,1128,139,14,58,460,0,19,51,173,13,0,0,0,0,0,0,224,8,107,35,1132,0,1347,10,0,109,290,40,431,35,276,37,1456,0,210,48,7972,65,373,18,6788,189,3453,99,2229,54,1612,65,9416,234,2236,115,12,235,28,69,154,12,32,0,331,40,230,54,42,96,0,43,180,24,13,403,144,64,155,183,1512,115,50,0,302,0
