"","071A","073A","075A","077A","081A","083A","085A","088A","091A","097A","100A","101A","105A","106A","107A","215A","218A","219A","220A","224A","226A","227A","228A","235A","242A","245A","246A","248A"
"Lactobacillus",6661218.42496285,6577637.44427935,8277117.38484398,5792719.1679049,8258172.36255572,7528974.73997028,6882615.15601783,6618127.78603269,2167533.43239227,6769316.49331352,1229197.62258544,2348811.29271917,8015230.31203566,8452451.70876672,8640044.57652303,1854754.82912333,220282.317979198,17459.1381872214,31575.0371471025,643759.286775631,5044205.05200594,4116641.90193165,4330980.68350669,6014115.89895988,504457.65230312,1183878.15750371,1011515.60178306,886701.337295691
"Escherichia_Shigella",17459.1381872214,20059.4353640416,18573.5512630015,3343.23922734027,0,0,6686.47845468053,1365156.01783061,3930534.91827637,5943.53640416048,5023774.14561664,5382986.62704309,534546.805349183,23031.2035661218,12630.014858841,5200.59435364042,2105497.77117385,6104383.35809807,1966196.13670134,2548662.70430906,3765230.31203566,4851411.58989599,5372585.43833581,2018573.551263,2145245.17087667,1145245.17087667,1961367.01337296,1350668.64784547
"Muribacter",1857.35512630015,33432.3922734027,218796.433878157,23031.2035661218,259286.775631501,236627.043090639,1394130.75780089,179049.034175334,2228.82615156018,51634.4725111441,1114.41307578009,2228.82615156018,543833.580980684,410475.482912333,450965.824665676,6315.00742942051,128900.44576523,10772.6597325409,0,0,59063.8930163447,56092.1248142645,0,131500.742942051,0,0,0,0
"Staphylococcus",1135958.39524517,13001.485884101,5943.53640416048,87667.161961367,83580.9806835067,119985.14115899,173476.968796434,56092.1248142645,507800.891530461,14858.8410104012,2198736.99851412,1380014.85884101,0,2228.82615156018,0,23031.2035661218,260029.717682021,92496.2852897474,509286.775631501,55349.1827637444,0,0,0,5943.53640416048,172734.026745914,246656.76077266,452823.179791976,198736.998514116
"Streptococcus",104011.887072808,947251.114413076,671248.142644874,19316.4933135215,397473.997028232,355126.300148588,147473.997028232,810921.248142645,25260.029717682,260029.717682021,14858.8410104012,3714.7102526003,473254.086181278,576151.560178306,619613.67013373,112555.720653789,11515.6017830609,3343.23922734027,10401.1887072808,17830.6092124814,423476.968796434,464338.781575037,106612.184249629,569836.552748886,20430.9063893016,17459.1381872214,34546.8053491828,9286.77563150074
"Klebsiella",0,0,0,0,836552.748885587,1323922.73402675,1255200.59435364,0,0,1960252.60029718,337295.690936107,339524.517087667,0,0,0,0,22659.7325408618,8915.30460624071,0,0,0,0,0,0,0,0,0,0
"Enterococcus",2038632.98662704,418647.845468053,75037.147102526,2271916.79049034,9286.77563150074,94725.1114413076,38261.5156017831,25260.029717682,2408246.65676077,15230.3120356612,981054.977711738,472511.144130758,60921.2481426449,115898.959881129,248885.58692422,58692.4219910847,87667.161961367,2643759.28677563,272659.732540862,1141901.93164933,44576.5230312036,14487.3699851412,45319.4650817236,0,781575.037147103,805720.653789005,378900.44576523,179049.034175334
"Pseudomonas",39747.3997028232,2228.82615156018,5572.06537890045,11144.1307578009,2600.29717682021,0,10772.6597325409,11887.072808321,14115.8989598811,1114.41307578009,4829.12332838039,4457.65230312036,6315.00742942051,10772.6597325409,2971.76820208024,0,15973.2540861813,4457.65230312036,0,0,0,0,0,0,1857.35512630015,0,1114.41307578009,0
"Lachnospiraceae_NK4A136_group",0,4086.18127786033,14487.3699851412,18202.0802377415,18945.0222882615,11887.072808321,0,69465.0817236256,385586.924219911,98811.2927191679,134101.040118871,59063.8930163447,112927.191679049,114041.604754829,3343.23922734027,1393387.81575037,4256315.00742942,11515.6017830609,2803120.35661218,4457.65230312036,3343.23922734027,56835.0668647845,0,0,99554.234769688,735884.101040119,540490.341753343,676448.736998514
"Muribaculaceae",0,767087.667161961,68350.6686478455,0,4457.65230312036,1857.35512630015,2600.29717682021,138558.692421991,0,220653.789004458,0,0,46062.4071322437,55349.1827637444,0,3236255.57206538,6315.00742942051,0,2244799.40564636,520802.377414562,0,0,0,0,408618.127786033,2956537.89004458,4248514.11589896,0
