function	071B	077B	091B	093B	100B	101B	218B	219B	220B	224B	242B	245B	246B	248B	073B	075B	081B	083B	085B	088B	097B	105B	106B	107B	215B	226B	227B	228B	235B
K00001	28243.17	7024.14	11811.9	21508.24	22374.0	4453.9	9013.95	6195.33	6447.97	7372.299999999999	5583.3	4612.01	4342.889999999999	7937.69	39807.0	79723.3	48659.58	46154.66	56614.66	57101.16	84416.49	53288.5	5780.5	44589.3	5811.98	12180.17	6198.28	15183.78	10591.42
K00002	0.0	0.0	0.0	0.0	0.0	0.0	62.5	0.0	154.0	75.0	119.0	27.0	178.5	135.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.0	51.0	81.0	25.0	85.0
K00003	25629.57	6890.07	12676.28	21887.28	21503.14	5056.8	10989.64	7235.28	11303.48	10736.07	7938.66	6587.04	8084.69	11688.9	24492.980000000003	45306.97	27956.04	27308.34	32120.48	32480.59	47132.490000000005	30429.0	4102.7	25350.6	6940.4400000000005	12811.77	6100.93	10061.09	10489.46
K00004	15898.57	3542.0	11689.9	33422.4	36411.5	5568.6	13514.0	11107.0	4184.0	9296.25	3801.53	6223.5	2237.24	7065.3	1740.4	814.0	595.0	1847.0	889.0	571.0	767.54	409.0	391.05	337.8	603.87	1076.67	378.67	536.5	1014.16
K00005	2682.4	333.55	4444.15	1234.65	316.14	570.79	1270.8200000000002	3287.27	2772.91	1852.53	1508.88	2063.83	1952.9	2283.91	3923.15	947.95	260.1	751.5899999999999	165.48000000000002	2440.37	5540.87	823.3	445.55	444.25	1507.65	3323.51	1700.15	1460.21	1612.0800000000002
K00006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00007	11.0	43.0	11.0	76.67	4.0	16.85	23.92	7.67	51.25	40.09	49.83	29.5	51.53	65.76	21.0	15.0	0.0	178.72	0.0	9.0	2505.44	8.0	0.0	0.0	53.67	37.42	22.75	9.0	71.17
K00008	7393.17	1377.5	5574.5	16502.92	18155.25	2617.85	7593.52	5990.0	4966.92	5943.45	3074.5	3577.75	3255.5200000000004	5815.17	161.66	84.0	63.0	617.97	322.25	116.25	2769.15	50.0	138.32	9.0	1488.66	2121.73	855.9300000000001	516.0	1702.79
K00009	17277.0	2277.71	8852.75	17363.08	19954.91	3271.51	7128.74	8978.380000000001	3007.96	5277.1	2316.22	4804.66	1518.5600000000002	4554.29	18057.59	36566.09	23193.26	24242.69	28401.26	25631.7	41424.69	24587.060000000005	3036.99	20400.58	2165.37	5726.8	3221.73	7897.51	4307.16
K00010	3002.83	3865.33	2940.49	3606.09	1022.91	1300.5500000000002	1133.88	1009.18	1585.97	1851.4500000000005	1474.19	1722.51	2545.21	2102.36	4791.5	3509.67	3610.77	6970.56	3460.5999999999995	1947.1200000000003	8787.58	1618.56	1433.48	1236.33	1345.13	2148.84	1394.5	1554.6799999999998	2193.4700000000003
K00011	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00012	21943.33	6329.12	9233.59	5633.59	4508.5	3123.5	5768.2	3997.18	12414.69	7910.73	8264.02	5050.06	9500.28	9673.56	31306.0	70336.05	44241.44	42387.88	52482.18	47599.29	77981.84999999999	47529.9	5659.5	40246.15	9108.21	17492.98	7957.51	17341.53	14880.87
K00013	10824.73	4236.4	11114.03	19636.15	18871.16	3629.2	11635.48	10036.76	13857.42	11848.65	8521.93	7249.7	9309.23	12384.740000000002	3613.57	3076.92	3408.6400000000003	6231.1	3506.1800000000003	2079.28	3950.69	1450.06	1445.0300000000002	1056.6799999999998	6099.780000000001	10226.240000000002	4060.9	3462.17	7525.21
